f_idx,power
1,312234.27559665823
2,87414.46825218985
3,72783.01124912806
4,18257.308632074542
5,29903.86508140521
6,103392.90379482567
7,15588.244697224462
8,20906.69420116962
9,13121.64444006454
10,11433.359182904816
11,28725.485498830098
12,9963.490139663547
13,16685.95885084698
14,8131.116409174208
15,8963.832085126282
16,831.3956976772504
17,7501.892162247699
18,21699.754675342712
19,22130.567731174684
20,9732.714071085711
21,21828.0426707179
22,10242.461183760024
23,13764.497851361411
24,7321.519370569078
25,1836.5030430096363
26,5848.975751673746
27,23854.92134651454
28,8750.825132065838
29,20185.16102233905
30,8156.920871291723
31,17835.40834107183
32,17243.78608564436
33,9795.684802586182
34,9995.733215155195
35,10645.881289645296
36,8878.258953001881
37,3833.007684835465
38,48.77655000769594
39,25405.92413694115
40,9689.498033202026
41,7202.668504310277
42,15273.106665190438
43,9015.739008290016
44,23278.05728424978
45,498.4348454911935
46,13062.17329182469
47,1638.4942883836502
48,2467.9559370043867
49,2668.016324226867
50,52174.53468009545
51,17323.474635114802
52,1754.973349939834
53,15963.579366994072
54,1574.7554814431119
55,1109.478888086896
56,445.8248065324485
57,710.469243721431
58,8632.974553597418
59,20042.453855133797
60,7336.208802317524
61,7768.871363469892
62,20499.6981058912
63,11704.856128820025
64,2425.78772551776
65,2468.911886226227
66,53350.541691893835
67,7275.54059793045
68,2577.729011185302
69,59.696376288269946
70,1419.1111535235261
71,5288.0369500368115
72,3168.660089058078
73,11870.411928753847
74,11453.085743489608
75,1492.153843033735
76,2894.042249047986
77,813.6734458573986
78,11515.266799319526
79,14951.06011338018
80,10711.163202722768
81,6487.026085506566
82,21944.059677034267
83,6405.774428255397
84,3427.7976041500174
85,19059.66979794112
86,17100.638785284475
87,16323.135840545965
88,6060.275933341659
89,6082.126244134
90,7613.576020181996
91,11939.681976974492
92,1290.0585615541568
93,11179.435292320335
94,13830.701923975827
95,8711.149256852037
96,2333.7241558428227
97,3538.854635351526
98,431.13039571329676
99,5522.395287320486
100,31517.951025798848
101,30376.222743725953
102,8145.530515174988
103,19236.766594333956
104,9955.918520275587
105,11601.573659913864
106,6635.017735087462
107,18839.18702535822
108,12065.365733808401
109,182.28183569177207
110,1969.3802045968089
111,4033.6584268510555
112,4619.134164489994
113,779.8527105811382
114,57364.94405834688
115,26890.32996220549
116,10362.716845131883
117,2783.3959334085566
118,1250.355229814426
119,514.1315222241451
120,310.73753278828
121,13852.189519171767
122,5293.20821123559
123,37984.735480891475
124,10957.964819501583
125,2791.1874223506634
126,18639.01196602584
127,14097.365780113629
128,9859.167762412973
129,530.1621100333061
130,9043.974387641083
131,6447.81398162576
132,16673.990114472002
133,10851.126462614904
134,1725.8979264156585
135,1342.7738671450907
136,6254.1097452767945
137,10674.06129237916
138,10583.493068658701
139,2469.0042584941843
140,8414.389941878306
141,4234.16526412773
142,258.18978004619225
143,25227.015379114582
144,2627.5803067008455
145,1287.76310735568
146,6337.496852939283
147,4925.093908350492
148,8622.94451285863
149,8279.175869726432
150,4174.1548591158635
151,26553.25161966931
152,311.89514436577736
153,5503.680531786228
154,21609.71743589133
155,19263.073155023194
156,5542.694737027101
157,4015.848658734552
158,5427.96894148484
159,19431.600629007196
160,23465.873372866874
161,34.07685283409121
162,8923.850955686568
163,3831.1005573875036
164,1591.214965278218
165,4854.2459270595555
166,3329.6533482798336
167,5854.425321428721
168,1906.7869061235258
169,12076.62678977821
170,4500.172421341245
171,11393.358194844177
172,22051.14071912923
173,11842.350384665624
174,26516.084508746917
175,25460.00263407706
176,2357.8556905168107
177,1766.811510144711
178,9495.881373180126
179,12003.578323732087
180,3899.167975833878
181,1458.7232925468463
182,16952.163122676455
183,15521.349434893673
184,2500.5499318516804
185,10123.576333512026
186,83.86090448289904
187,15373.641113600384
188,39301.880186072034
189,10584.864060942733
190,2354.936158428425
191,7062.465191069856
192,14918.747977830428
193,356.78456034953007
194,577.0701641365935
195,1395.3262904291148
196,498.2919774649502
197,12191.558547205797
198,5500.393094439937
199,21764.685994917978
200,3420.792676637875
201,5109.146424717663
202,15868.530411545582
203,2544.1889460564066
204,13402.895014884816
205,11857.092979014487
206,8443.656459898055
207,742.222308195922
208,3905.9250445343764
209,7630.593241153775
210,4512.150765685522
211,1641.6071832686443
212,2071.7662636400323
213,1044.144652829763
214,2998.9925349433965
215,2173.1519125585405
216,6515.85188228461
217,7274.374629420236
218,1211.937805380673
219,3179.707258785962
220,25333.199506312994
221,14709.146407000744
222,29672.76669069409
223,5268.103272726599
224,12543.311281321543
225,1092.7181836523177
226,524.0694115129571
227,6730.778800927138
228,28810.675697778213
229,5055.074474037969
230,15260.432325255668
231,1151.2761218705539
232,2462.020232281779
233,7141.502413285414
234,5339.841919686518
235,1670.1920558793688
236,5513.682527342303
237,716.4746717840471
238,18169.34311087683
239,14599.548055540656
240,773.7302747779216
241,3556.8485375036
242,790.3989572397801
243,28273.227170709935
244,2683.8561735658777
245,4296.013784060209
246,1062.9872197188877
247,7765.378132149599
