p,score,prob,dies_by_horizon
119993,-1.1205071183366324,0.7834576344727433,0
106727,-1.4264734893843927,0.7834576344727433,0
106747,-1.4265572443058674,0.7834576344727433,0
106751,-1.426573993407083,0.7834576344727433,0
106753,-1.4265823677223435,0.7834576344727433,0
106759,-1.4266074897268106,0.7834576344727433,0
106781,-1.0683645125254055,0.7834576344727433,0
106783,-1.4267079636277569,0.7834576344727433,0
106787,-1.4267247070824154,0.7834576344727433,0
106801,-1.42678330423514,0.7834576344727433,0
106823,-1.4268753699577625,0.7834576344727433,0
106853,-1.42700088357304,0.7834576344727433,0
106859,-1.4270259820673585,0.7834576344727433,0
106861,-1.0686992687791435,0.7834576344727433,0
106867,-1.4270594445343732,0.7834576344727433,0
