p,score,prob,dies_by_horizon
119993,-1.075737818386728,0.8488977231079563,0
107101,-1.611382301825539,0.8488977231079563,0
107123,-1.6113790726391473,0.8488977231079563,0
107137,-1.6113770180476277,0.8488977231079563,0
107171,-1.4186639328427146,0.8488977231079563,0
107209,-1.611366455816057,0.8488977231079563,0
107227,-1.6473896910140262,0.8488977231079563,0
107243,-1.7018530049103016,0.8488977231079563,0
107251,-1.6515719376056441,0.8488977231079563,0
107273,-1.1767665044708653,0.8488977231079563,0
107323,-1.684654901714452,0.8488977231079563,1
107339,-1.399656146670552,0.8488977231079563,0
107347,-1.5561320060931718,0.8488977231079563,0
107377,-1.6166643625823052,0.8488977231079563,1
