p,score,prob,dies_by_horizon
102497,-1.8770400320782061,0.61803398864096,0
101027,-2.0842439625473204,0.61803398864096,0
101161,-1.9170797242552613,0.61803398864096,0
101159,-2.023431628481713,0.61803398864096,0
102061,-2.102089039982609,0.61803398864096,1
101141,-2.066227337276935,0.61803398864096,0
102077,-2.102313507828714,0.61803398864096,1
103841,-2.086694441615738,0.61803398864096,0
102107,-2.0682540116216646,0.61803398864096,0
100999,-2.0421767047136856,0.61803398864096,0
100787,-2.0202132470007483,0.61803398864096,0
102161,-1.9635800851778074,0.61803398864096,1
103769,-2.0386238131921717,0.61803398864096,0
