p,score,prob,dies_by_horizon
106781,-1.4511156806924013,0.7236067972097328,0
118801,-1.3174778612395235,0.7236067972097328,0
109133,-1.2350257024692386,0.7236067972097328,0
104147,-1.4141433770660932,0.7236067972097328,0
116681,-1.2999873006005784,0.7236067972097328,0
101797,-1.1674314108500743,0.7236067972097328,0
113017,-1.2689953478133547,0.7236067972097328,0
107033,-1.4171769115468946,0.7236067972097328,1
112997,-1.2688234348973726,0.7236067972097328,0
106993,-1.344254844523764,0.7236067972097328,0
101581,-1.5039853718891367,0.7236067972097328,0
106861,-1.4848909380257536,0.7236067972097328,0
112859,-1.4921791005974199,0.7236067972097328,1
109717,-1.4702204479662262,0.7236067972097328,1
