step,delta_gen_cost,delta_survival,c2_threshold_sec
1->6,5.035633318281423e-08,0.31489999999999996,-9.998400878590573
6->24,2.3361933340008057e-07,0.22785666666666665,-9.989747092467482
24->60,5.570151666567351e-07,0.09261500000000003,-9.939856916627248
60->100,7.680729999750229e-07,0.03594,-9.786290205905669
100->150,-1.5789983347834379e-07,0.022483333333333327,-10.070229725787254
