theta_deg,score_total
87.17024499353109,6.139784940518439
87.19024499353108,6.247311822138727
87.21024499353109,6.344086015596986
87.23024499353109,6.451612897217274
87.25024499353108,6.451612897217274
87.27024499353108,6.870967699214816
87.29024499353109,7.182795628905296
87.31024499353109,7.075268756598234
87.33024499353108,7.387096686288714
87.35024499353109,7.387096686288714
87.37024499353109,7.5913977436721325
87.39024499353108,7.795698801055551
87.41024499353108,8.010752545669675
87.43024499353109,7.999999858438969
87.45024499353109,8.419354660436511
87.47024499353108,8.634408405050635
87.49024499353108,8.956989021971822
87.51024499353109,9.268816951662302
87.53024499353108,9.569892194122076
87.55024499353108,9.881720159202814
87.57024499353109,10.301075033843517
87.59024499353109,10.612903017550707
87.61024499353108,11.03225789219141
87.63024499353108,11.3440858758986
87.65024499353109,11.870967641472816
87.67024499353109,12.29032251611352
87.69024499353108,12.903225794434547
87.71024499353109,13.52688154578209
87.73024499353109,14.161289982497692
87.75024499353108,14.881719902157784
87.77024499353108,15.182795092463493
87.79024499353109,15.268816575407982
87.81024499353109,15.655913457274437
87.83024499353108,15.827956557273865
87.85024499353109,15.688171602785587
87.87024499353109,15.537633877247572
87.89024499353108,15.17204238846898
87.91024499353108,14.709677027538419
87.93024499353109,13.838709307834506
87.95024499353109,12.344085697084665
87.97024499353108,11.172042706981301
87.99024499353108,10.107526641339064
88.01024499353109,8.849462129175663
88.03024499353108,7.795698706060648
88.05024499353108,6.655913803726435
88.07024499353109,5.537634244188666
88.09024499353109,4.354838588275015
88.11024499353108,3.290322502143681
88.13024499353108,2.2258063573390245
88.15024499353109,1.64516119658947
88.17024499353109,2.0322579704225063
88.19024499353108,3.193548308685422
88.21024499353109,4.354838588275015
88.23024499353109,5.333333169110119
88.25024499353108,6.333333168178797
88.27024499353108,7.48387074097991
88.29024499353109,8.827956793829799
88.31024499353109,9.774193311110139
88.33024499353108,11.053763130679727
88.35024499353109,12.225806154310703
88.37024499353109,13.505375992506742
