Q,AUC,Brier,LogLoss,Spearman
1000000,0.932304,0.060942,0.216311,0.522837
2000000,0.893406,0.096305,0.331493,0.526773
5000000,0.830475,0.137718,0.477036,0.481301
10000000,0.796115,0.168859,0.587664,0.452485
20000000,0.765266,0.196172,0.716752,0.419180
50000000,0.733628,0.230806,0.889275,0.381878
