n_start,q0,dt,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,theta_star,theta_subdeg,angle_score_peak,angle_score_median,peakiness,sanity
1000000,6,5,0.8338983050847457,1.0,5.995934959349594,0.16669720568005006,0.9995993999831521,1.0,80.8,80.8271653541689,475.0000149011612,83.33333730697632,17.624998586856343,none
1000000,7,6,0.8571428571428571,1.0,7.0,0.14283730962124966,0.9994448428271413,1.0,81.6,81.56615060514186,342.952396273613,63.23809593915939,15.257144563171034,none
1000000,8,6,0.7482993197278912,1.0,8.018181818181818,0.12503934181983933,0.9992675038907866,1.0,82.6,82.5602688983161,258.5833344757557,51.58333444595337,16.559998777113858,none
1000000,9,7,0.7747440273037542,1.0,9.035242290748899,0.11113236729532146,0.9990595495124618,1.0,83.4,83.34149682968847,200.74074098467827,40.74074129015207,18.540770755744347,none
1000000,10,8,0.797945205479452,1.0,10.025751072961373,0.09998949262389896,0.9988390982509938,1.0,84.0,83.95356164646462,160.00000655651093,34.00000110268593,17.99999926301426,none
1000000,11,9,0.8144329896907216,1.0,11.050632911392405,0.09091643981706293,0.9985652496909305,1.0,84.5,84.46501228594346,131.54545843601227,27.272728085517883,15.712328760264915,none
1000000,12,10,0.8344827586206897,1.0,11.983471074380166,0.08330477503730871,0.9982973200824037,1.0,85.5,85.56845929883792,109.72222648561001,22.916667256504297,15.624999494273347,none
1000000,13,10,0.7620689655172413,1.0,13.122171945701359,0.07688573934430787,0.9979768156437738,1.0,85.9,85.9463118002113,95.76923775672913,19.538462094962597,18.128050245791,none
1000000,14,11,0.7854671280276817,1.0,14.004405286343612,0.07139661138272466,0.9977017889581142,1.0,85.6,85.56210056350545,80.09524191915989,16.857143372297287,15.441860223140594,none
1000000,15,12,0.8020833333333334,1.0,14.96103896103896,0.06674613891449306,0.9973413449366059,1.0,86.5,86.54383477098422,69.33333605527878,14.666667133569717,15.375000740879365,none
1000000,16,13,0.8118466898954704,1.0,16.01287553648069,0.06254111741906268,0.9969136532204586,1.0,86.7,86.76655988744385,61.666667714715004,12.8958336468786,15.711410384879198,none
1000000,17,14,0.8216783216783217,1.0,17.038297872340426,0.058810509131270464,0.9964928055780673,1.0,86.9,86.97743006943514,53.13725620508194,11.43137295357883,15.085107428902589,none
1000000,18,14,0.7762237762237763,1.0,18.036036036036034,0.05556035748571468,0.9960658021763688,1.0,86.5,86.45846500162007,48.16666815429926,10.092592667788267,15.458647068559642,none
1000000,19,15,0.7894736842105263,1.0,19.0,0.05270156085556454,0.9956007775412704,1.0,86.7,86.6371577459045,43.63157856464386,8.859649188816547,15.606300949298944,none
1000000,20,16,0.7922535211267606,1.0,20.195555555555554,0.049928359444487244,0.9950313902132759,1.0,86.8,86.76855421692345,38.50000128149986,8.000000389292836,15.250000495289191,none
1000000,21,17,0.8021201413427562,1.0,21.19383259911894,0.04764282257709088,0.9943942687140552,1.0,87.6,87.6419392339221,35.015874460339546,7.2063496224582195,16.52830208271207,none
1000000,22,18,0.8156028368794326,1.0,22.069565217391304,0.04545640616199764,0.9939581819895399,1.0,87.1,87.04048067704319,32.54545520246029,6.6212123185396194,18.010526085876805,none
1000000,23,18,0.7872340425531915,1.0,22.864864864864863,0.04335906031180888,0.9932812071834453,1.0,87.8,87.86511299455682,29.130436148494482,5.869565326720476,20.062500692782976,none
1000000,24,19,0.7864768683274022,1.0,24.15837104072398,0.04168568616206317,0.992729094099152,1.0,87.3,87.24838516287602,27.097222879529,5.430555596016347,19.74683584010421,none
1000000,25,20,0.7892857142857143,1.0,25.339366515837106,0.039894550404204074,0.9919890575962814,1.0,87.4,87.34551886698326,24.6399986743927,5.1199997663497925,20.333333102605188,none
1000000,26,21,0.8028673835125448,1.0,26.15625,0.038377040303276176,0.9914534003113735,1.0,88.1,88.16052577697135,23.141026489436626,4.705128266476095,23.573773153908032,none
1000000,27,22,0.802158273381295,1.0,27.426008968609864,0.036955645684797304,0.9903224686690917,1.0,87.6,87.52558647934134,21.12345737591386,4.2469136118888855,24.854546048870194,none
1000000,28,22,0.7877697841726619,1.0,27.926940639269407,0.035424973169247066,0.9900027366260703,1.0,88.3,88.33166706147628,19.46428633853793,4.00000015553087,22.396554581531543,none
1000000,29,23,0.7833935018050542,1.0,29.359447004608295,0.03446371767747762,0.9890276241379753,1.0,88.3,88.37977443806719,18.137930668890476,3.7011494114995003,25.11999943773079,none
1000000,30,24,0.8043478260869565,1.0,29.83783783783784,0.033294901613838,0.9882862881444419,1.0,87.8,87.73227544926266,17.22222315147519,3.444444527849555,24.800000877369328,none
1000000,31,25,0.8072727272727273,1.0,30.96846846846847,0.03226854389649685,0.9874606302817344,1.0,87.8,87.77024499353108,15.677418760955334,3.322580642066896,25.533328692385773,none
1000000,32,26,0.8029197080291971,1.0,32.38181818181818,0.03133946345619564,0.9861284193089087,1.0,88.5,88.56715434047683,15.489583272486925,3.1875000605359674,24.10203818583719,none
1000000,33,26,0.7700729927007299,1.0,33.76303317535545,0.03020191487343267,0.985076155091679,1.0,88.6,88.63885436721226,14.000000651925802,3.0303030274808407,20.11111229334199,none
1000000,34,27,0.7948717948717948,1.0,33.96774193548387,0.029633526628011875,0.9850704427848284,1.0,88.0,87.94662074460074,13.37254923954606,2.892156965099275,21.37999943961255,none
1000000,35,28,0.7977941176470589,1.0,35.096774193548384,0.02835776660941992,0.984063336199189,1.0,88.7,88.73323707455512,12.209524082019925,2.619047719053924,21.891303855681063,none
1000000,36,29,0.7933579335793358,1.0,36.55348837209302,0.02776933651692519,0.9822755874217468,1.0,88.7,88.76528617558597,11.750000273808837,2.462962981313467,23.325581804590804,none
1000000,37,30,0.7925925925925926,1.0,37.850467289719624,0.02691212042235852,0.9805922460505367,1.0,88.8,88.8293726653295,11.072072491049767,2.3333333898335695,20.208333635498274,none
1000000,38,30,0.7925925925925926,1.0,37.850467289719624,0.026530161212452774,0.981197402942681,1.0,88.2,88.1344295727449,10.84210516512394,2.210526332259178,17.571428171644087,none
1000000,39,31,0.79182156133829,1.0,39.15023474178404,0.025711590745085736,0.9794642020927851,1.0,88.2,88.15719141870687,10.196581572294235,2.08547018840909,17.574073759549343,none
1000000,40,32,0.7910447761194029,1.0,40.45283018867925,0.02516042235667544,0.9778586725896572,1.0,88.2,88.17838896439088,9.450000431388617,2.0000001043081284,19.866666449776126,none
50000000,6,5,0.8338983050847457,1.0,5.995934959349594,0.16662849289418571,0.9995962944076365,1.0,80.8,80.8271653541689,475.0000149011612,83.33333730697632,17.624998586856343,none
50000000,7,6,0.8571428571428571,1.0,7.0,0.14283730961087687,0.9994448428271552,1.0,81.6,81.56615060514186,342.952396273613,63.23809593915939,15.257144563171034,none
50000000,8,6,0.7482993197278912,1.0,8.018181818181818,0.12503934179912762,0.9992675038907259,1.0,82.6,82.5602688983161,258.5833344757557,51.58333444595337,16.559998777113858,none
50000000,9,7,0.7815699658703071,1.0,8.956331877729259,0.11111566978161289,0.9990801761529727,1.0,83.4,83.34416442200967,201.88888916373253,40.81481537222862,18.826838028206332,none
50000000,10,8,0.797945205479452,1.0,10.025751072961373,0.09998949263016448,0.9988390982509568,1.0,84.0,83.95356164646462,160.00000655651093,34.00000110268593,17.99999926301426,none
50000000,11,9,0.8213058419243986,1.0,10.9581589958159,0.09093397094542284,0.9986051671888703,1.0,84.5,84.46570461570431,131.21212515234947,27.272728085517883,15.733944956258057,none
50000000,12,10,0.8344827586206897,1.0,11.983471074380166,0.08339924499003591,0.9983172333234442,1.0,85.5,85.56845929883792,109.72222648561001,22.916667256504297,15.624999494273347,none
50000000,13,10,0.7689655172413793,1.0,13.004484304932737,0.0769445370432154,0.9980204280204448,1.0,85.9,85.9461791920286,95.87180189788342,19.512821067124605,18.382716407099046,none
50000000,14,11,0.7854671280276817,1.0,14.004405286343612,0.07139661138442403,0.9977017889581022,1.0,85.6,85.56210056350545,80.09524191915989,16.857143372297287,15.441860223140594,none
50000000,15,12,0.8020833333333334,1.0,14.96103896103896,0.06662683007044143,0.9972936523061618,1.0,86.5,86.54383477098422,69.33333605527878,14.666667133569717,15.375000740879365,none
50000000,16,13,0.8118466898954704,1.0,16.01287553648069,0.06254111741503555,0.9969136532204914,1.0,86.7,86.76655988744385,61.666667714715004,12.8958336468786,15.711410384879198,none
50000000,17,14,0.8216783216783217,1.0,17.038297872340426,0.05876254681927252,0.9965051399317696,1.0,86.9,86.97790525343622,53.05882482230663,11.45098059810698,15.157142886003664,none
50000000,18,14,0.7762237762237763,1.0,18.036036036036034,0.0556588469273869,0.9960585593920838,1.0,86.5,86.45902895924176,48.370371878147125,10.166666742414236,15.51127865504826,none
50000000,19,15,0.7894736842105263,1.0,19.0,0.05270156084711922,0.995600777541292,1.0,86.7,86.63634958240755,43.350876808166504,8.859649188816547,15.727999670068883,none
50000000,20,16,0.7922535211267606,1.0,20.195555555555554,0.04992835944933772,0.9950313902133386,1.0,86.8,86.76855421692345,38.50000128149986,8.000000389292836,15.250000495289191,none
50000000,21,17,0.8162544169611308,1.0,20.826839826839826,0.047636469137671195,0.9946573368885687,1.0,87.6,87.64330428327472,34.84127125144005,7.238095656037331,17.92783525642449,none
50000000,22,18,0.8262411347517731,1.0,21.78540772532189,0.045309519706330355,0.9940533352118245,1.0,87.1,87.04245656138312,32.59090977162123,6.606060802936554,17.680412161394834,none
50000000,23,18,0.7695035460992907,1.0,23.391705069124427,0.043376451230177755,0.9932367403332567,1.0,87.8,87.86487440041033,29.130436148494482,5.869565326720476,20.062500692782976,none
50000000,24,19,0.8042704626334519,1.0,23.623893805309734,0.041579140934856026,0.992943032273856,1.0,87.9,87.9664875956446,27.37500001490116,5.38888892903924,21.106666464908123,none
50000000,25,20,0.7892857142857143,1.0,25.339366515837106,0.03989455040341258,0.9919890575963036,1.0,87.4,87.34551886698326,24.6399986743927,5.1199997663497925,20.333333102605188,none
50000000,26,21,0.8028673835125448,1.0,26.15625,0.038589773343647875,0.9912817279458516,1.0,88.1,88.15767581655105,23.179488018155098,4.679487271234393,22.199999761465502,none
50000000,27,22,0.8093525179856115,1.0,27.182222222222222,0.03700451773238858,0.9906559350415762,1.0,87.6,87.52580071451706,21.148148715496063,4.259259290993214,25.33333391000623,none
50000000,28,22,0.7877697841726619,1.0,27.926940639269407,0.035424973166806505,0.9900027366256721,1.0,88.3,88.33166706147628,19.46428633853793,4.00000015553087,22.396554581531543,none
50000000,29,23,0.7833935018050542,1.0,29.359447004608295,0.03456252420483407,0.9888326629301935,1.0,88.3,88.37787588498696,18.172413419932127,3.6436781473457813,24.307691755942496,none
50000000,30,24,0.8043478260869565,1.0,29.83783783783784,0.03350037813445805,0.9887102106350987,1.0,87.8,87.73227544926266,17.22222315147519,3.444444527849555,24.800000877369328,none
50000000,31,25,0.8181818181818182,1.0,30.555555555555554,0.031982920280200625,0.9875660577841713,1.0,87.8,87.77290465211316,15.677418760955334,3.3333333302289248,24.42553072032213,none
50000000,32,26,0.8029197080291971,1.0,32.38181818181818,0.03133946345443432,0.9861284193086977,1.0,88.5,88.56715434047683,15.489583272486925,3.1875000605359674,24.10203818583719,none
50000000,33,26,0.7956204379562044,1.0,32.678899082568805,0.030440800075449945,0.9862913591549901,1.0,88.6,88.63775038351574,14.060606718063354,3.0303030274808407,20.222223414493946,none
50000000,34,27,0.7948717948717948,1.0,33.96774193548387,0.028996550894708976,0.9844014824524349,1.0,88.0,87.9484936280136,13.421568844467402,2.8725491212680936,20.692307145688417,none
50000000,35,28,0.7977941176470589,1.0,35.096774193548384,0.02835776661410239,0.9840633361989702,1.0,88.7,88.73323707455512,12.209524082019925,2.619047719053924,21.891303855681063,none
50000000,36,29,0.7933579335793358,1.0,36.55348837209302,0.027856160915512636,0.9820153226852817,1.0,88.7,88.76348392382944,11.861111391335726,2.462962981313467,23.60465158536656,none
50000000,37,30,0.8185185185185185,1.0,36.65158371040724,0.02706789149745735,0.9819113159257988,1.0,88.8,88.82955079183336,11.117117539048195,2.3063063621520996,22.227273056512917,none
50000000,38,30,0.7925925925925926,1.0,37.850467289719624,0.02642773639792159,0.9808980522841505,1.0,88.2,88.13312619155863,10.833333238959312,2.210526332259178,18.203703295642082,none
50000000,39,31,0.7992565055762082,1.0,38.78604651162791,0.02525291756437188,0.9795549331743627,1.0,88.2,88.15900537642344,10.264957642182708,2.0427351435646415,18.862744757783542,none
50000000,40,32,0.7910447761194029,1.0,40.45283018867925,0.02516042235391595,0.9778586725890741,1.0,88.2,88.17838896439088,9.450000431388617,2.0000001043081284,19.866666449776126,none
200000000,6,5,0.8338983050847457,1.0,5.995934959349594,0.16662849295473572,0.9995962944076603,1.0,80.8,80.8271653541689,475.0000149011612,83.33333730697632,17.624998586856343,none
200000000,7,6,0.8571428571428571,1.0,7.0,0.1428769760567466,0.9994451508663476,1.0,81.6,81.56489666790483,342.5714440345764,63.23809593915939,15.196892899807017,none
200000000,8,6,0.7482993197278912,1.0,8.018181818181818,0.12503934176793377,0.9992675038909187,1.0,82.6,82.5602688983161,258.5833344757557,51.58333444595337,16.559998777113858,none
200000000,9,7,0.7781569965870307,1.0,8.99561403508772,0.1111166239822298,0.9990631102151968,1.0,83.4,83.34130199550826,200.48148173093796,40.77777832746506,18.50643705017148,none
200000000,10,8,0.797945205479452,1.0,10.025751072961373,0.09998949263136288,0.9988390982514159,1.0,84.0,83.95356164646462,160.00000655651093,34.00000110268593,17.99999926301426,none
200000000,11,9,0.8178694158075601,1.0,11.004201680672269,0.09090329143718656,0.9985707806367844,1.0,84.5,84.4647649133865,131.42424634099007,27.272728085517883,15.766055043484954,none
200000000,12,10,0.8344827586206897,1.0,11.983471074380166,0.08339924505400481,0.9983172333235314,1.0,85.5,85.56845929883792,109.72222648561001,22.916667256504297,15.624999494273347,none
