theta_deg,score_total
87.77949775309219,17.14942529797554
87.79949775309218,16.298850513994694
87.8194977530922,14.850574657320976
87.83949775309219,13.264367692172527
87.85949775309219,12.057471182197332
87.87949775309218,10.850574597716331
87.89949775309219,9.436781499534845
87.91949775309219,7.931034341454506
87.93949775309218,6.666666567325592
87.9594977530922,5.402298755943775
87.97949775309219,3.9080459251999855
87.99949775309219,2.6436780393123627
88.01949775309218,1.9540228694677353
88.03949775309219,2.068965546786785
88.05949775309219,3.333333283662796
88.07949775309218,4.482758529484272
88.09949775309218,5.747126340866089
88.11949775309219,7.011494114995003
88.13949775309219,8.390804454684258
88.15949775309218,9.793103300035
88.17949775309219,11.22988486662507
88.19949775309219,12.80459750443697
88.21949775309218,14.264367613941431
88.23949775309218,15.609195195138454
88.25949775309219,16.81609170511365
88.27949775309219,17.55172384902835
88.29949775309218,18.172413427382708
88.3194977530922,18.091953694820404
88.33949775309219,18.35632162168622
88.35949775309219,18.402298782020807
88.37949775309218,17.850574646145105
88.39949775309219,17.356321774423122
88.41949775309219,16.77011488005519
88.43949775309218,15.931034423410892
88.4594977530922,15.471264310181141
88.47949775309219,14.988505691289902
88.49949775309219,14.37931029126048
88.51949775309218,13.793103396892548
88.53949775309219,13.080459721386433
88.55949775309219,12.724137883633375
88.57949775309218,12.034482713788748
88.59949775309218,11.666666623204947
88.61949775309219,11.425287313759327
88.63949775309219,11.172413751482964
88.65949775309218,10.804597660899162
88.67949775309219,10.34482754766941
88.69949775309219,10.103448238223791
88.71949775309218,9.862068928778172
88.73949775309218,9.379310309886932
88.75949775309219,9.011494219303131
88.77949775309219,8.655172381550074
88.79949775309218,8.436781577765942
88.8194977530922,8.21839077398181
88.83949775309219,7.988505717366934
88.85949775309219,7.999999970197678
88.87949775309218,7.8965516947209835
88.89949775309219,7.770114913582802
88.91949775309219,7.64367813244462
88.93949775309218,7.5172413513064384
88.9594977530922,7.379310317337513
88.97949775309219,7.2413792833685875
