layer,rank,period,power,harmonic_fit,rel_error
1,1,6.500048750365628,66659381.97488043,13/(2*1),7.500000000024758e-06
1,2,2.42856969387879,38154155.79619043,17/7,7.142857142598658e-07
1,3,2.1666594444685185,33790456.87797028,13/(2*3),3.3333333332147318e-06
1,4,2.1111075925984566,31381635.158044185,19/9,1.6666666667779052e-06
1,5,3.250024375182814,30305700.415640447,13/(2*2),7.500000000024758e-06
1,6,2.6000026000026,26891594.558540143,13/5,9.99999999954393e-07
1,7,5.6666855556185185,23956098.830702107,17/3,3.3333333332406844e-06
1,8,3.249971562748826,21972876.610964015,13/(2*2),8.749999999938318e-06
1,9,19.000570017100515,21968619.222902637,19/1,3.000000000007915e-05
1,10,2.555551296303395,21083251.05050682,23/9,1.6666666665858388e-06
2,1,5.666298342541436,348086.3172189861,17/3,6.500260010407061e-05
2,2,6.333470564018114,300207.7128501364,19/3,2.1667533368000097e-05
2,3,3.166735282009057,259997.27279200585,19/(2*3),2.1667533368000097e-05
2,4,2.833149171270718,231848.71994374244,17/(2*3),6.500260010407061e-05
2,5,2.111156854672705,219259.79654319095,19/9,2.1667533368000097e-05
2,6,3.399779005524862,170870.4116949995,17/5,6.500260010393998e-05
2,7,2.714184897671136,170268.41202878812,19/7,3.714434291668776e-05
2,8,11.497757847533633,159447.68922153395,23/(2*1),0.00019500780031198408
2,9,3.833540991776726,155903.74761129983,23/(2*3),5.4168833420007114e-05
2,10,2.874976639880396,153322.73395434098,23/(2*4),8.12532501307315e-06
3,1,2.714714714714715,2477.9901201485172,19/7,0.0001580278128950601
3,2,3.7983193277310923,2115.939694552221,19/5,0.0004424778761061931
3,3,2.300254452926209,2086.6916181117863,23/(2*5),0.00011061946902668238
3,4,23.17948717948718,1959.176825094265,23/1,0.00774336283185838
3,5,18.833333333333332,1940.0040141686293,19/1,0.008849557522123958
3,6,2.0925925925925926,1930.2082547919708,23/11,0.0008045052292840132
3,7,3.160839160839161,1909.8956115029016,19/(2*3),0.0018436578171090996
3,8,3.1719298245614036,1898.9580350758035,19/(2*3),0.0016592920353983053
3,9,4.146788990825688,1838.9992918701346,29/7,0.0009481668773703274
3,10,7.661016949152542,1820.9526070435334,23/3,0.0007374631268436945
