f_idx,power
1,20214.81626396513
2,21942.106640201415
3,16785.633482436173
4,15561.210700758564
5,22007.98892375657
6,20976.445343414518
7,21132.750518943983
8,18018.669142477665
9,22388.50936161345
10,18176.445968380725
11,19293.836318878566
12,21645.24266089729
13,18569.924354435887
14,23392.371784204268
15,18309.424439213682
16,23217.777216636146
17,17428.54751328157
18,22786.379950421786
19,22885.118272437474
20,19955.218556776053
21,19558.812329120497
22,19681.139194215873
23,21669.264264365815
24,19218.61929971036
25,19341.941028933077
26,18481.39571887044
27,20833.31346491763
28,17918.52476543305
29,18168.358518300367
30,21537.88747674159
31,21870.998302617227
32,19805.595535355373
33,17634.7421978162
34,18625.36418470385
35,24189.64116750423
36,21672.999128764353
37,19613.71605652124
38,23995.333618696346
39,19584.46438616534
40,17944.230781065566
41,23000.08743988702
42,18874.6044347894
43,23220.87436398631
44,21589.07204285131
45,21675.88664321118
46,18943.540618716
47,18699.05539061501
48,22920.696908932936
49,19572.23394329135
50,25329.756864631127
51,20102.390898597547
52,20713.2287476415
53,22189.910721129658
54,19912.377588417705
55,18330.944868617833
56,22185.654216533112
57,22823.52561649536
58,19554.819961918416
59,18902.929688475655
60,21071.53315790799
61,19229.02596192528
62,19166.056267268046
63,21886.855291857755
64,24927.692234181093
65,17780.47182257061
66,20884.753441177585
67,21346.092659323534
68,17216.29044891466
69,15736.749197102434
70,20166.309919062147
71,20376.65497674425
72,19585.474320520407
73,21883.4854459049
74,22006.92367763205
75,18703.7470198237
76,20640.3633532502
77,19303.527382222703
78,20361.51709414036
79,20493.126433073907
80,19089.381777683146
81,20636.73882606111
82,14361.206076478833
83,16975.952410275662
84,21491.103084184706
85,21525.393505554184
86,22038.658980531993
87,20669.936345111237
88,22022.633729838963
89,23325.126940153863
90,16115.580011680835
91,21283.503650418977
92,17190.242750852492
93,18747.209547553568
94,16616.039900106884
95,19632.72130187855
96,20130.1832823421
97,20416.954018098204
98,22401.308933575896
99,22010.536246570475
100,18833.916773968565
101,20274.275289877067
102,19880.165582941037
103,22353.727995019934
104,19569.40516359769
105,22084.310005602638
106,21832.043257161877
107,22212.64402780599
108,18261.29753789791
109,17659.055872112167
110,18810.576591684876
111,28381.197299139843
112,22255.92826808517
113,25130.570099223165
114,23646.789941384606
115,20665.052720747746
116,15872.936686000514
117,20648.39102865465
118,19580.762088039002
119,15050.02275114659
120,21500.11399482147
121,23566.077742280213
122,18314.927274889178
123,21712.809145628144
124,19004.580209217424
125,15702.084526461564
126,20741.480691997698
127,23514.99710635213
128,16644.068212348902
129,21855.697513880026
130,17147.40415893613
131,20436.06069707292
132,23551.8536067425
133,21419.114048935797
134,21045.06088358911
135,18790.27164180881
136,22678.304624107393
137,21503.143583673504
138,17766.48043657322
139,21337.10645869015
140,18661.94338429359
141,18564.4986378724
142,18721.337488064415
143,22517.643720146385
144,21069.583321976475
145,19763.430853403057
146,21045.732713873535
147,18301.475225010578
148,22804.069774708376
149,22285.720656009828
150,19899.933508760365
151,20751.193896143875
152,26407.242511910998
153,20211.225050688274
154,26041.269936016524
155,22955.20505438388
156,19773.33779803028
157,21086.537007713494
158,23709.009793253615
159,24113.410150076645
160,19597.596414315172
161,24653.737474872585
162,18401.068264760434
163,21599.314705960456
164,21984.886089809446
165,21530.72002546486
166,17942.022986293596
167,17510.526079961895
168,20221.407704907535
169,20128.250749795174
170,26267.782830269876
171,20723.065523012418
172,22282.936590782218
173,31335.7449728561
174,20755.715863411464
175,20409.107013074477
176,16861.394698135067
177,23851.093101028597
178,21974.914804200173
179,18544.895250900037
180,18862.873591197203
181,22109.67248494277
182,20883.191288193506
183,18816.176299415154
184,27263.08949348473
185,22049.6665423116
186,15975.638341324871
187,17610.798485348718
188,19148.843927376405
189,23377.31441159829
190,24416.175137383478
191,18889.35203471959
192,20250.159131630408
193,21183.06107863011
194,21960.32983431118
195,24334.191193880593
196,20913.486642229793
197,16373.177470531133
198,28071.06777699041
199,19893.950581826877
200,20707.36934897906
201,20131.783398768042
202,19141.066947920757
203,24022.801216218344
204,20725.672630229317
205,20980.5796274924
206,20675.203070198615
207,22357.96538585966
208,17446.75011566374
209,22578.80590224916
210,17883.436640991862
211,17565.512396596674
212,21249.086778875033
213,18611.030721729865
214,18836.494208145446
215,18833.543194508307
216,20939.233934611082
217,31045.5570443613
218,19145.470836972516
219,21293.281404281657
220,21648.98436687291
221,19993.583196572712
222,21037.083160356142
223,22489.806167190858
224,22698.890920576912
225,22204.87124618467
226,21334.08878507899
227,16351.034175506704
228,20948.39725688792
229,18701.96871690553
230,33223.62953626503
231,23051.194215449414
232,19103.37932062325
233,18748.911186529414
234,18954.698434198846
235,20514.29805014891
236,17769.043176762312
237,20298.931063673375
238,20141.50742453101
239,22192.26309457922
240,19812.77939491484
241,20590.160020083258
242,24274.18327892397
