weight,subset,overall_survival,auc,enrichment_2,enrichment_10
ones,all,0.10492209844196884,0.9893303242240744,8.080736664991335,8.055205208025974
ones,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
ones,composite,0.01870012927383765,0.9938106162127786,32.133032502727275,10.001337494427107
inv_q,all,0.10492209844196884,0.9893303242240744,8.128438770451732,8.072364225037154
inv_q,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
inv_q,composite,0.01870012927383765,0.9938106162127786,33.26573680245236,10.001337494427107
inv_logq,all,0.10492209844196884,0.9893303242240744,8.071196243899255,8.06283143780872
inv_logq,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
inv_logq,composite,0.01870012927383765,0.9938106162127786,32.43111258160229,10.001337494427107
logq,all,0.10492209844196884,0.9893303242240744,7.98533245407054,8.066644552700094
logq,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
logq,composite,0.01870012927383765,0.9938106162127786,32.01380047117727,10.001337494427107
q,all,0.10492209844196884,0.9893303242240744,8.013953717346778,8.070457667591466
q,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
q,composite,0.01870012927383765,0.9938106162127786,31.775336408077248,10.001337494427107
inv_d,all,0.10492209844196884,0.9893303242240744,7.928089927518063,8.076177339928526
inv_d,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
inv_d,composite,0.01870012927383765,0.9938106162127786,32.31188055005229,10.001337494427107
inv_logd,all,0.10492209844196884,0.9893303242240744,8.042574980623018,8.053298650580288
inv_logd,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
inv_logd,composite,0.01870012927383765,0.9938106162127786,32.19264851850228,10.001337494427107
logd,all,0.10492209844196884,0.9893303242240744,8.290625929017084,8.08571012715696
logd,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
logd,composite,0.01870012927383765,0.9938106162127786,32.07341648695227,10.001337494427107
rand_pos,all,0.10492209844196884,0.9893303242240744,7.98533245407054,8.049485535688914
rand_pos,prime,0.858562244301578,0.7176308539944903,1.0619669242782204,1.0444043699749335
rand_pos,composite,0.01870012927383765,0.9938106162127786,33.08688875512734,10.001337494427107
rand_sign,all,0.10492209844196884,0.7172703505910218,0.0,0.0
rand_sign,prime,0.858562244301578,0.4772727272727273,0.0,0.6947559504615862
rand_sign,composite,0.01870012927383765,0.7212278828900447,0.0,0.0
