n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,36,1000036,0,343,342.96232,0.00057628622
1000000,36,1000036,1,91,91.390338,0.00059760991
1000000,36,1000036,2,92,91.238432,0.00059339531
1000000,37,1000037,0,468,467.83479,0.00057884912
1000000,37,1000037,1,39,39,0.00058249837
1000000,37,1000037,2,38,37.193512,0.0006218149
1000000,38,1000038,0,211,210.91042,0.00058414945
1000000,38,1000038,1,88,87.724058,0.00059492432
1000000,38,1000038,2,156,155.94414,0.00059139989
1000000,39,1000039,0,108,107.74212,0.00059124262
1000000,39,1000039,1,106,106.31507,0.00058358472
1000000,39,1000039,2,107,106.81779,0.00057690678
1000000,40,1000040,0,55,54.650104,0.00058159457
1000000,40,1000040,1,175,175.71311,0.00060748735
1000000,40,1000040,2,176,175.98974,0.00061537297
1000000,41,1000041,0,294,294.33052,0.00062869764
1000000,41,1000041,1,295,295,0.00062203248
1000000,41,1000041,2,296,295.27025,0.00061182283
1000000,42,1000042,0,324,324,0.00057326965
1000000,42,1000042,1,325,325.07817,0.0005884898
1000000,42,1000042,2,326,325.24167,0.00057738538
1000000,43,1000043,0,330,330.12311,0.00058304904
1000000,43,1000043,1,314,314,0.00058538247
1000000,43,1000043,2,313,312.67418,0.00060382108
1000000,44,1000044,0,377,377.47895,0.00058492434
1000000,44,1000044,1,266,266.21082,0.00057981835
1000000,44,1000044,2,378,377.36364,0.0005835918
1000000,45,1000045,0,320,320.02622,0.00057249721
1000000,45,1000045,1,200,199.79915,0.00058782924
1000000,45,1000045,2,199,199,0.00057716111
1000000,46,1000046,0,331,331,0.00057027027
1000000,46,1000046,1,196,195.38383,0.00057183665
1000000,46,1000046,2,195,194.73557,0.00057294685
1000000,47,1000047,0,332,332,0.0005708206
1000000,47,1000047,1,154,153.80354,0.00057538411
1000000,47,1000047,2,152,152.13271,0.00057383085
1000000,48,1000048,0,316,315.72526,0.00057837681
1000000,48,1000048,1,243,242.54869,0.00057213359
1000000,48,1000048,2,246,245.83417,0.00058059319
1000000,49,1000049,0,315,314.91846,0.00059781934
1000000,49,1000049,1,211,210.29652,0.00058938104
1000000,49,1000049,2,210,209.72493,0.00059704322
1000000,50,1000050,0,303,302.45142,0.00059383172
1000000,50,1000050,1,302,302.48567,0.00059438739
1000000,50,1000050,2,13,12.47356,0.00059614961
1000000,51,1000051,0,264,264,0.00059935637
1000000,51,1000051,1,263,262.97035,0.00062224559
1000000,51,1000051,2,95,95.319784,0.00058614332
1000000,52,1000052,0,272,271.71942,0.00058436637
1000000,52,1000052,1,250,249.69146,0.00059058663
1000000,52,1000052,2,241,241,0.00059125698
1000000,53,1000053,0,315,315,0.00058225631
1000000,53,1000053,1,316,316.05384,0.0005982503
1000000,53,1000053,2,178,178.14667,0.00059092537
1000000,54,1000054,0,428,427.9901,0.00060904515
1000000,54,1000054,1,430,430.84566,0.00060049364
1000000,54,1000054,2,159,158.51751,0.00062113597
1000000,55,1000055,0,474,474.35973,0.00059204035
1000000,55,1000055,1,475,475.13862,0.00058615005
1000000,55,1000055,2,96,95.287276,0.00058503587
1000000,56,1000056,0,411,411.1579,0.0006086727
1000000,56,1000056,1,292,291.7544,0.00061280521
1000000,56,1000056,2,123,123.43779,0.00061692035
1000000,57,1000057,0,329,328.35207,0.00060170643
1000000,57,1000057,1,283,283.79356,0.00060224418
1000000,57,1000057,2,137,137.39026,0.00064722804
1000000,58,1000058,0,387,387.35642,0.00062068582
1000000,58,1000058,1,243,242.848,0.00061447956
1000000,58,1000058,2,218,218.5813,0.00060813065
