n_start,q0,dt,q_eff,theta_subdeg,q_from_theta,theta_from_qeff,delta_theta,delta_q,track_r2,peakiness,sanity
1000000,6,5,0.7142857142857143,78.06636363649334,4.731571682473015,35.53767779197438,-42.528685844518954,-4.0172859681873,0.006273087283120704,3.444444467357878,permute_cols
1000000,7,6,nan,86.09661654098035,14.655775144304052,nan,nan,nan,0.004365534475966437,2.7777777539116086,permute_cols
1000000,8,6,nan,80.47500000107486,5.959788365853064,nan,nan,nan,1.243664599326344e-05,3.5714286120980003,permute_cols
1000000,9,7,1.4312630844382415,88.06346153846454,29.575431275449155,55.05863255164054,-33.004828986823995,-28.144168191010912,0.0015156264828105614,2.9999999865,permute_cols
1000000,10,8,1.4756790903348074,79.31474820220033,5.299827687623063,55.87630845289914,-23.438439749301196,-3.8241485972882554,0.011555518715636093,4.166666627206884,permute_cols
1000000,11,9,nan,80.34999999999549,5.881138596190809,nan,nan,nan,0.006245696916196919,3.7499999845312506,permute_cols
1000000,12,10,10.283687943262413,86.47819148906252,16.248357239739768,84.44594162640874,-2.032249862653785,-5.964669296477355,3.0114918336821006e-09,3.2857143386085,permute_cols
1000000,13,10,2.439024390243903,90.0,1.633123935319537e+16,67.70637084030592,-22.293629159694078,-1.6331239353195368e+16,0.0010907003886139188,3.1666665815116386,permute_cols
1000000,14,11,3.895833333333333,79.61329113955237,5.455699088022604,75.60386315283101,-4.009427986721363,-1.5598657546892714,0.005874044655680644,3.0000000217386575,permute_cols
1000000,15,12,4.820083682008368,85.21724137766168,11.951813187608046,78.27938635803076,-6.937855019630916,-7.131729505599678,0.0010144181307101263,2.9999999394723904,permute_cols
1000000,16,13,2.111488398415393,87.32985611559715,21.442400580538866,64.65778496086152,-22.672071154735633,-19.330912182123473,0.006889468196458415,4.600000038094409,permute_cols
1000000,17,14,nan,84.28489932886191,9.992060444518724,nan,nan,nan,0.0003324773082092891,4.499999728886495,permute_cols
1000000,18,14,nan,80.63750000000053,6.065143402441386,nan,nan,nan,0.012615277533346347,3.199999965440001,permute_cols
1000000,19,15,nan,85.9364077645992,14.076136703262186,nan,nan,nan,7.477652652632116e-08,5.499999868539616,permute_cols
1000000,20,16,6.833082706766917,85.01556603752213,11.46592913979323,81.67404857873734,-3.341517458784793,-4.632846433026313,0.01746932698630399,4.999999940000004,permute_cols
1000000,21,17,2.9299634591961023,84.56679389313169,10.513854348155434,71.15516612323258,-13.411627769899113,-7.583890888959331,0.007993254056615107,4.499999929125005,permute_cols
1000000,22,18,4.815939278937381,79.0900000000005,5.188049719363688,78.26957945498667,-0.8204205450138318,-0.37211044042630714,0.014450820549826715,4.749999921625004,permute_cols
1000000,23,18,2.8106312292358804,78.44065420560757,4.88923007936342,70.41485015224036,-8.02580405336721,-2.07859885012754,0.004723541545900156,3.7999999475600017,permute_cols
1000000,24,19,nan,81.01363636363472,6.323491631339112,nan,nan,nan,0.004693894232388085,3.399999951040001,permute_cols
1000000,25,20,nan,86.45481927748844,16.140965970463057,nan,nan,nan,5.356937432643427e-06,3.499999951837297,permute_cols
1000000,26,21,nan,82.10785123966838,7.2138725116793845,nan,nan,nan,0.00041304562494259844,3.9999999220000024,permute_cols
1000000,27,22,nan,89.36308411214962,89.95445166557344,nan,nan,nan,0.00030944968096291436,4.999999865000005,permute_cols
1000000,28,22,nan,83.78191489362634,9.178173069944215,nan,nan,nan,0.010035882871323842,4.249999910750003,permute_cols
1000000,29,23,nan,78.98636363636192,5.138025013476154,nan,nan,nan,0.0006321235257401581,3.9999999130000017,permute_cols
1000000,30,24,3.243878550440744,82.48999999999408,7.5855233816745224,72.86688506672324,-9.623114933270841,-4.341644831233778,0.006810392188457359,3.999999910000004,permute_cols
1000000,31,25,nan,80.31199999999863,5.8576275809730305,nan,nan,nan,6.801444785464739e-05,2.7499999360625016,permute_cols
1000000,32,26,nan,84.96739130434753,11.35561291157447,nan,nan,nan,2.4513261392522523e-05,4.99999984000001,permute_cols
1000000,33,26,nan,89.26911764705818,78.38836368542282,nan,nan,nan,9.401324864155569e-07,3.333333223333337,permute_cols
1000000,34,27,4.28546511627907,85.37500000000793,12.361357796545946,76.86524051755818,-8.509759482449752,-8.075892680266875,0.00410346329919653,4.333333186000011,permute_cols
1000000,35,28,nan,84.42391304348017,10.242805640267145,nan,nan,nan,0.0013777068870397535,3.99999986000001,permute_cols
1000000,36,29,nan,85.57799999999858,12.931246780520349,nan,nan,nan,0.00044720342194093377,4.666666498666674,permute_cols
1000000,37,30,4.652498564043653,85.74615384615161,13.444413618033458,77.86950038457651,-7.876653461575103,-8.791915053989804,0.0033939084669277753,2.2499999375625035,permute_cols
1000000,38,30,2.829200139713587,78.79909090907837,5.049948516630186,70.53369933638908,-8.265391572689296,-2.220748376916599,0.0010143052870613678,3.999999848000007,permute_cols
1000000,39,31,nan,89.7147058823497,200.8289075865227,nan,nan,nan,0.002539722816419787,3.333333203333345,permute_cols
1000000,40,32,2.948092127878996,81.88571428571188,7.013829345838962,71.26293913581115,-10.622775149900733,-4.065737217959966,7.767968860317165e-05,4.999999800000019,permute_cols
