center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
809,0,all,401,6611,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6598,0.324595190577663,5.585705313438468,61,126,18,17,44,0.7213114754098361,0.07202306382501421,3.6492358559147675,1.0,200,200,0,0,,,,,,,,,,
1388,0,all,401,3729,150,150.0,137,0.341645885286783,240,0.5985037406483791,3717,0.28053576660073487,5.456651433380584,61,74,27,26,35,0.5737704918032787,0.02276445409383598,3.3897762968249774,1.0,200,200,0,0,,,,,,,,,,
1355,0,all,401,3846,147,147.0,136,0.33915211970074816,245,0.6109725685785536,3836,0.2805987849834074,5.476656510163615,61,69,25,23,32,0.5245901639344263,0.05100771891198481,3.2894260667488875,1.0,200,200,0,0,,,,,,,,,,
509,0,all,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.3636895416023415,5.687880750646243,61,216,17,16,45,0.7377049180327869,0.2164107072822614,3.723514687206853,1.0,200,200,0,0,,,,,,,,,,
654,0,all,401,7613,107,107.0,92,0.22942643391521197,281,0.7007481296758105,7599,0.3542621651523071,5.624029794453048,61,142,20,18,40,0.6557377049180327,0.08293310675691679,3.5763963109208907,1.0,200,200,0,0,,,,,,,,,,
735,0,all,401,6908,112,112.0,97,0.24189526184538654,276,0.6882793017456359,6894,0.3463731454377837,5.604655407310621,61,158,20,19,42,0.6885245901639344,0.13643647102207235,3.6304903656305814,1.0,200,200,0,0,,,,,,,,,,
860,0,all,401,6008,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5992,0.3277046711084132,5.56250067628462,61,116,24,22,37,0.6065573770491803,0.0950624984712429,3.477145579610522,1.0,200,200,0,0,,,,,,,,,,
1055,0,all,401,4867,132,132.0,118,0.2942643391521197,257,0.6408977556109726,4854,0.3009023966705855,5.529093437050624,61,75,28,26,33,0.5409836065573771,0.03256879561802367,3.3361287730380216,1.0,200,200,0,0,,,,,,,,,,
852,0,all,401,6053,122,122.0,107,0.26683291770573564,266,0.6633416458852868,6039,0.32543905782409327,5.5662831515957985,61,105,24,22,37,0.6065573770491803,0.08112506127613506,3.4694691251236702,1.0,200,200,0,0,,,,,,,,,,
661,0,all,401,7606,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7594,0.35127135293657796,5.627570073785171,61,130,20,19,42,0.6885245901639344,0.13227241361618725,3.6043523757176787,1.0,200,200,0,0,,,,,,,,,,
