twin_center,control_center,twin_gap,control_gap,twin_entropy,control_entropy,twin_edges,control_edges,twin_gc_fraction,control_gc_fraction,twin_K0,twin_K_used,twin_K_bumps,twin_hit_kmax,control_K0,control_K_used,control_K_bumps,control_hit_kmax,delta_K_used,delta_logK,delta_edges,delta_gc_fraction,d,strict_pass
159192,159438,2.0,2.0,-0.0,-0.0,7,5,0.03278688524590164,0.03278688524590164,519,5921,6,0,520,5925,6,0,-4,-0.0006753334715572379,2,0.0,41,0
159192,158274,2.0,0.5,-0.0,0.9743147528693494,7,7,0.03278688524590164,0.06557377049180328,519,5921,6,0,518,5904,6,0,17,0.0028752662514666127,0,-0.03278688524590164,-153,1
2712,2568,0.08277178793678562,0.03662563028679792,2.4905096097794015,2.1961448548589946,27,28,0.2459016393442623,0.19672131147540983,68,230,3,0,66,224,3,0,6,0.026433257068156024,-1,0.04918032786885246,-24,0
2712,2568,0.08277178793678562,0.03662563028679792,2.4905096097794015,2.1961448548589946,27,28,0.2459016393442623,0.19672131147540983,68,230,3,0,66,224,3,0,6,0.026433257068156024,-1,0.04918032786885246,-24,1
85200,85080,1.0,0.3675444679663239,0.6365141682948128,1.6907215400954045,12,12,0.04918032786885246,0.11475409836065574,380,4332,6,0,380,4332,6,0,0,0.0,0,-0.06557377049180328,-20,0
85200,85596,1.0,0.4999999999999998,0.6365141682948128,0.9743147528693494,12,12,0.04918032786885246,0.06557377049180328,380,4332,6,0,381,4346,6,0,-14,-0.0032265526954944335,0,-0.016393442622950824,66,1
91128,91248,1.0,0.34594266799662543,0.6365141682948128,1.2639167128155817,9,10,0.04918032786885246,0.08196721311475409,393,4482,6,0,393,4482,6,0,0,0.0,-1,-0.032786885245901634,20,0
91128,89952,1.0,0.3459426679966248,0.6365141682948128,1.2639167128155815,9,9,0.04918032786885246,0.08196721311475409,393,4482,6,0,390,4446,6,0,36,0.008064559836730822,0,-0.032786885245901634,-196,1
129642,129516,2.0,2.0,-0.0,-0.0,4,4,0.03278688524590164,0.03278688524590164,469,5346,6,0,468,5333,6,0,13,0.002434686098261807,0,0.0,-21,0
129642,129516,2.0,2.0,-0.0,-0.0,4,4,0.03278688524590164,0.03278688524590164,469,5346,6,0,468,5333,6,0,13,0.002434686098261807,0,0.0,-21,1
105252,105414,1.0,0.3740897694298128,1.0397207708399179,1.5099389659125095,11,11,0.06557377049180328,0.09836065573770492,422,4811,6,0,423,4827,6,0,-16,-0.0033201939610396636,0,-0.032786885245901634,27,0
105252,104430,1.0,0.5000000000000001,1.0397207708399179,1.313834033192747,11,11,0.06557377049180328,0.08196721311475409,422,4811,6,0,421,4800,6,0,11,0.0022890448034704747,0,-0.01639344262295081,-137,1
193812,194022,2.0,2.0,-0.0,-0.0,1,2,0.03278688524590164,0.03278688524590164,573,6533,6,0,573,6533,6,0,0,0.0,-1,0.0,35,0
193812,193404,2.0,2.0,-0.0,-0.0,1,2,0.03278688524590164,0.03278688524590164,573,6533,6,0,572,6519,6,0,14,0.0021452659162122245,-1,0.0,-68,1
90402,90456,1.0,0.4999999999999998,0.6365141682948128,0.9743147528693494,8,9,0.04918032786885246,0.06557377049180328,391,4463,6,0,391,4463,6,0,0,0.0,-1,-0.016393442622950824,9,0
90402,90720,1.0,1.0,0.6365141682948128,0.6365141682948128,8,8,0.04918032786885246,0.04918032786885246,391,4463,6,0,392,4467,6,0,-4,-0.0008958567228489756,0,0.0,53,1
59472,59322,0.7257081148225683,0.34594266799662515,1.3498943414398357,1.2639167128155817,22,22,0.08196721311475409,0.08196721311475409,318,3626,6,0,317,3617,6,0,9,0.0024851593626991075,0,0.0,-25,0
59472,58914,0.7257081148225683,0.10309118971942928,1.3498943414398357,1.7850113830005003,22,22,0.08196721311475409,0.13114754098360656,318,3626,6,0,316,3603,6,0,23,0.006363280566702656,0,-0.04918032786885247,-93,1
48858,48606,0.7257081148225679,0.07019124774383063,1.3498943414398354,2.2862650282472567,22,24,0.08196721311475409,0.21311475409836064,288,3281,6,0,287,3279,6,0,2,0.000609756116451976,-2,-0.13114754098360654,-42,0
48858,48162,0.7257081148225679,0.22070595573715943,1.3498943414398354,1.8007467589631023,22,22,0.08196721311475409,0.13114754098360656,288,3281,6,0,286,3261,6,0,20,0.006114357171782103,0,-0.04918032786885247,-116,1
18060,18336,0.015890574570803177,0.08991407029942988,3.0034309599151703,2.6345916368502404,42,38,0.4098360655737705,0.2786885245901639,175,2003,6,0,177,2024,6,0,-21,-0.01042969474153832,4,0.1311475409836066,46,0
18060,17346,0.015890574570803177,0.07803852367379172,3.0034309599151703,3.037009454850898,42,47,0.4098360655737705,0.4098360655737705,175,2003,6,0,172,1962,6,0,41,0.020681695540510248,-5,0.0,-119,1
135018,134724,0.5,2.0,0.9743147528693494,-0.0,5,6,0.06557377049180328,0.03278688524590164,478,5448,6,0,478,5448,6,0,0,0.0,-1,0.03278688524590164,-49,0
135018,134610,0.5,1.0,0.9743147528693494,0.6365141682948128,5,5,0.06557377049180328,0.04918032786885246,478,5448,6,0,477,5439,6,0,9,0.001653348406389199,0,0.016393442622950824,-68,1
158232,158274,1.0,0.5,0.6365141682948128,0.9743147528693494,8,7,0.04918032786885246,0.06557377049180328,518,5904,6,0,518,5904,6,0,0,0.0,1,-0.016393442622950824,7,0
158232,157338,1.0,0.42264973081037427,0.6365141682948128,1.261202862571566,8,7,0.04918032786885246,0.08196721311475409,518,5904,6,0,516,5880,6,0,24,0.004073325387636828,1,-0.032786885245901634,-149,1
43398,43356,0.3876275643042056,0.37408976942981303,1.4935633396973285,1.5099389659125095,18,17,0.09836065573770492,0.09836065573770492,271,3096,6,0,271,3096,6,0,0,0.0,1,0.0,-7,0
43398,42906,0.3876275643042056,0.34594266799662543,1.4935633396973285,1.2639167128155817,18,18,0.09836065573770492,0.08196721311475409,271,3096,6,0,270,3078,6,0,18,0.005830920310794241,0,0.016393442622950824,-82,1
42900,42810,0.7257081148225679,0.27812470728452454,1.3498943414398354,1.8450436137761996,23,22,0.08196721311475409,0.13114754098360656,270,3078,6,0,269,3069,6,0,9,0.0029282597790878384,1,-0.04918032786885247,-15,0
42900,41910,0.7257081148225679,0.34594266799662515,1.3498943414398354,1.2639167128155817,23,23,0.08196721311475409,0.08196721311475409,270,3078,6,0,267,3050,6,0,28,0.009138444797367029,0,0.0,-165,1
48120,47922,0.2511156005611211,0.3675444679663242,2.068673675657142,1.6907215400954045,20,20,0.16393442622950818,0.11475409836065574,286,3261,6,0,285,3252,6,0,9,0.002763705121617832,0,0.049180327868852444,-33,0
48120,47922,0.2511156005611211,0.3675444679663242,2.068673675657142,1.6907215400954045,20,20,0.16393442622950818,0.11475409836065574,286,3261,6,0,285,3252,6,0,9,0.002763705121617832,0,0.049180327868852444,-33,1
102000,102144,0.4999999999999998,0.4999999999999998,0.9743147528693494,0.9743147528693494,11,10,0.06557377049180328,0.06557377049180328,416,4739,6,0,416,4739,6,0,0,0.0,1,0.0,24,0
102000,100830,0.4999999999999998,1.5,0.9743147528693494,0.6931471805599453,11,11,0.06557377049180328,0.04918032786885246,416,4739,6,0,413,4710,6,0,29,0.006138234957123956,0,0.016393442622950824,-195,1
82560,82488,0.4999999999999998,1.0,0.9743147528693494,0.6365141682948128,9,9,0.06557377049180328,0.04918032786885246,374,4265,6,0,374,4265,6,0,0,0.0,0,0.016393442622950824,-12,0
82560,81618,0.4999999999999998,0.5,0.9743147528693494,0.9743147528693494,9,9,0.06557377049180328,0.06557377049180328,374,4265,6,0,372,4239,6,0,26,0.00611478857314296,0,0.0,-157,1
29400,29178,0.2417254830715349,0.15536359308750217,2.171313229687828,1.9336084880888362,27,27,0.18032786885245902,0.14754098360655737,223,2550,6,0,223,2550,6,0,0,0.0,0,0.03278688524590165,-37,0
29400,28218,0.2417254830715349,0.09268553410389674,2.171313229687828,2.1395245817211923,27,27,0.18032786885245902,0.18032786885245902,223,2550,6,0,219,2502,6,0,48,0.019002947125615677,0,0.0,-197,1
135720,135696,0.7712864461218314,1.5,1.0477551054649423,0.6931471805599453,7,7,0.06557377049180328,0.04918032786885246,479,5466,6,0,479,5466,6,0,0,0.0,0,0.016393442622950824,-4,0
135720,135696,0.7712864461218314,1.5,1.0477551054649423,0.6931471805599453,7,7,0.06557377049180328,0.04918032786885246,479,5466,6,0,479,5466,6,0,0,0.0,0,0.016393442622950824,-4,1
10860,11034,0.17556064769159202,0.15187489833014195,2.6509030154283684,2.604428606707533,33,39,0.2786885245901639,0.26229508196721313,136,1034,5,0,137,1044,5,0,-10,-0.009624713374209115,-6,0.016393442622950782,29,0
10860,11268,0.17556064769159202,0.10920210575331638,2.6509030154283684,2.62184633018476,33,35,0.2786885245901639,0.2786885245901639,136,1034,5,0,138,1052,5,0,-18,-0.017258338229281023,-2,0.0,68,1
38670,38892,0.11679624725138951,0.18665317050540983,1.9262308806642063,1.9250412751130501,27,26,0.14754098360655737,0.14754098360655737,256,2916,6,0,257,2934,6,0,-18,-0.006153865574377804,1,0.0,37,0
38670,39180,0.11679624725138951,0.0823460596353326,1.9262308806642063,2.1706454746508563,27,27,0.14754098360655737,0.18032786885245902,256,2916,6,0,258,2943,6,0,-27,-0.009216655104923532,0,-0.03278688524590165,85,1
41388,41100,0.0736980421629242,0.19162843526797985,2.3212800943642846,1.9497126751632576,26,25,0.21311475409836064,0.14754098360655737,265,3024,6,0,264,3009,6,0,15,0.004972660669379181,1,0.06557377049180327,-48,0
41388,40728,0.0736980421629242,0.13963901931231032,2.3212800943642846,2.5457193236908733,26,27,0.21311475409836064,0.26229508196721313,265,3024,6,0,263,3005,6,0,19,0.006302890330116995,-1,-0.049180327868852486,-110,1
61332,61464,0.2362373841740266,0.09065332690660877,1.450714609605269,2.045873809605938,19,19,0.09836065573770492,0.16393442622950818,322,3672,6,0,323,3686,6,0,-14,-0.0038053864893878853,0,-0.06557377049180327,22,0
61332,60846,0.2362373841740266,0.4226497308103742,1.450714609605269,1.261202862571566,19,19,0.09836065573770492,0.08196721311475409,322,3672,6,0,321,3663,6,0,9,0.0024539889615660115,0,0.016393442622950824,-81,1
163020,162780,2.0,2.0,-0.0,-0.0,5,5,0.03278688524590164,0.03278688524590164,525,5985,6,0,525,5985,6,0,0,0.0,0,0.0,-40,0
163020,162318,2.0,2.0,-0.0,-0.0,5,5,0.03278688524590164,0.03278688524590164,525,5985,6,0,524,5972,6,0,13,0.002174459332993095,0,0.0,-117,1
35508,35652,0.05238675035889324,0.486771750007226,2.483631213304417,1.519888197058844,27,27,0.2459016393442623,0.09836065573770492,245,2795,6,0,246,2807,6,0,-12,-0.004284190772683161,0,0.14754098360655737,24,0
35508,34884,0.05238675035889324,0.10170622145782703,2.483631213304417,2.2172726366490494,27,27,0.2459016393442623,0.19672131147540983,245,2795,6,0,243,2775,6,0,20,0.0071813594086647115,0,0.04918032786885246,-104,1
181212,181260,0.5,1.0,0.9743147528693494,0.6365141682948128,6,6,0.06557377049180328,0.04918032786885246,554,6317,6,0,554,6317,6,0,0,0.0,0,0.016393442622950824,8,0
181212,180462,0.5,1.0,0.9743147528693494,0.6365141682948128,6,6,0.06557377049180328,0.04918032786885246,554,6317,6,0,553,6305,6,0,12,0.0019014424996797175,0,0.016393442622950824,-125,1
139200,139380,1.5,2.0,0.6931471805599453,-0.0,7,7,0.04918032786885246,0.03278688524590164,486,5540,6,0,486,5540,6,0,0,0.0,0,0.016393442622950817,30,0
139200,138030,1.5,1.0,0.6931471805599453,0.6365141682948128,7,7,0.04918032786885246,0.04918032786885246,486,5540,6,0,483,5508,6,0,32,0.005792919892783743,0,0.0,-195,1
95988,95820,0.5,0.7712864461218313,0.9743147528693494,1.0477551054649423,9,11,0.06557377049180328,0.06557377049180328,403,4598,6,0,403,4598,6,0,0,0.0,-2,0.0,-28,0
95988,94860,0.5,0.7712864461218313,0.9743147528693494,1.0477551054649423,9,9,0.06557377049180328,0.06557377049180328,403,4598,6,0,401,4575,6,0,23,0.005014727613504633,0,0.0,-188,1
56808,57030,0.7257081148225683,0.12485524891044172,1.3498943414398354,1.8225787979278563,22,21,0.08196721311475409,0.13114754098360656,310,3536,6,0,311,3551,6,0,-15,-0.004233109185552308,1,-0.04918032786885247,37,0
56808,57672,0.7257081148225683,0.2928932188134521,1.3498943414398354,1.6529143280619811,22,22,0.08196721311475409,0.11475409836065574,310,3536,6,0,313,3572,6,0,-36,-0.01012951823885544,0,-0.03278688524590165,144,1
76542,76662,0.33999413327683914,0.16989360365297704,1.4852200492704113,1.6271078452257772,13,14,0.09836065573770492,0.11475409836065574,360,4103,6,0,360,4103,6,0,0,0.0,-1,-0.016393442622950824,20,0
76542,75642,0.33999413327683914,0.1698936036529772,1.4852200492704113,1.627107845225777,13,13,0.09836065573770492,0.11475409836065574,360,4103,6,0,358,4082,6,0,21,0.005131349072396318,0,-0.016393442622950824,-150,1
55050,54756,0.10304646078537566,0.36754446796632384,1.786122846490784,1.6907215400954045,24,19,0.13114754098360656,0.11475409836065574,306,3491,6,0,305,3482,6,0,9,0.00258138677690134,5,0.016393442622950824,-49,0
55050,53928,0.10304646078537566,0.3950349319903449,1.786122846490784,1.5343075224580114,24,23,0.13114754098360656,0.09836065573770492,306,3491,6,0,302,3443,6,0,48,0.013845043766512077,1,0.03278688524590165,-187,1
131112,130974,1.0,0.5,0.6365141682948128,0.9743147528693494,6,6,0.04918032786885246,0.06557377049180328,471,5373,6,0,471,5373,6,0,0,0.0,0,-0.016393442622950824,-23,0
131112,130086,1.0,2.0,0.6365141682948128,-0.0,6,6,0.04918032786885246,0.03278688524590164,471,5373,6,0,469,5346,6,0,27,0.005037794029957965,0,0.016393442622950817,-171,1
184830,184746,2.0,2.0,-0.0,-0.0,4,4,0.03278688524590164,0.03278688524590164,559,6377,6,0,559,6377,6,0,0,0.0,0,0.0,-14,0
184830,183858,2.0,1.0,-0.0,0.6365141682948128,4,4,0.03278688524590164,0.04918032786885246,559,6377,6,0,558,6359,6,0,18,0.002826635047863846,0,-0.016393442622950817,-162,1
191142,191286,2.0,2.0,-0.0,-0.0,3,3,0.03278688524590164,0.03278688524590164,569,6488,6,0,569,6488,6,0,0,0.0,0,0.0,24,0
191142,190284,2.0,1.0,-0.0,0.6365141682948128,3,3,0.03278688524590164,0.04918032786885246,569,6488,6,0,568,6471,6,0,17,0.0026236607379832577,0,-0.016393442622950817,-143,1
5232,5406,0.23446591212007395,0.31315374698701925,2.0869454004152743,2.1048701674976433,30,28,0.16393442622950818,0.16393442622950818,95,485,4,0,96,486,4,0,-1,-0.002059732963010319,2,0.0,29,0
5232,5406,0.23446591212007395,0.31315374698701925,2.0869454004152743,2.1048701674976433,30,28,0.16393442622950818,0.16393442622950818,95,485,4,0,96,486,4,0,-1,-0.002059732963010319,2,0.0,29,1
33768,33960,0.1622941013313361,0.46065533708336837,1.653731631619134,1.546955582953871,30,30,0.11475409836065574,0.09836065573770492,239,2732,6,0,240,2735,6,0,-3,-0.0010974941654007253,0,0.016393442622950824,32,0
33768,32700,0.1622941013313361,0.19799717068312594,1.653731631619134,2.0909412665950993,30,30,0.11475409836065574,0.16393442622950818,239,2732,6,0,236,2691,6,0,41,0.015121069963774936,0,-0.049180327868852444,-178,1
3000,3282,0.14423289142159348,0.07062582071807623,2.8416423168132408,2.871476526428571,51,50,0.32786885245901637,0.3442622950819672,72,365,4,0,75,383,4,0,-18,-0.048137635598154205,1,-0.016393442622950838,47,0
3000,3282,0.14423289142159348,0.07062582071807623,2.8416423168132408,2.871476526428571,51,50,0.32786885245901637,0.3442622950819672,72,365,4,0,75,383,4,0,-18,-0.048137635598154205,1,-0.016393442622950838,47,1
28350,28326,0.0964581623875262,0.10304646078537555,2.5794019801787105,1.7861228464907841,37,29,0.26229508196721313,0.13114754098360656,219,2502,6,0,219,2502,6,0,0,0.0,8,0.13114754098360656,-4,0
28350,27276,0.0964581623875262,0.03184070623066551,2.5794019801787105,2.721957608630482,37,38,0.26229508196721313,0.3114754098360656,219,2502,6,0,215,2457,6,0,45,0.018149318505677137,-1,-0.04918032786885246,-179,1
111492,111582,1.0,1.0,0.6365141682948128,0.6365141682948128,6,7,0.04918032786885246,0.04918032786885246,435,4962,6,0,435,4962,6,0,0,0.0,-1,0.0,15,0
111492,112410,1.0,2.0,0.6365141682948128,-0.0,6,6,0.04918032786885246,0.03278688524590164,435,4962,6,0,436,4968,6,0,-6,-0.001208459361569325,0,0.016393442622950817,153,1
171762,171852,0.4999999999999998,1.0,0.9743147528693494,0.6365141682948128,6,7,0.06557377049180328,0.04918032786885246,539,6147,6,0,539,6147,6,0,0,0.0,-1,0.016393442622950824,15,0
171762,171036,0.4999999999999998,1.0,0.9743147528693494,0.6365141682948128,6,6,0.06557377049180328,0.04918032786885246,539,6147,6,0,538,6134,6,0,13,0.002117092232811757,0,0.016393442622950824,-121,1
118410,118338,1.0,1.0,0.6365141682948128,1.0397207708399179,7,7,0.04918032786885246,0.06557377049180328,448,5103,6,0,448,5103,6,0,0,0.0,0,-0.016393442622950824,-12,0
118410,118338,1.0,1.0,0.6365141682948128,1.0397207708399179,7,7,0.04918032786885246,0.06557377049180328,448,5103,6,0,448,5103,6,0,0,0.0,0,-0.016393442622950824,-12,1
150990,150906,1.0,0.5,0.6365141682948128,0.9743147528693494,8,6,0.04918032786885246,0.06557377049180328,506,5769,6,0,506,5769,6,0,0,0.0,2,-0.016393442622950824,-14,0
150990,149826,1.0,0.5,0.6365141682948128,0.9743147528693494,8,8,0.04918032786885246,0.06557377049180328,506,5769,6,0,504,5742,6,0,27,0.004691173575880114,0,-0.016393442622950824,-194,1
167268,167382,1.0,1.0,0.6365141682948128,0.6365141682948128,5,5,0.04918032786885246,0.04918032786885246,532,6062,6,0,532,6062,6,0,0,0.0,0,0.0,19,0
167268,166164,1.0,1.0,0.6365141682948128,0.6365141682948128,5,5,0.04918032786885246,0.04918032786885246,532,6062,6,0,530,6042,6,0,20,0.0033046956711313413,0,0.0,-184,1
159870,159768,0.29289321881345254,2.0,1.2215183802660192,-0.0,8,6,0.08196721311475409,0.03278688524590164,520,5925,6,0,520,5925,6,0,0,0.0,2,0.04918032786885245,-17,0
159870,160722,0.29289321881345254,1.0,1.2215183802660192,0.6365141682948128,8,8,0.08196721311475409,0.04918032786885246,520,5925,6,0,522,5952,6,0,-27,-0.0045466105095961495,0,0.032786885245901634,142,1
144540,144264,1.0,1.0,0.6365141682948128,0.6365141682948128,6,6,0.04918032786885246,0.04918032786885246,495,5648,6,0,494,5630,6,0,18,0.003192058039342527,0,0.0,-46,0
144540,143634,1.0,1.0,0.6365141682948128,0.6365141682948128,6,6,0.04918032786885246,0.04918032786885246,495,5648,6,0,493,5621,6,0,27,0.004791916171003052,0,0.0,-151,1
30090,30084,0.07847375554397887,0.08248446491806412,2.2001901809160924,2.0535181504269655,22,24,0.19672131147540983,0.16393442622950818,226,2579,6,0,226,2579,6,0,0,0.0,-2,0.03278688524590165,-1,0
30090,29634,0.07847375554397887,0.1490085130715692,2.2001901809160924,2.145445875857111,22,21,0.19672131147540983,0.18032786885245902,226,2579,6,0,224,2552,6,0,27,0.010524361416663908,1,0.01639344262295081,-76,1
50892,51144,0.1692176979106292,0.16745862006794002,1.7762684237937272,1.9993713839330667,17,17,0.13114754098360656,0.16393442622950818,294,3353,6,0,294,3353,6,0,0,0.0,0,-0.03278688524590162,42,0
50892,50580,0.1692176979106292,0.5000000000000002,1.7762684237937272,1.3138340331927472,17,17,0.13114754098360656,0.08196721311475409,294,3353,6,0,293,3342,6,0,11,0.0032860373108896113,0,0.04918032786885247,-52,1
7350,7068,0.17011686332611087,0.046116710290462055,2.6733226391575298,2.914920424166484,49,56,0.2786885245901639,0.36065573770491804,112,851,5,0,110,837,5,0,14,0.01658805808389907,-7,-0.08196721311475413,-47,0
122742,122622,1.0,0.5,0.6365141682948128,0.9743147528693494,6,7,0.04918032786885246,0.06557377049180328,456,5196,6,0,456,5196,6,0,0,0.0,-1,-0.016393442622950824,-20,0
122742,122130,1.0,1.0,0.6365141682948128,1.0397207708399179,6,6,0.04918032786885246,0.06557377049180328,456,5196,6,0,455,5192,6,0,4,0.0007701194065639072,0,-0.016393442622950824,-102,1
32718,32700,0.17679787216109144,0.19799717068312594,2.336692292314544,2.0909412665950993,32,30,0.21311475409836064,0.16393442622950818,236,2691,6,0,236,2691,6,0,0,0.0,2,0.04918032786885246,-3,0
32718,32220,0.17679787216109144,0.1157927200901438,2.336692292314544,2.405985361652716,32,32,0.21311475409836064,0.22950819672131148,236,2691,6,0,234,2672,6,0,19,0.007085616070369838,0,-0.016393442622950838,-83,1
30840,30552,0.13326546548267826,0.09061246878670612,2.192206351302218,2.5312308236506933,31,31,0.18032786885245902,0.26229508196721313,229,2613,6,0,228,2600,6,0,13,0.004987541511039417,0,-0.0819672131147541,-48,0
30840,31812,0.13326546548267826,0.09554640840181215,2.192206351302218,2.3551135586693395,31,30,0.18032786885245902,0.21311475409836064,229,2613,6,0,232,2645,6,0,-32,-0.012172078771786943,1,-0.03278688524590162,162,1
19182,19038,0.025556907093688463,0.15096665222695835,2.8849642193049263,2.5312848554036997,42,42,0.36065573770491804,0.2459016393442623,181,2066,6,0,180,2052,6,0,14,0.006799443388923798,0,0.11475409836065575,-24,0
