center,is_twin_center,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy
600,1,401,8372,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8362,0.32682639052288914,5.6538243785334945,81,316,24,58,0.7160493827160493,0.21688739444779992,3.993230338440346
840,0,401,6233,121,121.0,109,0.2718204488778055,270,0.6733167082294265,6222,0.2856837096168452,5.582318909168932,81,219,29,53,0.654320987654321,0.14172326856875164,3.870101447421333
1000,0,401,5078,129,129.0,115,0.286783042394015,260,0.6483790523690773,5065,0.27628793575310784,5.542179947469627,81,168,28,54,0.6666666666666666,0.04791003349097865,3.8767919278896845
928,0,401,5524,127,127.0,115,0.286783042394015,264,0.6583541147132169,5513,0.2889978099824551,5.558599824560223,81,243,27,55,0.6790123456790124,0.09965144561584902,3.919380089480849
1253,0,401,4230,139,139.0,122,0.30423940149625933,247,0.6159600997506235,4214,0.27907928454127806,5.487824741798873,81,144,36,45,0.5555555555555556,0.06509696581908847,3.6960073801781053
510,0,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.34492767689966086,5.688784085628131,81,395,21,61,0.7530864197530864,0.21269544389535316,4.051297745014701
1342,0,401,3849,147,147.0,135,0.33665835411471323,244,0.6084788029925187,3838,0.2626879434289469,5.47338931890462,81,144,32,50,0.6172839506172839,0.08747757474406254,3.7818901691952598
1348,0,401,3837,148,148.0,137,0.341645885286783,244,0.6084788029925187,3827,0.26134389408942726,5.473616036211304,81,150,32,50,0.6172839506172839,0.10231901204260167,3.785241976755579
1325,0,401,3893,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3882,0.23127610858845193,5.477526939129696,81,166,34,47,0.5802469135802469,0.17084437923852078,3.744262079690041
806,0,401,6549,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6536,0.2862356805199926,5.58652299889037,81,215,28,54,0.6666666666666666,0.10403386659318531,3.8896244328330214
1378,0,401,3704,150,150.0,139,0.34663341645885287,242,0.6034912718204489,3694,0.25971435639103196,5.465318284407429,81,130,34,48,0.5925925925925926,0.04637394590937128,3.7374129573304034
