center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
134820,0,six,,,,,,,,,,,,61,12,51,45,6,0.09836065573770492,0.5000000000000001,1.531753924094844,1.0,478,5448,6,0,0.0,3.0,1.0,2.0,0,0,1,1,1.0,2.0
127146,0,six,,,,,,,,,,,,61,5,56,51,2,0.03278688524590164,2.0,-0.0,1.0,464,5286,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
9762,0,six,,,,,,,,,,,,61,43,37,32,13,0.21311475409836064,0.0323744368119349,2.339454701563025,1.0,129,984,5,0,1.0,4.0,0.0,4.0,1,0,0,1,0.0,4.0
180936,0,six,,,,,,,,,,,,61,5,56,52,3,0.04918032786885246,1.0,0.6365141682948128,1.0,553,6305,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
134016,0,six,,,,,,,,,,,,61,7,54,49,3,0.04918032786885246,1.0,0.6365141682948128,1.0,476,5426,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
11076,0,six,,,,,,,,,,,,61,20,46,41,11,0.18032786885245902,0.16653535956782708,2.1699365912822497,1.0,137,696,4,0,0.0,4.0,2.0,2.0,0,0,1,0,2.0,2.0
163884,0,six,,,,,,,,,,,,61,5,56,51,2,0.03278688524590164,2.0,-0.0,1.0,527,6012,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
1872,1,six,,,,,,,,,,,,61,36,39,35,15,0.2459016393442623,0.22913458948293466,2.5145480061986833,1.0,57,194,3,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
3138,0,six,,,,,,,,,,,,61,28,41,37,10,0.16393442622950818,0.15413068566493004,2.078132526755308,1.0,73,248,3,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
64926,0,six,,,,,,,,,,,,61,16,48,39,3,0.04918032786885246,1.0,0.6365141682948128,1.0,332,3785,6,0,1.0,2.0,2.0,0.0,0,1,0,0,2.0,0.0
70848,0,six,,,,,,,,,,,,61,19,44,38,9,0.14754098360655737,0.16132951224471243,1.940525659385086,1.0,347,3960,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
113196,0,six,,,,,,,,,,,,61,11,51,44,4,0.06557377049180328,0.4999999999999998,0.9743147528693494,1.0,438,4994,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
39636,0,six,,,,,,,,,,,,61,30,38,32,13,0.21311475409836064,0.08869394177416073,2.328069864738837,1.0,259,2957,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
163512,0,six,,,,,,,,,,,,61,7,54,47,2,0.03278688524590164,2.0,-0.0,1.0,526,5994,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
42150,0,six,,,,,,,,,,,,61,24,43,38,14,0.22950819672131148,0.07162758328117115,2.44706206159802,1.0,267,3050,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
71940,0,six,,,,,,,,,,,,61,12,50,43,4,0.06557377049180328,0.5,0.9743147528693494,1.0,349,3981,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
