center,is_twin_center,core_gc_spectral_gap,core_gc_entropy,core_edges,core_gc_fraction
510,0,0.2669108708294383,3.750136011626454,234.0,0.7540983606557377
524,0,0.247711373312017,3.7475107363470204,214.0,0.7540983606557377
503,0,0.2361966466828579,3.7282414137577464,216.0,0.7377049180327869
567,0,0.22925597314034282,3.7258997625730093,225.0,0.7377049180327869
511,0,0.22867271617582496,3.7242220489466806,212.0,0.7377049180327869
506,0,0.21911895022413203,3.727931267392094,219.0,0.7377049180327869
513,0,0.2185575555224598,3.726477730870173,221.0,0.7377049180327869
509,0,0.2164107072822614,3.723514687206853,216.0,0.7377049180327869
690,0,0.21235777764711752,3.6210512470564407,161.0,0.6721311475409836
514,0,0.2119643220779322,3.722043998133827,205.0,0.7377049180327869
750,0,0.2114328771041374,3.5357303867044623,148.0,0.6229508196721312
764,0,0.20789687287568936,3.5771657548898657,146.0,0.6557377049180327
598,0,0.2077453991926631,3.6870759703312173,165.0,0.7213114754098361
562,0,0.20733281887146013,3.7481384591149634,229.0,0.7540983606557377
563,0,0.20539522021834078,3.721332110402241,213.0,0.7377049180327869
600,1,0.20494950996762906,3.7174793652188396,183.0,0.7377049180327869
768,0,0.20109958525971813,3.6147512835069504,159.0,0.6721311475409836
592,0,0.1997915638559169,3.644599214437357,170.0,0.6885245901639344
689,0,0.194155321768878,3.5664716111527186,146.0,0.639344262295082
687,0,0.19114464144592896,3.6189357789300116,158.0,0.6721311475409836
527,0,0.19108064607502842,3.7215749434953747,217.0,0.7377049180327869
755,0,0.19089438798056962,3.575677678187616,144.0,0.6557377049180327
886,0,0.18801698397273478,3.3224971907468595,119.0,0.5081967213114754
711,0,0.18497693219703498,3.5827963852956253,140.0,0.6557377049180327
1282,0,0.17982593990173062,3.1946142810679907,86.0,0.45901639344262296
593,0,0.17520470095669277,3.6694972674318365,177.0,0.7049180327868853
671,0,0.16851749705829316,3.6025098937100717,142.0,0.6721311475409836
684,0,0.1648268083368305,3.6460892378021037,149.0,0.7049180327868853
1313,0,0.16366790326246397,3.2737205191071514,82.0,0.4918032786885246
581,0,0.16162107183337326,3.7437113503248662,205.0,0.7540983606557377
