center,is_twin_center,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy
600,1,401,8372,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8362,0.32682639052288914,5.6538243785334945,61,183,17,45,0.7377049180327869,0.20348324924745614,3.7207447710198824
840,0,401,6233,121,121.0,109,0.2718204488778055,270,0.6733167082294265,6222,0.2856837096168452,5.582318909168932,61,126,24,38,0.6229508196721312,0.06418978510680823,3.50768007833394
1000,0,401,5078,129,129.0,115,0.286783042394015,260,0.6483790523690773,5065,0.27628793575310784,5.542179947469627,61,80,23,37,0.6065573770491803,0.047239880208131066,3.446415719253634
928,0,401,5524,127,127.0,115,0.286783042394015,264,0.6583541147132169,5513,0.2889978099824551,5.558599824560223,61,119,23,39,0.639344262295082,0.059283286997451765,3.5423941637731486
1253,0,401,4230,139,139.0,122,0.30423940149625933,247,0.6159600997506235,4214,0.27907928454127806,5.487824741798873,61,72,27,35,0.5737704918032787,0.04895015885316771,3.3791900702837525
510,0,401,9504,89,89.0,74,0.18453865336658354,299,0.7456359102244389,9490,0.34492767689966086,5.688784085628131,61,234,16,46,0.7540983606557377,0.2632420779676887,3.7532220354945744
1342,0,401,3849,147,147.0,135,0.33665835411471323,244,0.6084788029925187,3838,0.2626879434289469,5.47338931890462,61,67,28,32,0.5245901639344263,0.06981807562968677,3.297186807540596
1348,0,401,3837,148,148.0,137,0.341645885286783,244,0.6084788029925187,3827,0.26134389408942726,5.473616036211304,61,64,28,32,0.5245901639344263,0.05968635550527095,3.286655420476265
1325,0,401,3893,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3882,0.23127610858845193,5.477526939129696,61,74,27,34,0.5573770491803278,0.04823558628833598,3.3646666618611554
806,0,401,6549,118,118.0,104,0.2593516209476309,271,0.6758104738154613,6536,0.2862356805199926,5.58652299889037,61,134,17,45,0.7377049180327869,0.07437598540515725,3.683231779815718
1378,0,401,3704,150,150.0,139,0.34663341645885287,242,0.6034912718204489,3694,0.25971435639103196,5.465318284407429,61,76,27,34,0.5573770491803278,0.05286335664497345,3.357636961937092
879,0,401,5907,121,121.0,105,0.26184538653366585,266,0.6633416458852868,5892,0.2867974388180224,5.566941422476459,61,111,22,39,0.639344262295082,0.03855045717570468,3.528202066166175
1457,0,401,3527,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3516,0.2770616378982744,5.456747067976306,61,47,34,23,0.3770491803278688,0.022169182576477296,2.9187488284956333
699,0,401,7131,111,111.0,98,0.24438902743142144,279,0.6957605985037406,7119,0.305288479629941,5.616848570698757,61,131,23,39,0.639344262295082,0.12547539896857973,3.566618462933468
777,0,401,6636,117,117.0,103,0.256857855361596,272,0.6783042394014963,6623,0.30062268511104195,5.590165732551634,61,147,18,44,0.7213114754098361,0.13466516746978885,3.667563330137214
1082,0,401,4743,132,132.0,118,0.2942643391521197,257,0.6408977556109726,4730,0.26188668722618147,5.529360495157993,61,78,25,30,0.4918032786885246,0.018603190769348656,3.237934865606553
948,0,401,5404,126,126.0,112,0.2793017456359102,263,0.655860349127182,5391,0.2876379448706917,5.554403188094058,61,111,25,36,0.5901639344262295,0.07482973027893233,3.4683007307522753
666,0,401,7446,109,109.0,96,0.23940149625935161,281,0.7007481296758105,7434,0.31579837454434717,5.624535714334215,61,154,18,44,0.7213114754098361,0.12703413407538613,3.6693765799509546
884,0,401,5779,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5763,0.2833968819713769,5.5629504936151655,61,133,23,36,0.5901639344262295,0.1441468040586813,3.480174894941369
628,0,401,8033,106,106.0,94,0.2344139650872818,285,0.7107231920199502,8022,0.3266223034220648,5.63954083720794,61,139,19,40,0.6557377049180327,0.11980354507868184,3.57812642015738
