center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all
51582,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
16848,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
65052,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
118998,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
4194,0,six,,,,,,,,,,,,61,9,52,45,3,0.04918032786885246,1.0,0.6365141682948128,1.0
59604,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
90606,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
138030,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
134982,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
62238,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
152298,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
127818,1,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
5562,0,six,,,,,,,,,,,,61,5,56,51,2,0.03278688524590164,2.0,-0.0,1.0
19908,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
24456,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
175536,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
31404,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
153120,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
71088,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
5118,0,six,,,,,,,,,,,,61,4,57,53,2,0.03278688524590164,2.0,-0.0,1.0
145122,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
85194,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
48288,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
189564,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
24708,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
5946,0,six,,,,,,,,,,,,61,3,58,55,2,0.03278688524590164,2.0,-0.0,1.0
193896,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
128610,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
165990,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
79782,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
143754,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
47454,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
59364,0,six,,,,,,,,,,,,61,0,61,61,1,0.01639344262295082,0.0,0.0,1.0
