center,is_twin_center,core_gc_spectral_gap,core_gc_entropy,core_edges,core_gc_fraction
117942,0,1.5,0.6931471805599453,9.0,0.04918032786885246
64092,0,1.5,0.6931471805599453,11.0,0.04918032786885246
171042,0,1.5,0.6931471805599453,4.0,0.04918032786885246
175536,0,1.5,0.6931471805599453,6.0,0.04918032786885246
153120,0,1.5,0.6931471805599453,7.0,0.04918032786885246
163008,0,1.5,0.6931471805599453,7.0,0.04918032786885246
77214,0,1.5,0.6931471805599453,10.0,0.04918032786885246
104454,0,1.5,0.6931471805599453,10.0,0.04918032786885246
136200,0,1.5,0.6931471805599453,8.0,0.04918032786885246
107712,0,1.5,0.6931471805599453,8.0,0.04918032786885246
118812,0,1.5,0.6931471805599453,6.0,0.04918032786885246
102414,0,1.5,0.6931471805599453,8.0,0.04918032786885246
141636,0,1.5,0.6931471805599453,8.0,0.04918032786885246
125952,0,1.5,0.6931471805599453,9.0,0.04918032786885246
123678,0,1.5,0.6931471805599453,9.0,0.04918032786885246
95550,0,1.5,0.6931471805599453,11.0,0.04918032786885246
94428,0,1.5,0.6931471805599453,10.0,0.04918032786885246
98508,0,1.5,0.6931471805599453,7.0,0.04918032786885246
99318,0,1.5,0.6931471805599453,10.0,0.04918032786885246
112902,0,1.5,0.6931471805599453,9.0,0.04918032786885246
127326,0,1.5,0.6931471805599453,7.0,0.04918032786885246
136920,0,1.5,0.6931471805599453,8.0,0.04918032786885246
117954,0,1.5,0.6931471805599453,5.0,0.04918032786885246
172812,0,1.5,0.6931471805599453,7.0,0.04918032786885246
100830,0,1.5,0.6931471805599453,11.0,0.04918032786885246
105936,0,1.5,0.6931471805599453,9.0,0.04918032786885246
149148,0,1.5,0.6931471805599453,9.0,0.04918032786885246
112818,0,1.5,0.6931471805599453,10.0,0.04918032786885246
84462,0,1.5,0.6931471805599453,9.0,0.04918032786885246
75096,0,1.5,0.6931471805599453,11.0,0.04918032786885246
