center,is_twin_center,core_gc_spectral_gap,core_gc_entropy,core_edges,core_gc_fraction
510,0,0.2632420779676887,3.7532220354945744,234.0,0.7540983606557377
524,0,0.25356747302059257,3.749503756335404,214.0,0.7540983606557377
567,0,0.23613482148188214,3.7292635889482924,225.0,0.7377049180327869
503,0,0.23403593886420523,3.7309552280578298,216.0,0.7377049180327869
750,0,0.22946822341376677,3.541085603119015,148.0,0.6229508196721312
562,0,0.2200845134149725,3.7515633707324514,229.0,0.7540983606557377
690,0,0.21950169207733544,3.62585974430488,161.0,0.6721311475409836
764,0,0.21816428918398903,3.580923293024783,146.0,0.6557377049180327
563,0,0.2175073429417455,3.724903068451245,213.0,0.7377049180327869
509,0,0.21612296227610173,3.7266494807614046,216.0,0.7377049180327869
511,0,0.2149050502292288,3.7273104425814503,212.0,0.7377049180327869
506,0,0.21401196085736546,3.730864668204934,219.0,0.7377049180327869
755,0,0.21026655670763722,3.578887514760251,144.0,0.6557377049180327
513,0,0.20640913456466714,3.7293037943619503,221.0,0.7377049180327869
514,0,0.2038316206936446,3.724543142442951,205.0,0.7377049180327869
600,1,0.20348324924745614,3.7207447710198824,183.0,0.7377049180327869
768,0,0.2012896360688433,3.6180717949505468,159.0,0.6721311475409836
689,0,0.1993981370320847,3.5705283120920943,146.0,0.639344262295082
598,0,0.19865252224737057,3.690468383718653,165.0,0.7213114754098361
527,0,0.19819879752148106,3.7233214214877948,217.0,0.7377049180327869
687,0,0.19574721738425038,3.6226043996961135,158.0,0.6721311475409836
711,0,0.19084331746304806,3.587589622740232,140.0,0.6557377049180327
592,0,0.18962517811828433,3.6476275688273017,170.0,0.6885245901639344
1282,0,0.18211926777925933,3.198352788111807,86.0,0.45901639344262296
886,0,0.17862049801694738,3.323829281179126,119.0,0.5081967213114754
684,0,0.174084461229057,3.648970221570738,149.0,0.7049180327868853
671,0,0.1720426820023462,3.605186427374016,142.0,0.6721311475409836
593,0,0.16433947006748778,3.672426296884789,177.0,0.7049180327868853
771,0,0.16208719585742137,3.6656060692963424,147.0,0.7213114754098361
1313,0,0.1605224354611166,3.2781050375594263,82.0,0.4918032786885246
