twin_center,control_center,twin_gap,control_gap,twin_entropy,control_entropy,twin_edges,control_edges
522,558,0.25354427204912333,0.1713013424669423,3.7754294877093684,3.7303090088909467,232,233
570,558,0.24350761395229414,0.1713013424669423,3.7331181289765802,3.7303090088909467,229,233
600,594,0.20348324924745614,0.163948085379104,3.7207447710198824,3.7161662421593595,183,182
618,750,0.14637820254058082,0.22946822341376677,3.605702145160342,3.541085603119015,148,148
642,666,0.12486492680808231,0.12703413407538613,3.588990872737118,3.6693765799509546,156,154
660,684,0.12575929570580563,0.174084461229057,3.642711796287704,3.648970221570738,149,149
810,726,0.07438810163128642,0.11236558994316755,3.6648139826601955,3.621131233203163,140,140
822,864,0.10976427386922803,0.10905603561259034,3.5144813180503176,3.478713134593466,112,111
828,900,0.08796810995550652,0.018273222448352403,3.5478044983392714,3.6072934477016414,124,124
858,852,0.10795933305224972,0.09098603464001756,3.4524836198890743,3.4737435257454243,106,105
882,648,0.14370017992175282,0.07078754316440422,3.4510317404201003,3.468196987456368,129,129
1020,1044,0.15508364682000608,0.030278298243408303,3.241797683294743,3.4584973687594323,87,87
1032,1110,0.03435455330582177,0.04753082929652386,3.2673218846675076,3.161126220859724,72,72
1050,1038,0.02584406381364801,0.03593581563819383,3.4591335075425307,3.4002327668182315,84,84
1062,1044,0.05735406994931754,0.030278298243408303,3.413817951239217,3.4584973687594323,87,87
1092,1170,0.06813452882098424,0.09188330991911728,3.49789740949026,3.4642736746237377,96,96
1152,1104,0.05184194663372401,0.017092620524393094,3.4216314766291993,3.453775663148532,77,77
1230,1056,0.07974561456329265,0.0791504905434236,3.248249921332015,3.147323694600596,76,75
1278,1068,0.10568339744562558,0.06260181634139562,3.1561595940719727,3.277094976421445,71,70
1290,1248,0.10952156718914431,0.058380682274894166,3.3195389751949325,3.5136195949111153,89,89
1302,1080,0.15755996270098127,0.08214111000655812,3.244594065931922,3.4027593099131566,83,83
1320,1068,0.06474928748739375,0.06260181634139562,3.300896794740261,3.277094976421445,70,70
1428,1476,0.014947013349255002,0.027518574413301723,3.0858359776656314,3.0413497689493907,47,46
1452,1440,0.04245156234008514,0.016911678503886505,2.8816726809396056,3.0501644723702177,52,52
1482,1758,0.07483320316114427,0.02996606732682895,2.853897164352657,3.091354848901071,50,50
1488,1506,0.032017989733322004,0.053213964890121083,3.009744666134196,3.0778628990061194,54,54
1608,1422,0.05277828060924822,0.021404294705980622,3.1905410497721927,2.8460581208754476,55,55
1620,1518,0.007860612253344581,0.11691636772201408,3.274395617792818,2.973832519355507,56,56
1668,1686,0.060506971439471105,0.1276702264276995,2.993176820087538,2.924923997859727,45,45
1698,1674,0.07225492302239601,0.05821641567042041,2.940771620128617,2.8000391211185556,42,42
1722,1758,0.039162030984056205,0.02996606732682895,3.062670360376535,3.091354848901071,50,50
1788,1728,0.06827688333722312,0.04442314639622531,2.7432210699499184,3.014078923218003,46,46
1872,2040,0.22913458948293466,0.04424100276670062,2.5145480061986833,2.649255734669265,36,36
1878,1704,0.07016346720173597,0.07062807755762136,2.8426670382532064,2.8909998264738266,40,40
1932,1968,0.06129199494191384,0.21179618589040666,2.345578779749581,2.5100958135655715,39,39
1950,1680,0.04094552914724491,0.20405790554532383,3.1323340469089977,2.7902271392303417,49,49
1998,1830,0.17365600956439692,0.039793761537792384,2.8238298563024107,2.54786811489461,44,44
2028,1848,0.06367157477766303,0.022467831688936638,2.506914124982596,2.7887957218057844,37,37
2082,1860,0.32789237655645476,0.1459356758753602,2.0130001698200912,2.691457639488096,42,42
2088,1956,0.032052939812082216,0.026795455423718598,2.416739324894763,2.941003008386262,35,35
2112,1956,0.13240345060226755,0.026795455423718598,2.1835141995776457,2.941003008386262,35,35
2130,1896,0.05447035212371616,0.10945970060810675,2.578974335250304,2.8342100468630487,46,45
2142,1860,0.2407135000212742,0.1459356758753602,2.2460404313650955,2.691457639488096,42,42
2238,1938,0.07619454477033104,0.06280735023751637,2.5905698578932093,2.345570644557846,37,37
2268,2244,0.26297792277782217,0.057087264182190886,1.9661804221777466,2.4178062952743637,26,26
2310,2124,0.13114419755324172,0.3158473766287467,2.0750570186678505,2.0173125763462476,32,32
2340,2124,0.317163199288824,0.3158473766287467,2.0924938080820317,2.0173125763462476,32,32
2382,2400,0.6096117967977925,0.07040505600328309,1.5488371687775784,2.2454598544457016,24,24
2550,2520,0.12588047359835414,0.10297840635781347,1.8161983847569532,1.9664489267970693,26,26
2592,2448,0.05405638787256496,0.033256995945622515,2.7480898383495163,2.60430085859577,29,29
2658,2622,0.725708114822568,0.2928932188134524,1.3498943414398354,1.4720659977752126,18,18
2688,2520,0.1960435585425839,0.10297840635781347,1.4520821133100175,1.9664489267970693,26,26
2712,2538,0.4264852943382419,0.2840476724302531,1.54306966993517,1.6762376184370327,24,24
2730,3030,0.09460603052717713,0.06664474561250003,2.3530253717036027,2.130470276253156,30,30
2790,2718,0.2500000000000003,0.5000000000000002,1.944553340867074,1.3138340331927472,19,19
2802,2700,0.019327083275115398,0.4579164059829835,2.5684895666129908,1.8809866052473088,27,27
2970,2676,0.2738985186275067,0.09827605343195728,1.8217776998619157,1.9197649285177985,24,24
3000,2886,0.15376157219871833,0.48677175000722606,1.8032638464630708,1.5198881970588443,18,18
3120,2916,0.13823870743547845,0.37408976942981353,2.0207321530070947,1.5099389659125095,21,21
3168,2880,0.27268555464920236,0.17298690306825537,1.6399942253093207,1.9287621472751417,19,19
3252,2976,0.16229410133133598,0.2726855546492023,1.6537316316191335,1.6399942253093207,15,15
3258,3096,0.426485294338242,0.1960435585425839,1.5430696699351698,1.4520821133100177,16,16
3300,3006,0.37408976942981315,0.34594266799662515,1.5099389659125095,1.2639167128155817,17,17
3330,3042,0.11538197349257188,0.5000000000000002,1.9247118451142624,1.3138340331927472,19,19
3360,3066,0.1331018956707305,0.5000000000000006,1.9202401645426888,1.3138340331927472,19,19
3372,3138,0.7257081148225679,0.1856839326471237,1.3498943414398354,1.94930172423902,18,18
3390,3192,0.7257081148225679,0.565741454089335,1.3498943414398354,1.3022435533711254,15,15
3462,3234,0.4999999999999998,0.7257081148225683,0.9743147528693494,1.3498943414398357,14,14
3468,3174,0.3068539483828445,0.5657414540893344,1.6995661780171298,1.499631534559362,19,19
3528,3234,0.42264973081037427,0.7257081148225683,1.261202862571566,1.3498943414398357,14,14
3540,3246,0.16971212821298912,0.33506388878226684,1.651164364765287,1.6733191710652415,16,16
3558,3444,0.16971212821298973,0.6909830056250533,1.651164364765287,1.3244102569320977,15,15
3582,3444,0.19604355854258393,0.6909830056250533,1.4520821133100175,1.3244102569320977,15,15
3672,3516,0.7712864461218314,0.19537406380344452,1.0477551054649423,1.7920418651888324,12,12
3768,3474,0.14955792360686015,0.37408976942981265,1.638176862353683,1.5099389659125095,14,14
3822,3534,0.3459426679966248,0.7712864461218313,1.2639167128155815,1.0477551054649423,10,10
3852,4086,1.0,1.0,0.6365141682948128,0.6365141682948128,7,7
3918,3618,0.23623738417402665,0.771286446121831,1.450714609605269,1.047755105464942,12,12
3930,3714,0.7712864461218313,1.3333333333333335,1.0477551054649423,1.0986122886681096,15,15
4002,3702,0.22630876790637863,0.2046663545568726,1.648613730341102,1.480765797970844,14,14
4020,3720,0.5657414540893354,1.0,1.3022435533711254,0.6365141682948128,12,12
4050,3912,0.5000000000000001,0.2928932188134524,1.313834033192747,1.2215183802660192,13,13
4092,3816,1.5,0.3459426679966248,0.6931471805599453,1.2639167128155815,6,6
4128,4134,1.0,1.5,0.6365141682948128,0.6931471805599453,6,6
4158,3924,0.2625951831836577,0.2362373841740266,1.480616415302653,1.450714609605269,15,14
