p_range,tf_q_limit,N_seeds,N_test_total,base_rate_mean,base_rate_ci_low,base_rate_ci_high,auc_mean,auc_ci_low,auc_ci_high,enrichment@1pct_mean,enrichment@1pct_ci_low,enrichment@1pct_ci_high,enrichment@5pct_mean,enrichment@5pct_ci_low,enrichment@5pct_ci_high
100000-120000,1000000,3,915,0.2098360655737705,0.18193989071038252,0.23825136612021858,0.5050606558321807,0.4588027905840429,0.5467949616438448,2.6475694444444446,0.49114331723027377,3.473568771169969,1.1396059782608696,0.604904388083736,1.7351705998604967
100000-120000,2000000,3,885,0.19887005649717515,0.17228813559322034,0.22658192090395476,0.533854500576997,0.4868084447543858,0.5820019972531961,2.2348484848484844,0.4964328231292517,3.270282092209465,1.371384297520661,0.7108015422077922,1.8924860004838526
100000-120000,5000000,3,846,0.16430260047281323,0.13947990543735225,0.1867612293144208,0.49539039207106733,0.448059153372948,0.543026463863003,1.5215827338129497,0.0,4.484947183098591,0.579650565262076,0.42698692152917506,1.8246289424860849
100000-120000,10000000,3,810,0.10987654320987654,0.08765432098765433,0.1308641975308642,0.5055244744346958,0.4521464871653017,0.565117286679151,0.0,0.0,3.8973676639815857,1.3651685393258426,0.4067806246209825,2.306962025316456
200000-220000,1000000,3,933,0.2529474812433012,0.22508038585209003,0.27867095391211144,0.5135325730126693,0.4759749806533092,0.5512680721675035,1.3177966101694913,0.0,2.1778711484593836,0.9252614496934728,0.41348484921243833,1.4061170212765952
200000-220000,2000000,3,888,0.17905405405405406,0.15427927927927929,0.20495495495495494,0.5238113725185702,0.47841423970703484,0.5675185985228245,1.241090146750524,0.0,2.5384835952577887,1.142367066895369,0.4847800565353412,1.5904669103811622
200000-220000,5000000,3,849,0.18138987043580684,0.15665488810365136,0.2090989399293286,0.5179061945248996,0.46810380640293653,0.568070943322118,1.378246753246753,0.6170058139534884,3.8451086956521743,1.1813543599257883,0.8561016863807814,2.218850470124354
200000-220000,10000000,3,816,0.1213235294117647,0.0998468137254902,0.14338235294117646,0.4831438513446882,0.43283194391815083,0.5323553463975093,1.0303030303030303,0.0,2.9289972527472523,0.804138950480414,0.2010347376201035,1.6967672591980152
