Q,AUC,Brier,LogLoss
1000000,0.924346,0.060807,0.215317
2000000,0.886165,0.095936,0.329818
5000000,0.831052,0.137188,0.474599
10000000,0.795568,0.168404,0.587270
20000000,0.765209,0.195759,0.717621
50000000,0.734323,0.230396,0.893336
