n_start,q0,dt,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,theta_star,theta_subdeg,angle_score_peak,angle_score_median,peakiness,sanity
50000000,6,5,2.5694915254237287,11.0,1.9459102902374672,0.49645685116742794,0.021190522587857696,1.0,89.4,89.33607594906795,11.722222343087196,9.777777876704931,4.9999998626117295,permute_cols
50000000,7,6,-3.935374149659864,-31.0,nan,0.30867597805644614,0.008008042927114767,1.0,87.8,87.73255033683867,8.761904936283827,7.0476191863417625,4.5000000419713775,permute_cols
50000000,8,6,0.24489795918367346,20.0,24.5,-0.12016792141760699,0.0015106711169126097,1.0,89.1,89.11962616812316,6.291666842997074,5.166666813194752,3.857142880411006,permute_cols
50000000,9,7,-3.8668941979522184,-32.0,nan,0.2468248508430444,0.005610245734136932,1.0,85.0,84.9635922330094,5.333333373069763,4.333333365619183,2.9999999909999997,permute_cols
50000000,10,8,-5.102739726027397,2.0,nan,0.2937765967942855,0.007614403015520521,1.0,81.4,81.49563758174284,4.700000233948231,3.43333350867033,6.333333264413768,permute_cols
50000000,11,9,-3.1752577319587627,1.0,nan,0.22099498901947576,0.004700774858617418,1.0,84.5,84.50957446808916,3.6969698071479797,2.939394026994705,4.166666643750001,permute_cols
50000000,12,10,-1.9896551724137932,0.0,nan,0.11913373032113705,0.0012639526891521369,1.0,86.7,86.72999999985383,3.1944444682449102,2.52777779661119,4.000000020703483,permute_cols
50000000,13,10,-4.317241379310345,6.0,nan,-0.16695028149092359,0.002313284212512423,1.0,82.4,82.36447368436093,2.846153885126114,2.0000000279396772,5.500000030839564,permute_cols
50000000,14,11,-0.6366782006920415,15.0,nan,0.24720846756809314,0.005356437585276819,1.0,88.8,88.79423076888061,2.21428575925529,1.738095274195075,3.999999903815127,permute_cols
50000000,15,12,-5.340277777777778,14.5,nan,-0.05473538051962974,0.00025540906139109865,1.0,82.1,82.10642857143188,1.9333333801478148,1.53333337046206,3.599999967600001,permute_cols
50000000,16,13,5.7177700348432055,-10.0,2.2736136502132847,0.23866022189091451,0.0045261687117235105,1.0,83.1,82.93500000275645,1.708333382382989,1.3125000391155481,3.7999998776893187,permute_cols
50000000,17,14,6.839160839160839,-6.0,2.0470347648261757,0.009266728134720303,6.833360192026738e-06,1.0,84.2,84.29878048757324,1.5882353503257036,1.2352941613644361,3.0000000219974505,permute_cols
50000000,18,14,8.027972027972028,0.5,1.7439024390243902,0.5378139190720548,0.027364912544147857,1.0,87.2,87.18282442748648,1.500000011175871,1.111111119389534,5.249999929125002,permute_cols
50000000,19,15,-0.26666666666666666,13.0,nan,-0.10511230800452741,0.0011012478188601182,1.0,78.1,78.04999999576326,1.2631579004228115,1.03508772701025,3.2499999006021154,permute_cols
50000000,20,16,8.154929577464788,18.0,1.9620034542314337,0.28267686835713396,0.007470483915742343,1.0,83.8,83.75632911392407,1.216666730120778,0.8833333794027567,4.999999925000005,permute_cols
50000000,21,17,2.2402826855123674,1.0,7.5883280757097795,0.20439530650252674,0.004003537003195667,1.0,81.4,81.43729281792012,1.0634921230375767,0.8412698898464441,2.8000000069647917,permute_cols
50000000,22,18,-3.099290780141844,6.5,nan,0.007415759007000036,5.397540488005781e-06,1.0,82.4,82.47909090909181,0.9696969985961914,0.7121212333440781,4.2499999298750035,permute_cols
