budget,method,n_selected,yield,yield_ci_low,yield_ci_high,bad_tests,bad_tests_ci_low,bad_tests_ci_high,bad_tests_avoided_vs_random,saved_sec_cost1,saved_sec_cost3600,saved_sec_cost86400
0.001,random,18,0.9016666666666666,0.8932719913100814,0.9100613420232518,1.77,1.6188958435814669,1.9211041564185332,0.0,0.0,0.0,0.0
0.001,m18,18,0.7777777777777778,,,4,,,-2.23,-2.23,-8028.0,-192672.0
0.001,m21,18,1.0,,,0,,,1.77,1.77,6372.0,152928.0
0.001,m22,18,1.0,,,0,,,1.77,1.77,6372.0,152928.0
0.002,random,36,0.8977777777777779,0.8926384440251344,0.9029171115304214,3.68,3.4949839849048345,3.865016015095166,0.0,0.0,0.0,0.0
0.002,m18,36,0.8611111111111112,,,5,,,-1.3199999999999998,-1.3199999999999998,-4751.999999999999,-114047.99999999999
0.002,m21,36,1.0,,,0,,,3.68,3.68,13248.0,317952.0
0.002,m22,36,1.0,,,0,,,3.68,3.68,13248.0,317952.0
0.005,random,90,0.8993333333333333,0.8955740044565363,0.9030926622101303,9.06,8.72166040108827,9.39833959891173,0.0,0.0,0.0,0.0
0.005,m18,90,0.8777777777777778,,,11,,,-1.9399999999999995,-1.9399999999999995,-6983.999999999998,-167615.99999999997
0.005,m21,90,1.0,,,0,,,9.06,9.06,32616.0,782784.0
0.005,m22,90,1.0,,,0,,,9.06,9.06,32616.0,782784.0
0.01,random,180,0.8947407407407407,0.892389273728294,0.8970922077531874,18.946666666666665,18.523402604426266,19.369930728907065,0.0,0.0,0.0,0.0
0.01,m18,180,0.8444444444444444,,,28,,,-9.053333333333335,-9.053333333333335,-32592.000000000004,-782208.0000000001
0.01,m21,180,1.0,,,0,,,18.946666666666665,18.946666666666665,68208.0,1636992.0
0.01,m22,180,1.0,,,0,,,18.946666666666665,18.946666666666665,68208.0,1636992.0
0.02,random,360,0.8958981481481484,0.8941800338753164,0.8976162624209804,37.47666666666667,36.85814552844714,38.095187804886194,0.0,0.0,0.0,0.0
0.02,m18,360,0.8388888888888889,,,58,,,-20.523333333333333,-20.523333333333333,-73884.0,-1773216.0
0.02,m21,360,1.0,,,0,,,37.47666666666667,37.47666666666667,134916.0,3237984.0
0.02,m22,360,1.0,,,0,,,37.47666666666667,37.47666666666667,134916.0,3237984.0
0.05,random,899,0.8966703744901742,0.8955587674969355,0.8977819814834128,92.89333333333333,91.89399864641179,93.89266802025487,0.0,0.0,0.0,0.0
0.05,m18,899,0.8375973303670745,,,146,,,-53.10666666666667,-53.10666666666667,-191184.0,-4588416.0
0.05,m21,899,1.0,,,0,,,92.89333333333333,92.89333333333333,334416.0,8025984.0
0.05,m22,899,1.0,,,0,,,92.89333333333333,92.89333333333333,334416.0,8025984.0
0.1,random,1798,0.8962995921394142,0.8955449597685989,0.8970542245102295,186.45333333333335,185.09650433060736,187.81016233605934,0.0,0.0,0.0,0.0
0.1,m18,1798,0.8298109010011123,,,306,,,-119.54666666666665,-119.54666666666665,-430367.99999999994,-10328831.999999998
0.1,m21,1798,1.0,,,0,,,186.45333333333335,186.45333333333335,671232.0,16109568.000000002
0.1,m22,1798,1.0,,,0,,,186.45333333333335,186.45333333333335,671232.0,16109568.000000002
0.2,random,3597,0.8966129181725512,0.8960817422599145,0.8971440940851878,371.8833333333333,369.97269357557957,373.7939730910871,0.0,0.0,0.0,0.0
0.2,m18,3597,0.8440366972477065,,,561,,,-189.11666666666667,-189.11666666666667,-680820.0,-16339680.0
0.2,m21,3597,1.0,,,0,,,371.8833333333333,371.8833333333333,1338780.0,32130720.0
0.2,m22,3597,1.0,,,0,,,371.8833333333333,371.8833333333333,1338780.0,32130720.0
0.5,random,8992,0.8963104240806642,0.8960313104751382,0.8965895376861902,932.3766666666667,929.8668771257766,934.8864562075568,0.0,0.0,0.0,0.0
0.5,m18,8992,0.8810053380782918,,,1070,,,-137.62333333333333,-137.62333333333333,-495444.0,-11890656.0
0.5,m21,8992,1.0,,,0,,,932.3766666666667,932.3766666666667,3356556.0,80557344.0
0.5,m22,8992,1.0,,,0,,,932.3766666666667,932.3766666666667,3356556.0,80557344.0
