n_start,seed,overlay_mode,pass_real,pass_sanity,pass_overall,fail_reasons,q0_best,dt_best,theta_subdeg,theta_ci_lo,theta_ci_hi,q_eff,q_eff_ci_lo,q_eff_ci_hi,track_r2_real,peakiness_real,track_r2_sanity,peakiness_sanity,runtime_s,run_dir,run_error
1000000,123,none,True,True,True,,31,25,87.83314074685775,87.81942144701745,87.85164675559432,30.96846846846847,29.506437768240342,32.58293838862559,0.9874606302817344,25.533328692385773,0.011522828711120425,3.999999876000004,156.47352480888367,runs/n1e6_seed123,
1000000,456,none,True,True,True,,31,25,87.83314074685775,87.81916238329731,87.84906507291414,30.96846846846847,29.380341880341877,32.89473684210526,0.9874606302817344,25.533328692385773,6.801444785464739e-05,2.7499999360625016,150.24168276786804,runs/n1e6_seed456,
1000000,789,none,True,True,True,,31,25,87.83314074685775,87.81779106635904,87.8494983199118,30.96846846846847,29.506437768240342,32.433087610659044,0.9874606302817344,25.533328692385773,0.0008135957382484627,4.333333199000004,162.29435777664185,runs/n1e6_seed789,
50000000,123,none,True,True,True,,27,22,87.56198297486243,87.55247359537148,87.57943387370459,27.182222222222222,25.69747899159664,28.98923267885353,0.9906559350415762,25.33333391000623,1.476652215270935e-05,2.7499999443125014,153.57697105407715,runs/n50e6_seed123,
50000000,456,none,True,True,True,,27,22,87.56198297486243,87.55110188612166,87.57764450834,27.182222222222222,25.80590717299578,28.849056603773583,0.9906559350415762,25.33333391000623,0.0026227322012828402,2.7499999443125014,155.89902186393738,runs/n50e6_seed456,
50000000,789,none,True,True,True,,27,22,87.56198297486243,87.55192019167465,87.57852791904476,27.182222222222222,25.800508447645782,28.985781990521325,0.9906559350415762,25.33333391000623,0.001342308232377798,4.399999928720002,143.7145311832428,runs/n50e6_seed789,
200000000,123,auto,True,True,True,,29,23,88.33481886364575,88.32405986517772,88.3470803782372,29.359447004608295,27.82096069868996,30.930956073881127,0.9891047797032724,25.17999943762639,0.0029961878745917714,4.33333320766667,295.087039232254,runs/n200e6_seed123,
200000000,456,none,True,True,True,,29,23,88.33481886364575,88.32385051176621,88.34800371707162,29.359447004608295,27.939931912204088,31.234238264271227,0.9891047797032724,25.17999943762639,0.00018457934803683962,2.9999999347500013,150.54131054878235,runs/n200e6_seed456,
200000000,789,none,True,False,False,n_start=200000000: sanity:peakiness>6.0,29,23,88.33481886364575,88.32324923733671,88.34529710529546,29.359447004608295,27.58008658008658,31.388120640881823,0.9891047797032724,25.17999943762639,8.785634398666975e-05,6.333333149666672,148.61970949172974,runs/n200e6_seed789,
