f_idx,power
1,16426.50091601101
2,13525.855298588775
3,14422.501964447836
4,13306.466335389045
5,10418.171629056375
6,13507.088932360755
7,11745.595954615274
8,11545.585672721678
9,14411.494377739995
10,14222.431838825047
11,11313.304065061084
12,9629.38860553262
13,13425.443316307443
14,11481.519039712983
15,11698.763049966992
16,16818.23209809702
17,10441.338959441558
18,11378.550761653263
19,11552.64575614262
20,11495.332668575265
21,8294.730514412044
22,11131.539019664273
23,9372.541542715715
24,14955.793184088057
25,14401.70116433202
26,10152.965308509169
27,12681.815488590753
28,9726.280573441756
29,6196.933566097509
30,14029.44085131777
31,14420.713076900585
32,13838.682713501006
33,13078.554877677478
34,14707.698247097203
35,12974.277412946016
36,10925.977771145052
37,12053.842524456448
38,10884.083546377682
39,12788.491022041628
40,14018.695964130986
41,15196.076245265229
42,15344.801802604705
43,12037.469178372043
44,16975.532209758207
45,13491.67049375705
46,11442.9709070706
47,17251.41368576035
48,15346.83364308657
49,7848.462907185811
50,14839.745540985725
51,7727.349751113709
52,12834.26841665572
53,15661.857287988854
54,10354.817951331439
55,13096.72494028269
56,13701.633910716393
57,20813.94261979531
58,13446.711809117714
59,7332.682755004666
60,17065.97234736122
61,15812.224633709877
62,13863.134612301523
63,14924.390720830876
64,15862.070082887234
65,9752.784687739364
66,12928.81352695967
67,13746.231534548006
68,13257.73577188498
69,13933.416222077825
70,14388.093652569409
71,9241.675883698917
72,13193.944381886791
73,11557.204552830623
74,10315.520816929815
75,13973.289286366211
76,9381.634787998551
77,11881.379036986671
78,11994.590978081102
79,5173.968283392967
80,9914.261214456852
81,14574.071663322287
82,11275.797811856157
83,17525.621010689698
84,16000.11915337513
85,17702.932508609854
86,12590.74890953538
87,10965.595832088828
88,9998.421071844155
89,12392.443002508082
90,11574.62216493651
91,10267.803141090311
92,20312.046000748538
93,19557.63319909079
94,10330.311078464993
95,7146.734722889253
96,12942.771629143459
97,10156.829010865145
98,7439.579025629298
99,9944.919783545307
100,20266.643258013846
101,15384.80000016524
102,10057.093761144108
103,12351.275821077814
104,10184.953854132766
105,12203.692393385894
106,10858.89114176199
107,9905.422183599323
108,14509.41370835169
109,11109.395187981547
110,12785.845320235523
111,11892.497934348443
112,13258.579405655111
113,10167.702100041874
114,16633.472686735327
115,17380.48518171802
116,16673.028027764794
117,11942.975449852467
118,13487.497354513958
119,11386.660572644001
120,7435.861645908206
121,14728.941535258438
122,17165.3263063043
123,16196.371379247186
124,10654.705312591857
125,13661.081749302719
126,13401.497454271943
127,11900.391811312353
128,15020.220814954526
129,10326.257367782682
130,15391.936666243546
131,12397.076541873183
132,9498.233035448848
133,8267.279447634604
134,10989.275237644839
135,11380.436939144985
136,12140.744701529105
137,14160.112472590909
138,8667.033333870006
139,15348.636858311158
140,14729.232669604211
141,14380.763187095936
142,18085.857897842096
143,12945.316572279822
144,10184.26152170107
145,14010.885221860344
146,15568.717964302607
147,11057.791079817764
148,9807.37601210597
149,11679.30486514676
150,11471.152185899706
151,14754.086974679336
152,9527.6291533616
153,7725.638861925528
154,9156.99986937238
155,7534.925366291771
156,12410.422452473193
157,17429.020958305246
158,15552.563940241742
159,10684.526852905958
160,19255.437265435638
161,17610.228755886597
162,14967.17167721251
163,10783.27064938474
164,5953.02753342308
165,11527.073943492323
166,7094.368903376103
167,15309.091122231503
168,14633.343799023021
169,14267.682038121235
170,9969.223831717989
171,13064.66103107964
172,12900.93962217848
173,19155.653199856075
174,12883.22472853007
175,12911.337160317014
176,14963.567664567097
177,21922.682536552675
178,11841.844073110418
179,11479.226847208745
180,9046.289575211063
181,11395.173987476703
182,9548.650084770316
183,20519.559075379813
184,9704.241140526112
185,17788.960754700078
186,12218.596216678445
187,10122.567917384884
188,8734.673336207647
189,10946.538367347897
190,11526.318452492276
191,12074.896953594134
192,7474.936822709953
193,26044.615990246453
194,13589.38686410793
195,11668.411969387955
196,7183.69429858671
197,17823.44355445681
198,10241.253865543085
199,20476.011813040022
200,14314.198486234996
201,18667.05473168336
202,12034.481663622391
203,10441.374619576492
204,12017.122940209598
205,9435.465659393834
206,9297.014304883236
207,15324.74366220704
208,17588.950893739002
209,13319.14166716076
210,11486.604307670548
211,21206.545974580982
212,18176.361884905466
213,12999.102304890319
214,12133.684829559697
215,15891.231919337168
216,14204.791673351048
217,14036.446060608328
218,14575.556423025208
219,15803.590098919225
220,17453.66279971733
221,11432.943218378065
222,16343.387043798382
223,11368.254808183536
224,5096.391464684351
225,13353.356042952772
226,7697.780858336651
227,11374.247089437018
228,12284.31650221827
229,14575.653854743894
230,20847.217065025972
231,10353.128675764163
232,10301.213308196964
233,10457.189781644971
234,19308.36701306361
235,13388.733277081801
236,12575.313274916594
237,13246.652327422486
238,15379.592805636623
239,9800.451700201776
240,8843.325048639525
241,11632.856348017673
242,8567.264314056465
243,12924.204304760111
244,15790.545892813561
245,11862.530775965233
246,9853.399337762929
247,13089.165604272966
248,9079.946500290143
249,11741.227281742358
250,23746.085648340944
251,27901.2477694134
252,13630.530364897282
253,12813.206400603663
254,9663.443245948049
