t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,t_mod_19,is_forbidden_19,dist_to_forbid_19,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
5484,152016480,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,10,0,2,12,0,6,0,0,0,1,1,1
46970,1302008400,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,16,0,4,2,0,1,0,0,0,1,1,1
75004,2079110880,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,0,0,5,11,0,7,0,0,0,1,1,1
114990,3187522800,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,2,0,3,2,0,1,0,0,0,1,1,1
170618,4729530960,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,6,0,1,17,0,1,0,0,0,1,1,1
138099,3828104280,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,8,0,3,7,0,6,0,0,0,1,1,1
14705,407622600,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,0,0,5,18,1,0,0,0,1,1,1,0
93722,2597973840,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,1,0,4,14,0,4,0,0,0,1,1,1
78965,2188909800,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,0,0,5,1,1,0,1,1,1,0,0,0
143634,3981534480,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,1,0,4,13,0,5,1,1,1,0,0,0
197532,5475587040,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,9,0,3,8,0,7,1,1,1,0,0,0
8888,246375360,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,14,0,2,15,0,3,0,0,0,1,1,1
54839,1520137080,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,14,0,2,5,0,4,0,0,0,1,1,1
132994,3686593680,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,3,0,2,13,0,5,0,0,0,1,1,1
37456,1038280320,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,5,1,0,7,0,6,1,1,1,0,0,0
173884,4820064480,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,8,0,3,15,0,3,0,0,0,1,1,1
101293,2807841960,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,7,0,2,4,0,3,1,1,1,0,0,0
191465,5307409800,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,11,0,1,2,0,1,0,0,0,1,1,1
98635,2734162200,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,1,0,4,6,0,5,0,0,0,1,1,1
102787,2849255640,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,5,1,0,16,0,2,0,1,1,1,0,0
89630,2484543600,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,6,0,1,7,0,6,0,0,0,1,1,1
151975,4212747000,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,12,1,0,13,0,5,0,1,1,1,0,0
100876,2796282720,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,15,0,3,5,0,4,0,0,0,1,1,1
165295,4581977400,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,4,0,1,14,0,4,0,0,0,1,1,1
13169,365044680,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,11,0,1,2,0,1,0,0,0,1,1,1
32306,895522320,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,6,0,1,6,0,5,0,0,0,1,1,1
176697,4898040840,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,16,0,4,16,0,2,0,0,0,1,1,1
185738,5148657360,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,13,0,1,13,0,5,0,0,0,1,1,1
174009,4823529480,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,14,0,2,7,0,6,0,0,0,1,1,1
161765,4484125800,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,10,0,2,18,1,0,0,0,1,1,1,0
49543,1373331960,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,5,1,0,10,0,8,0,1,1,1,0,0
90424,2506553280,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,1,0,4,3,0,2,0,0,0,1,1,1
70598,1956976560,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,14,0,2,13,0,5,0,0,0,1,1,1
52941,1467524520,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,3,0,2,7,0,6,0,0,0,1,1,1
141647,3926454840,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,3,0,2,2,0,1,0,0,0,1,1,1
193655,5368116600,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,8,0,3,7,0,6,0,0,0,1,1,1
92819,2572942680,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,16,0,4,4,0,3,0,0,0,1,1,1
184025,5101173000,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,0,0,5,10,0,8,1,1,1,0,0,0
182660,5063335200,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,12,1,0,13,0,5,1,1,1,0,0,0
69388,1923435360,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,11,0,1,0,0,1,0,0,0,1,1,1
130691,3622754520,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,12,1,0,9,0,8,0,1,1,1,0,0
79219,2195950680,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,16,0,4,8,0,7,1,1,1,0,0,0
195234,5411886480,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,6,0,1,9,0,8,0,0,0,1,1,1
149335,4139566200,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,7,0,2,14,0,4,0,0,0,1,1,1
