run_id,n_start,K,H,weights,smooth,dt,frames,conf_min,sanity,runtime_s,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,wave_strength,notes
n50e6_K1024_H1024_winvq_dt5_sm145_none,50000000,1024,1024,invq,145,5,600,0.15,none,1.2545554637908936,5.243697478991597,0.0,0.953525641025641,0.32311274723434175,0.07191290127766847,1.0,3.4680843475380545,
n50e6_K1024_H1024_wlog1pq_dt5_sm145_none,50000000,1024,1024,log1pq,145,5,600,0.15,none,1.6482765674591064,0.0,0.0,nan,-1.0097688594533323e-16,nan,1.0,56.81568479754368,
n50e6_K1024_H1024_wones_dt5_sm145_none,50000000,1024,1024,ones,145,5,600,0.15,none,0.9498507976531982,0.0,0.0,nan,-1.0097688594533323e-16,nan,1.0,44.567016557200105,
n50e6_K512_H512_winvq_dt5_sm73_permute_cols,50000000,512,512,invq,73,5,600,0.15,permute_cols,0.6385214328765869,-0.0067226890756302525,0.0,nan,0.05662279554897008,0.005675015224921309,1.0,2.9277733226520066,
n200e6_K256_H256_winvq_dt5_sm37_none,200000000,256,256,invq,37,5,600,0.15,none,0.38248395919799805,-0.3596638655462185,0.0,nan,-0.013933366716627819,0.00570237159340492,1.0,4.21704631506052,
n200e6_K256_H256_wlog1pq_dt5_sm37_none,200000000,256,256,log1pq,37,5,600,0.15,none,0.41307544708251953,0.0,0.0,nan,-1.5565364711866094e-17,nan,1.0,37.72960956806299,
n200e6_K256_H256_wones_dt5_sm37_none,200000000,256,256,ones,37,5,600,0.15,none,0.27499985694885254,0.0,0.0,nan,-1.5565364711866094e-17,nan,1.0,31.9523818533412,
n200e6_K512_H512_winvq_dt5_sm73_none,200000000,512,512,invq,73,5,600,0.15,none,0.6631662845611572,0.06890756302521009,0.0,72.5609756097561,0.00378005991902508,6.095510913639579e-05,1.0,3.6649705086267064,
n200e6_K512_H512_wlog1pq_dt5_sm73_none,200000000,512,512,log1pq,73,5,600,0.15,none,0.807131290435791,0.0,0.0,nan,-2.206131897624472e-17,nan,1.0,46.264126320586655,
n200e6_K512_H512_wones_dt5_sm73_none,200000000,512,512,ones,73,5,600,0.15,none,0.43058013916015625,0.0,0.0,nan,-2.206131897624472e-17,nan,1.0,38.08536640493929,
n200e6_K1024_H1024_winvq_dt5_sm145_none,200000000,1024,1024,invq,145,5,600,0.15,none,1.3259902000427246,3.235294117647059,0.0,1.5454545454545454,0.6002142569454059,0.43867504444646255,1.0,3.5143672774669046,
n200e6_K1024_H1024_wlog1pq_dt5_sm145_none,200000000,1024,1024,log1pq,145,5,600,0.15,none,1.6618824005126953,0.0,0.0,nan,-1.0097688594533323e-16,nan,1.0,54.350049042073586,
n200e6_K1024_H1024_wones_dt5_sm145_none,200000000,1024,1024,ones,145,5,600,0.15,none,0.8689892292022705,0.0,0.0,nan,-1.0097688594533323e-16,nan,1.0,43.41851558088415,
n200e6_K512_H512_winvq_dt5_sm73_permute_cols,200000000,512,512,invq,73,5,600,0.15,permute_cols,0.6612794399261475,-2.7983193277310923,0.0,nan,-0.1791517908770177,0.03768975616679848,1.0,2.948760716756774,
