rank,period_estimate,p,d,mode,fit_period,rel_error
1,10.636349132251183,23,1,p/(2d),11.5,0.08119805555555555
2,5.318174566125592,17,3,p/d,5.666666666666667,0.06552851851851857
3,3.4772731224174,17,5,p/d,3.4,0.022222333333333295
4,3.5454566942161785,29,4,p/(2d),3.625,0.022435277777777728
5,6.954532809940345,29,2,p/(2d),7.25,0.04248555555555558
6,5.31819027893908,17,3,p/d,5.666666666666667,0.0655253703703704
7,3.7636353371903626,19,5,p/d,3.8,0.009662111111111064
8,2.1549298809760398,13,3,p/(2d),2.1666666666666665,0.005446481481481322
9,6.9545596797811635,29,2,p/(2d),7.25,0.04248152777777773
10,3.638296711181901,29,4,p/(2d),3.625,0.003654652777777836
11,15.54551814075603,29,1,p/(2d),14.5,0.06725527777777777
12,2.5909085020662497,13,5,p/d,2.6,0.0035089999999999783
13,2.9482773870400276,29,5,p/(2d),2.9,0.016374777777777755
14,7.90909809918009,23,3,p/d,7.666666666666667,0.030652222222222178
15,2.659091211260365,29,11,p/d,2.6363636363636362,0.008547121212121233
16,3.7741941571280897,19,5,p/d,3.8,0.00683744444444444
17,5.666667716049577,17,3,p/d,5.666666666666667,1.8518518517913848e-07
18,7.772725506198749,23,3,p/d,7.666666666666667,0.013645000000000016
19,2.3793095243760263,19,4,p/(2d),2.375,0.0018112500000000828
20,15.136353316122738,29,1,p/(2d),14.5,0.04204138888888885
