m,max_lift,min_lift,chi2,pbar
182,1.2873110425909622,0.0,16312.142354177611,0.0494
195,1.317949507402666,0.0,16300.31893992055,0.0494
208,1.3167834931950593,0.0,16298.824587796158,0.0494
156,1.264962879216923,0.0,16274.11559831683,0.0494
169,1.2695772421817417,0.0,16269.062301362532,0.0494
130,1.2527569423492073,0.0,16249.31825732751,0.0494
104,1.2572875897410947,0.0,16242.904204287242,0.0494
91,1.251622094046659,0.0,16237.63946764724,0.0494
143,1.2512845073610002,0.0,16235.677620550248,0.0494
117,1.244786633570606,0.0,16229.598900935076,0.0494
78,1.2342064122944152,0.0,16213.190336666174,0.0494
65,1.227352818540089,0.0,16201.753428888896,0.0494
52,1.2280838208143834,0.0,16196.689540293826,0.0494
39,1.216688972631165,0.0,16189.405467640525,0.0494
26,1.2108321671410385,0.0,16175.13449108115,0.0494
13,1.1979578750993387,0.0,16170.919435049767,0.0494
204,1.2433884767711174,0.0,11987.981502113356,0.0494
170,1.221687067629843,0.0,11961.75881616514,0.0494
153,1.218188168777562,0.0,11947.969411379534,0.0494
136,1.2281874370037733,0.0,11945.610379183134,0.0494
