run_id,n_start,q0,H,W,weights,dt,smooth,frames,conf_min,sanity,runtime_s,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,wave_strength,visibility_score,notes
n1e6_q6_H512_W1024_invq_dt5_sm9_permute_cols,1000000,6,512,1024,invq,5,9,300,0.15,permute_cols,0.4248683452606201,0.9932203389830508,0.0,5.034129692832765,0.225070348799008,0.004754063476815729,1.0,2.99999983800001,0.20684913988313386,
n1e6_q7_H512_W1024_invq_dt5_sm9_permute_cols,1000000,7,512,1024,invq,5,9,300,0.15,permute_cols,0.31557178497314453,-1.040677966101695,-3.0,nan,0.35175614909253095,0.011190029387641132,1.0,4.7393261150946975,0.5013398275064873,
n1e6_q8_H512_W1024_invq_dt5_sm9_permute_cols,1000000,8,512,1024,invq,5,9,300,0.15,permute_cols,0.2808537483215332,1.5016949152542374,-24.0,3.329571106094808,-0.1901338730639688,0.00379648374793895,1.0,4.446846845849347,0.2739951936952705,
n1e6_q9_H512_W1024_invq_dt5_sm9_permute_cols,1000000,9,512,1024,invq,5,9,300,0.15,permute_cols,0.3505432605743408,-2.935593220338983,1.0,nan,0.02745800106551266,7.75306514491092e-05,1.0,4.576624868231866,0.040297864541187375,
n1e6_q10_H512_W1024_invq_dt5_sm9_permute_cols,1000000,10,512,1024,invq,5,9,300,0.15,permute_cols,0.32060980796813965,-5.098305084745762,13.0,nan,0.16356820327760008,0.0025694325235373627,1.0,4.6943732753466865,0.23795576352253994,
n1e6_q11_H512_W1024_invq_dt5_sm9_permute_cols,1000000,11,512,1024,invq,5,9,300,0.15,permute_cols,0.3625471591949463,0.29152542372881357,-29.0,17.151162790697672,0.02584488674054649,6.235582552938101e-05,1.0,4.869764596328968,0.038454439412586444,
n1e6_q12_H512_W1024_invq_dt5_sm9_permute_cols,1000000,12,512,1024,invq,5,9,300,0.15,permute_cols,0.32660365104675293,2.8677966101694916,10.0,1.743498817966903,0.3435438032289322,0.009831768226892579,1.0,5.010266143701171,0.49679430887777704,
n1e6_q13_H512_W1024_invq_dt5_sm9_permute_cols,1000000,13,512,1024,invq,5,9,300,0.15,permute_cols,0.5501976013183594,-3.233898305084746,-2.0,nan,0.19033486963265014,0.003315107032973885,1.0,5.0688989242539675,0.291851821864746,
n1e6_q14_H512_W1024_invq_dt5_sm9_permute_cols,1000000,14,512,1024,invq,5,9,300,0.15,permute_cols,0.3812997341156006,-0.4067796610169492,2.0,nan,-0.013873905036122052,1.5452699377638268e-05,1.0,5.231563944039168,0.020565236858975083,
n1e6_q15_H512_W1024_invq_dt5_sm9_permute_cols,1000000,15,512,1024,invq,5,9,300,0.15,permute_cols,0.27965474128723145,-0.26101694915254237,-5.0,nan,-0.1454233548664584,0.0018787485626177158,1.0,5.25029602685221,0.22757163070565603,
n1e6_q16_H512_W1024_invq_dt5_sm9_permute_cols,1000000,16,512,1024,invq,5,9,300,0.15,permute_cols,0.1716747283935547,1.2372881355932204,13.0,4.041095890410959,0.17606411323109145,0.003277554184016984,1.0,4.145532408437623,0.23733142929834675,
n1e6_q17_H512_W1024_invq_dt5_sm9_permute_cols,1000000,17,512,1024,invq,5,9,300,0.15,permute_cols,0.18411922454833984,0.6,10.0,8.333333333333334,-0.11382809651583656,0.0015613033385184494,1.0,4.192927704687962,0.16567654088063305,
n1e6_q18_H512_W1024_invq_dt5_sm9_permute_cols,1000000,18,512,1024,invq,5,9,300,0.15,permute_cols,0.2933528423309326,1.7118644067796611,-5.0,2.9207920792079207,0.1483780044312806,0.0023142573922658727,1.0,4.303111718761308,0.20700863007983134,
n1e6_q19_H512_W1024_invq_dt5_sm9_permute_cols,1000000,19,512,1024,invq,5,9,300,0.15,permute_cols,0.28431081771850586,-4.250847457627119,-13.0,nan,0.059379528265670424,0.0003614822663263739,1.0,4.410747927257784,0.08386016970335725,
n1e6_q20_H512_W1024_invq_dt5_sm9_permute_cols,1000000,20,512,1024,invq,5,9,300,0.15,permute_cols,0.2522246837615967,2.8101694915254236,-9.0,1.779252110977081,0.078133910458363,0.0006282904043256599,1.0,4.485717623122842,0.11243774956453388,
n50e6_q6_H512_W1024_invq_dt5_sm9_permute_cols,50000000,6,512,1024,invq,5,9,300,0.15,permute_cols,0.33350181579589844,4.738983050847458,-8.0,1.0550786838340485,0.33448773919471264,0.009373048101952497,1.0,2.99999983800001,0.29044349503297634,
n50e6_q7_H512_W1024_invq_dt5_sm9_permute_cols,50000000,7,512,1024,invq,5,9,300,0.15,permute_cols,0.4484724998474121,2.1966101694915254,18.0,2.2762345679012346,-0.0778062393026333,0.000573510874715355,1.0,4.765423070806264,0.11412276666515697,
