p,killed_Q0,ap_count_delta_1000000,ap_harm_delta_1000000,ap_count_delta_2000000,ap_harm_delta_2000000,ap_count_delta_5000000,ap_harm_delta_5000000,ap_count_delta_10000000,ap_harm_delta_10000000,survive_1000000,survive_2000000,survive_5000000,survive_10000000
80747,0,0,0.0,0,0.0,1,0.017857142857142856,1,0.017857142857142856,1,1,1,1
80749,0,0,0.0,0,0.0,0,0.0,3,0.039714635854341734,1,1,1,1
80761,0,0,0.0,1,0.0625,2,0.0875,2,0.0875,1,0,0,0
80777,0,0,0.0,0,0.0,0,0.0,1,0.01282051282051282,1,1,1,1
80779,0,0,0.0,0,0.0,0,0.0,3,0.037447647203744765,1,1,1,1
80783,0,0,0.0,0,0.0,1,0.03125,2,0.044763513513513514,1,1,1,1
80789,0,0,0.0,1,0.07142857142857142,2,0.08994708994708994,4,0.11569150682053908,1,1,1,1
80803,0,0,0.0,0,0.0,0,0.0,2,0.017767295597484276,1,1,1,1
80809,0,0,0.0,1,0.045454545454545456,1,0.045454545454545456,7,0.10841119490994333,1,1,1,1
80819,0,1,0.5,3,0.5972222222222222,4,0.6284722222222222,6,0.6530968468468468,0,0,0,0
80831,0,0,0.0,0,0.0,2,0.06971153846153846,4,0.09123931623931625,1,1,0,0
80833,0,1,0.16666666666666666,2,0.22916666666666666,3,0.2625,4,0.278125,0,0,0,0
80849,0,0,0.0,1,0.041666666666666664,2,0.06798245614035087,5,0.10129065121325181,1,1,1,1
80863,0,0,0.0,1,0.041666666666666664,2,0.07107843137254902,4,0.09389589169000934,1,1,1,1
80897,0,1,0.16666666666666666,1,0.16666666666666666,2,0.19999999999999998,5,0.22703962703962702,1,1,1,1
80909,0,0,0.0,0,0.0,0,0.0,3,0.03044871794871795,1,1,1,1
80911,0,0,0.0,0,0.0,1,0.017241379310344827,5,0.05990946855862275,1,1,1,1
80917,0,0,0.0,0,0.0,1,0.021739130434782608,3,0.048727766798418976,1,1,1,1
80923,0,1,0.1,2,0.14166666666666666,3,0.17107843137254902,5,0.19781454248366012,1,1,1,1
80929,0,0,0.0,1,0.045454545454545456,2,0.07045454545454546,2,0.07045454545454546,1,1,1,1
80933,0,0,0.0,0,0.0,1,0.018518518518518517,5,0.06493945868945869,1,1,1,1
80953,0,0,0.0,2,0.08712121212121213,3,0.11212121212121212,7,0.16484938672438673,1,1,1,1
80963,0,0,0.0,0,0.0,1,0.017857142857142856,3,0.041787323037323035,1,1,1,0
80989,0,0,0.0,0,0.0,2,0.05416666666666667,3,0.0630952380952381,1,1,1,1
81001,0,0,0.0,0,0.0,0,0.0,1,0.008333333333333333,1,1,1,1
81013,0,0,0.0,1,0.0625,2,0.08423913043478261,5,0.11712603519668736,1,1,1,1
81017,0,1,0.16666666666666666,2,0.23809523809523808,3,0.2566137566137566,4,0.26824166359050083,1,1,1,1
81019,0,1,0.1,3,0.19722222222222222,5,0.23827312534209086,7,0.2584086915302886,1,0,0,0
81023,0,0,0.0,0,0.0,1,0.023809523809523808,3,0.04592490842490842,1,1,1,1
81031,0,0,0.0,0,0.0,1,0.020833333333333332,3,0.044392091648189205,1,1,1,1
81041,0,1,0.16666666666666666,1,0.16666666666666666,2,0.1875,5,0.2213501291989664,1,1,0,0
81043,0,0,0.0,1,0.0625,2,0.09191176470588236,5,0.12416854301529225,1,1,0,0
81047,0,1,0.125,2,0.16666666666666666,3,0.20512820512820512,6,0.23473346828609987,1,1,1,1
81049,0,0,0.0,0,0.0,2,0.04583333333333334,6,0.0925064297404723,1,1,1,1
81071,0,1,0.5,1,0.5,3,0.5438095238095239,5,0.5645062451209992,0,0,0,0
81077,0,1,0.125,1,0.125,2,0.14285714285714285,3,0.15119047619047618,0,0,0,0
81083,0,0,0.0,0,0.0,2,0.05846153846153847,4,0.08068376068376068,1,1,1,1
81097,0,1,0.16666666666666666,1,0.16666666666666666,4,0.2310185185185185,5,0.24238215488215487,1,1,1,1
81101,0,0,0.0,0,0.0,1,0.020833333333333332,2,0.03246124031007752,1,1,1,1
81119,0,1,0.125,2,0.18055555555555555,2,0.18055555555555555,3,0.18888888888888888,1,1,1,1
81131,0,1,0.5,1,0.5,1,0.5,3,0.518613387978142,0,0,0,0
81157,0,1,0.16666666666666666,1,0.16666666666666666,2,0.19166666666666665,3,0.2020833333333333,0,0,0,0
81163,0,0,0.0,0,0.0,0,0.0,4,0.05048094066466981,1,1,1,1
81173,0,0,0.0,0,0.0,3,0.06762566137566137,4,0.0759589947089947,1,1,1,1
81181,0,0,0.0,0,0.0,0,0.0,2,0.027106227106227107,1,1,1,1
81197,0,2,0.29166666666666663,3,0.3333333333333333,5,0.3929824561403509,6,0.4054824561403509,1,1,1,1
81199,0,1,0.1,3,0.19722222222222222,4,0.2222222222222222,6,0.24503968253968253,0,0,0,0
81203,0,0,0.0,0,0.0,2,0.03785714285714285,2,0.03785714285714285,1,1,1,1
81223,0,0,0.0,0,0.0,1,0.023809523809523808,7,0.08943662389791013,1,1,1,0
81233,0,0,0.0,1,0.07142857142857142,1,0.07142857142857142,4,0.10055153180153181,1,1,1,1
81239,0,0,0.0,1,0.041666666666666664,2,0.06166666666666666,3,0.06999999999999999,1,1,1,1
81281,0,0,0.0,0,0.0,1,0.017857142857142856,4,0.048814910579616455,1,1,1,1
81283,0,0,0.0,0,0.0,1,0.029411764705882353,5,0.07849185128596893,1,1,1,1
81293,0,0,0.0,0,0.0,4,0.10095899470899469,4,0.10095899470899469,1,1,1,1
81299,0,0,0.0,1,0.041666666666666664,2,0.07291666666666666,5,0.10022601145721445,1,1,1,1
81307,0,0,0.0,0,0.0,1,0.025,4,0.05321637426900585,1,1,1,1
81331,0,1,0.1,2,0.1625,4,0.20474137931034483,7,0.23917534157449577,1,1,1,1
81343,0,0,0.0,0,0.0,0,0.0,3,0.033987533692722366,1,1,1,1
81349,0,0,0.0,0,0.0,2,0.04583333333333334,4,0.07148268398268398,1,1,1,1
81353,0,1,0.16666666666666666,1,0.16666666666666666,3,0.2185185185185185,3,0.2185185185185185,0,0,0,0
81359,0,1,0.125,1,0.125,3,0.1688095238095238,6,0.2012358276643991,1,1,0,0
81371,0,0,0.0,0,0.0,2,0.03869047619047619,4,0.0623015873015873,1,1,1,1
81373,0,1,0.16666666666666666,1,0.16666666666666666,2,0.19166666666666665,4,0.21619385342789596,1,1,1,1
81401,0,1,0.16666666666666666,1,0.16666666666666666,2,0.1875,4,0.2161290322580645,1,1,1,1
81409,0,0,0.0,0,0.0,1,0.025,4,0.053766784063394225,1,1,1,1
81421,0,0,0.0,1,0.0625,2,0.09583333333333333,6,0.13981835158305747,1,1,1,1
81439,0,0,0.0,0,0.0,1,0.017241379310344827,3,0.03737694549854259,1,1,1,1
81457,0,1,0.16666666666666666,1,0.16666666666666666,2,0.18518518518518517,6,0.22885919734323987,1,1,1,1
81463,0,1,0.1,3,0.20416666666666666,4,0.22797619047619047,5,0.24312770562770564,1,0,0,0
81509,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,4,0.07445038621509209,1,1,1,1
81517,0,0,0.0,1,0.0625,3,0.10185185185185185,6,0.1290764281230383,1,1,1,1
81527,0,1,0.125,1,0.125,2,0.145,2,0.145,1,1,1,1
81533,0,0,0.0,1,0.041666666666666664,2,0.075,4,0.10362903225806451,1,1,1,1
81547,0,1,0.1,3,0.20416666666666666,4,0.225,7,0.26410984848484853,1,1,1,1
81551,0,0,0.0,1,0.05555555555555555,2,0.07555555555555556,5,0.1121485260770975,1,0,0,0
81553,0,0,0.0,0,0.0,0,0.0,2,0.029910714285714284,1,1,1,1
81559,0,0,0.0,0,0.0,3,0.07822128851540616,5,0.10773517740429506,1,1,1,1
81563,0,1,0.5,1,0.5,2,0.5384615384615384,4,0.561809774924529,0,0,0,0
