n_start,q0,dt,q_eff,theta_subdeg,q_from_theta,theta_from_qeff,delta_theta,delta_q,track_r2,peakiness,sanity
200000000,6,5,30.729166666666668,87.97941177105837,28.344233669479305,88.13611714724809,0.1567053761897199,2.384932997187363,0.00926991979837899,2.3333333212160863,permute_cols
200000000,7,6,4.465822784810126,82.17155172102942,7.273318235679109,77.37836949633008,-4.793182224699336,-2.8074954508689824,0.005506500627939337,6.833333298551238,permute_cols
200000000,8,6,nan,79.4775862071069,5.38376249028865,nan,nan,nan,0.002115054789535886,3.2857144368412325,permute_cols
200000000,9,7,1.5596958174904942,83.99105960264964,9.500104413069117,57.334010745564356,-26.657048857085286,-7.9404085955786226,0.0011422146020635404,6.142857119163265,permute_cols
200000000,10,8,1.3371493989696623,87.71458333263408,25.056870448343172,53.20867039474616,-34.50591293788792,-23.71972104937351,0.0062181896083641774,2.857142952095086,permute_cols
200000000,11,9,97.0,87.90421686746872,27.32640746008727,89.40934278535333,1.5051259178846124,69.67359253991273,0.00028978019245917697,2.8749999881406256,permute_cols
200000000,12,10,1.6524216524216524,86.18510638299682,14.996771049498722,58.818830726273326,-27.366275656723495,-13.34434939707707,0.011430871819433475,2.714285700326531,permute_cols
200000000,13,10,nan,88.25000000284328,32.7302637687089,nan,nan,nan,0.007044726753621888,3.1666667328515525,permute_cols
200000000,14,11,nan,81.81588235290184,6.95317178010885,nan,nan,nan,0.00043088959083714684,3.600000016698657,permute_cols
200000000,15,12,2.4899135446685876,89.22391304322966,73.82197944092445,68.11860044663176,-21.105312596597898,-71.33206589625587,0.004713288775454849,2.8750000349053466,permute_cols
200000000,16,13,2.0727777777777776,86.90436893282941,18.49058113891249,64.2452756070293,-22.659093325800114,-16.417803361134713,0.00010031934521448349,3.9999999530988406,permute_cols
200000000,17,14,nan,85.99680851043367,14.289228102452523,nan,nan,nan,7.29280234065266e-05,4.499999942625003,permute_cols
200000000,18,14,nan,78.35645161290122,4.852891090729088,nan,nan,nan,0.0003091996177686518,3.499999952750001,permute_cols
200000000,19,15,11.220472440944883,83.96111111041145,9.452642696211072,84.90709495933056,0.9459838489191128,1.7678297447338114,0.00022667734722436883,3.1428571172653066,permute_cols
200000000,20,16,nan,84.08416149068563,9.650707914486519,nan,nan,nan,0.004066134268990718,2.999999970000002,permute_cols
200000000,21,17,nan,81.02042253520926,6.32834975899339,nan,nan,nan,0.008190599398072651,4.199999947080004,permute_cols
200000000,22,18,8.21359223300971,87.3583333333372,21.673883302273754,83.05843625505284,-4.29989707828436,-13.460291069264045,0.016309022422981045,3.749999938125003,permute_cols
200000000,23,18,15.475609756097562,86.11896551724982,14.740431524949763,86.30281234994675,0.18384683269692914,0.735178231147799,0.0011381182272799384,4.499999922375003,permute_cols
200000000,24,19,16.327217125382266,78.44787234091729,4.89236949657152,86.49515919622738,8.047286855310091,11.434847628810745,0.0021585182117116464,3.1999999539200012,permute_cols
200000000,25,20,7.920792079207921,81.64375000000081,6.807954018597769,82.80447665144696,1.1607266514461543,1.1128380606101516,0.005043274191689262,2.499999953124999,permute_cols
200000000,26,21,2.723849372384937,87.43499999999904,22.322611313252647,69.84042557634311,-17.594574423655928,-19.59876194086771,3.674344867177215e-05,3.4999999317500023,permute_cols
200000000,27,22,3.0826612903225805,86.84450549450732,18.139102879661028,72.02719479614463,-14.81731069836269,-15.056441589338448,0.0027873175801199634,5.333333189333338,permute_cols
200000000,28,22,1.6326748531767217,85.39999999976797,12.428831019209444,58.51287125935447,-26.8871287404135,-10.796156166032722,0.011356487185067321,4.999999895000005,permute_cols
200000000,29,23,nan,79.14849624059997,5.21670224753491,nan,nan,nan,8.785634398666975e-05,6.333333149666672,permute_cols
200000000,30,24,nan,78.50180722891399,4.915950714387316,nan,nan,nan,0.016153097513221137,2.4999999437500025,permute_cols
200000000,31,25,3.269139324774132,89.87666666665551,464.55965686390056,72.99160475799115,-16.885061908664355,-461.2905175391264,0.0017882494396374016,3.6666665530000033,permute_cols
200000000,32,26,10.339622641509433,84.49693877551493,10.379584273309797,84.47580129462878,-0.021137480886153526,-0.03996163180036483,0.0026103304382466552,4.666666517333343,permute_cols
200000000,33,26,nan,82.40675675722518,7.501399263563337,nan,nan,nan,0.0016361979563408457,2.749999954987735,permute_cols
200000000,34,27,nan,85.65512820512798,13.16170254305862,nan,nan,nan,0.001766318113267884,3.249999917125005,permute_cols
200000000,35,28,nan,79.92600000000225,5.628761219983315,nan,nan,nan,4.844568273720817e-05,4.999999825000013,permute_cols
200000000,36,29,nan,86.73579545454535,17.53375955440293,nan,nan,nan,0.0018984182016601459,4.7499998717500045,permute_cols
200000000,37,30,nan,78.21177777777785,4.791650389769847,nan,nan,nan,0.03048732736379356,3.666666531000008,permute_cols
200000000,38,30,nan,86.46549295774602,16.189833707509827,nan,nan,nan,0.007877218314746193,3.2499999073750034,permute_cols
200000000,39,31,nan,83.56249999999714,8.862831850437406,nan,nan,nan,1.0644334903275876e-05,2.499999926875006,permute_cols
200000000,40,32,4.016861826697892,89.94749999999537,1091.3478756726618,76.02036202046203,-13.927137979533342,-1087.3310138459638,0.007990266501469945,3.7499998875000093,permute_cols
