p_max,Q0,Q1,weight,overall_survival,auc,enrichment_10
20000,20000,100000,inv_q,0.8328912466843501,0.7103174603174603,1.0518854630516883
20000,50000,200000,inv_q,0.7829354553492485,0.790224032586558,1.1642140083848433
50000,20000,100000,inv_q,0.892850185076953,0.6445454545454545,1.0021130723382754
50000,50000,200000,inv_q,0.858562244301578,0.7176308539944903,1.0444043699749335
100000,20000,100000,inv_q,0.9426605504587156,0.6445454545454545,1.0021996757571374
100000,50000,200000,inv_q,0.8986655546288573,0.6625514403292181,1.0199342412460777
