layer,rank,period,power,harmonic_fit,rel_error
1,1,5.666298342541436,290744.4346555417,17/3,6.500260010407061e-05
1,2,6.333470564018114,282692.28199371445,19/3,2.1667533368000097e-05
1,3,3.166735282009057,191928.38229478683,19/(2*3),2.1667533368000097e-05
1,4,2.833149171270718,191038.59529437812,17/(2*3),6.500260010407061e-05
1,5,3.399779005524862,166254.19854285775,17/5,6.500260010393998e-05
1,6,2.111156854672705,161566.82077574948,19/9,2.1667533368000097e-05
1,7,2.874976639880396,151320.00104041325,23/(2*4),8.12532501307315e-06
1,8,2.714184897671136,149896.2229057388,19/7,3.714434291668776e-05
1,9,11.497757847533633,145709.68816491123,23/(2*1),0.00019500780031198408
1,10,4.749614078419265,125646.58356007324,19/(2*2),8.125325013003072e-05
2,1,2.714714714714715,1954.6933849274224,19/7,0.0001580278128950601
2,2,3.7983193277310923,1842.5673097618171,19/5,0.0004424778761061931
2,3,3.160839160839161,1739.784457450318,19/(2*3),0.0018436578171090996
2,4,2.0925925925925926,1698.4564408641793,23/11,0.0008045052292840132
2,5,23.17948717948718,1660.179565047343,23/1,0.00774336283185838
2,6,3.1719298245614036,1641.2195956571147,19/(2*3),0.0016592920353983053
2,7,7.661016949152542,1580.423067995894,23/3,0.0007374631268436945
2,8,4.834224598930481,1572.6742848312492,29/(2*3),0.0001843657817109305
2,9,18.833333333333332,1556.641169785399,19/1,0.008849557522123958
2,10,2.553672316384181,1549.6058251623358,23/9,0.0007374631268435786
3,1,2.0434782608695654,72.13347043255386,41/(2*10),0.0031914893617019458
3,2,5.875,72.06571644482939,41/7,0.0030395136778116148
3,3,3.357142857142857,71.5364782518161,37/11,0.0019342359767891854
3,4,2.35,71.21470640608,37/(2*8),0.015957446808510675
3,5,15.666666666666666,70.09706759018714,31/(2*1),0.010638297872340389
3,6,11.75,69.84291221081455,23/(2*1),0.02127659574468085
3,7,7.833333333333333,69.62209696592618,31/(2*2),0.010638297872340389
3,8,4.7,69.37020441287811,37/(2*4),0.015957446808510675
3,9,2.764705882352941,69.24119654016218,31/11,0.01934235976789176
3,10,2.611111111111111,69.20369973040064,29/11,0.009671179883945776
