p,killed_Q0,survive_Q1,hazard,rank
15569,0,1,0.0,245
15583,0,1,0.0,246
15629,0,1,0.0,247
15641,0,1,0.0,248
15643,0,1,0.0,249
15647,0,1,0.0,250
15671,0,1,0.0,251
15679,0,1,0.0,252
15731,0,1,0.0,253
15749,0,1,0.0,254
15761,0,1,0.0,255
15773,0,1,0.0,256
15797,0,1,0.0,257
15887,0,1,0.0,258
15901,0,1,0.0,259
15937,0,1,0.0,260
15971,0,1,0.0,261
16057,0,1,0.0,262
16067,0,1,0.0,263
16069,0,1,0.0,264
16087,0,1,0.0,265
16097,0,1,0.0,266
16103,0,1,0.0,267
16223,0,1,0.0,268
16253,0,1,0.0,269
16349,0,1,0.0,270
16361,0,1,0.0,271
16417,0,1,0.0,272
16421,0,1,0.0,273
16433,0,1,0.0,274
16451,0,1,0.0,275
16487,0,1,0.0,276
16493,0,1,0.0,277
16519,0,1,0.0,278
16547,0,1,0.0,279
16567,0,1,0.0,280
16649,0,1,0.0,281
16673,0,1,0.0,282
16691,0,1,0.0,283
16703,0,1,0.0,284
16729,0,1,0.0,285
16759,0,1,0.0,286
16763,0,1,0.0,287
16787,0,1,0.0,288
16829,0,1,0.0,289
16843,0,1,0.0,290
16871,0,1,0.0,291
16879,0,1,0.0,292
16889,0,1,0.0,293
16943,0,1,0.0,294
16979,0,1,0.0,295
16981,0,1,0.0,296
16987,0,1,0.0,297
16993,0,1,0.0,298
17021,0,1,0.0,299
17029,0,1,0.0,300
17041,0,1,0.0,301
17047,0,1,0.0,302
17077,0,1,0.0,303
17099,0,1,0.0,304
17117,0,1,0.0,305
17123,0,1,0.0,306
17137,0,1,0.0,307
17189,0,1,0.0,308
17191,0,1,0.0,309
17207,0,1,0.0,310
17209,0,1,0.0,311
17239,0,1,0.0,312
17293,0,1,0.0,313
17333,0,1,0.0,314
17359,0,1,0.0,315
17377,0,1,0.0,316
17383,0,1,0.0,317
17393,0,1,0.0,318
17401,0,1,0.0,319
17417,0,1,0.0,320
17477,0,1,0.0,321
17483,0,1,0.0,322
17489,0,1,0.0,323
17497,0,1,0.0,324
17509,0,1,0.0,325
17519,0,1,0.0,326
17551,0,1,0.0,327
17573,0,1,0.0,328
17597,0,1,0.0,329
17609,0,1,0.0,330
17623,0,1,0.0,331
17627,0,1,0.0,332
17683,0,1,0.0,333
17747,0,1,0.0,334
17761,0,1,0.0,335
17789,0,1,0.0,336
17807,0,1,0.0,337
17839,0,1,0.0,338
17851,0,1,0.0,339
17881,0,1,0.0,340
17903,0,1,0.0,341
17909,0,1,0.0,342
17921,0,1,0.0,343
17929,0,1,0.0,344
17957,0,1,0.0,345
17981,0,1,0.0,346
17989,0,1,0.0,347
18047,0,1,0.0,348
18059,0,1,0.0,349
18061,0,1,0.0,350
18089,0,1,0.0,351
18097,0,1,0.0,352
18119,0,1,0.0,353
18127,0,1,0.0,354
18143,0,1,0.0,355
18169,0,1,0.0,356
18181,0,1,0.0,357
18229,0,1,0.0,358
18233,0,1,0.0,359
18269,0,1,0.0,360
18289,0,1,0.0,361
18311,0,1,0.0,362
18313,0,1,0.0,363
18329,0,1,0.0,364
18341,0,1,0.0,365
18367,0,1,0.0,366
18371,0,1,0.0,367
18433,0,1,0.0,368
18481,0,1,0.0,369
18503,0,1,0.0,370
18539,0,1,0.0,371
18541,0,1,0.0,372
18587,0,1,0.0,373
18593,0,1,0.0,374
18617,0,1,0.0,375
18637,0,1,0.0,376
18661,0,1,0.0,377
18671,0,1,0.0,378
18691,0,1,0.0,379
18719,0,1,0.0,380
18773,0,1,0.0,381
18839,0,1,0.0,382
18869,0,1,0.0,383
18919,0,1,0.0,384
18973,0,1,0.0,385
18979,0,1,0.0,386
19001,0,1,0.0,387
19009,0,1,0.0,388
19013,0,1,0.0,389
19051,0,1,0.0,390
19069,0,1,0.0,391
19073,0,1,0.0,392
19079,0,1,0.0,393
19121,0,1,0.0,394
19157,0,1,0.0,395
19231,0,1,0.0,396
19249,0,1,0.0,397
19333,0,1,0.0,398
19379,0,1,0.0,399
19403,0,1,0.0,400
19417,0,1,0.0,401
19421,0,1,0.0,402
19427,0,1,0.0,403
19429,0,1,0.0,404
19433,0,1,0.0,405
19441,0,1,0.0,406
19463,0,1,0.0,407
19469,0,1,0.0,408
19501,0,1,0.0,409
19577,0,1,0.0,410
19661,0,1,0.0,411
19681,0,1,0.0,412
19697,0,1,0.0,413
19709,0,1,0.0,414
19717,0,1,0.0,415
19727,0,1,0.0,416
19739,0,1,0.0,417
19753,0,1,0.0,418
19759,0,1,0.0,419
19763,0,1,0.0,420
19777,0,1,0.0,421
19793,0,1,0.0,422
19801,0,1,0.0,423
19813,0,1,0.0,424
19819,0,1,0.0,425
19843,0,1,0.0,426
19853,0,1,0.0,427
19861,0,1,0.0,428
19867,0,1,0.0,429
19891,0,1,0.0,430
19913,0,1,0.0,431
19937,0,1,0.0,432
19949,0,1,0.0,433
19961,0,1,0.0,434
19963,0,1,0.0,435
20023,0,1,0.0,436
20029,0,1,0.0,437
20089,0,1,0.0,438
20113,0,1,0.0,439
20117,0,1,0.0,440
20143,0,1,0.0,441
20147,0,1,0.0,442
20149,0,1,0.0,443
20161,0,1,0.0,444
20183,0,1,0.0,445
20201,0,1,0.0,446
20231,0,1,0.0,447
20249,0,1,0.0,448
20261,0,1,0.0,449
20287,0,1,0.0,450
20297,0,1,0.0,451
20333,0,1,0.0,452
20341,0,1,0.0,453
20347,0,1,0.0,454
20353,0,1,0.0,455
20357,0,1,0.0,456
20359,0,1,0.0,457
20369,0,1,0.0,458
20389,0,1,0.0,459
20393,0,1,0.0,460
20431,0,1,0.0,461
20441,0,1,0.0,462
20477,0,1,0.0,463
20479,0,1,0.0,464
20483,0,1,0.0,465
20533,0,1,0.0,466
20549,0,1,0.0,467
20599,0,1,0.0,468
20627,0,1,0.0,469
20639,0,1,0.0,470
20641,0,1,0.0,471
20693,0,1,0.0,472
20707,0,1,0.0,473
20719,0,1,0.0,474
20731,0,1,0.0,475
20747,0,1,0.0,476
20753,0,1,0.0,477
20789,0,1,0.0,478
20809,0,1,0.0,479
20849,0,1,0.0,480
20857,0,1,0.0,481
20873,0,1,0.0,482
20887,0,1,0.0,483
20903,0,1,0.0,484
20959,0,1,0.0,485
21001,0,1,0.0,486
21017,0,1,0.0,487
21019,0,1,0.0,488
21023,0,1,0.0,489
21031,0,1,0.0,490
21059,0,1,0.0,491
21061,0,1,0.0,492
21067,0,1,0.0,493
21101,0,1,0.0,494
21107,0,1,0.0,495
21121,0,1,0.0,496
21139,0,1,0.0,497
21149,0,1,0.0,498
21169,0,1,0.0,499
21191,0,1,0.0,500
21193,0,1,0.0,501
21211,0,1,0.0,502
21247,0,1,0.0,503
21269,0,1,0.0,504
21313,0,1,0.0,505
21319,0,1,0.0,506
21323,0,1,0.0,507
21377,0,1,0.0,508
21397,0,1,0.0,509
21401,0,1,0.0,510
21407,0,1,0.0,511
21467,0,1,0.0,512
21481,0,1,0.0,513
21499,0,1,0.0,514
21503,0,1,0.0,515
21523,0,1,0.0,516
21557,0,1,0.0,517
21559,0,1,0.0,518
21577,0,1,0.0,519
21587,0,1,0.0,520
21599,0,1,0.0,521
21617,0,1,0.0,522
21649,0,1,0.0,523
21701,0,1,0.0,524
21739,0,1,0.0,525
21751,0,1,0.0,526
21757,0,1,0.0,527
21799,0,1,0.0,528
21817,0,1,0.0,529
21839,0,1,0.0,530
21841,0,1,0.0,531
21851,0,1,0.0,532
21859,0,1,0.0,533
21863,0,1,0.0,534
21871,0,1,0.0,535
21881,0,1,0.0,536
21893,0,1,0.0,537
21911,0,1,0.0,538
21937,0,1,0.0,539
21943,0,1,0.0,540
21961,0,1,0.0,541
21977,0,1,0.0,542
21997,0,1,0.0,543
22013,0,1,0.0,544
22027,0,1,0.0,545
22031,0,1,0.0,546
22037,0,1,0.0,547
22039,0,1,0.0,548
22051,0,1,0.0,549
22063,0,1,0.0,550
22093,0,1,0.0,551
22109,0,1,0.0,552
22129,0,1,0.0,553
22133,0,1,0.0,554
22153,0,1,0.0,555
22159,0,1,0.0,556
22171,0,1,0.0,557
22189,0,1,0.0,558
22193,0,1,0.0,559
22229,0,1,0.0,560
22247,0,1,0.0,561
22273,0,1,0.0,562
22277,0,1,0.0,563
22279,0,1,0.0,564
22283,0,1,0.0,565
22291,0,1,0.0,566
22367,0,1,0.0,567
22391,0,1,0.0,568
22397,0,1,0.0,569
22409,0,1,0.0,570
22433,0,1,0.0,571
22441,0,1,0.0,572
22453,0,1,0.0,573
22469,0,1,0.0,574
22483,0,1,0.0,575
22511,0,1,0.0,576
22531,0,1,0.0,577
22541,0,1,0.0,578
22573,0,1,0.0,579
22613,0,1,0.0,580
22619,0,1,0.0,581
22637,0,1,0.0,582
22639,0,1,0.0,583
22651,0,1,0.0,584
22679,0,1,0.0,585
22691,0,1,0.0,586
22697,0,1,0.0,587
22699,0,1,0.0,588
22709,0,1,0.0,589
22727,0,1,0.0,590
22769,0,1,0.0,591
22777,0,1,0.0,592
22783,0,1,0.0,593
22859,0,1,0.0,594
