n_start,q0,dt,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,theta_star,theta_subdeg,angle_score_peak,angle_score_median,peakiness,sanity
1000000,6,5,2.4101694915254237,18.0,2.0745428973277074,0.089046621855501,0.000678143394847619,1.0,86.9,86.88979057700513,10.944444544613361,9.722222302109003,3.1428571936198915,permute_cols
1000000,7,6,5.27891156462585,21.0,1.13659793814433,-0.11338542705799103,0.0011179826375770086,1.0,86.4,86.1,8.428571611642838,7.238095387816429,2.2727273382145325,permute_cols
1000000,8,6,1.6666666666666667,1.5,3.5999999999999996,-0.03482668939638786,0.00010605498884908027,1.0,78.2,78.2103007533309,6.250000160187483,5.250000149011612,4.799999887553037,permute_cols
1000000,9,7,-5.1331058020477816,-23.0,nan,-0.01096882719645976,1.185709699613735e-05,1.0,87.6,87.61999999999585,5.370370410382748,4.296296328306198,4.1428571268775505,permute_cols
1000000,10,8,1.4383561643835616,-6.0,5.561904761904762,0.1879022505544543,0.003229451173136222,1.0,83.7,83.59870129888546,4.233333550393581,3.333333507180214,3.8571429478093715,permute_cols
1000000,11,9,1.2199312714776633,21.0,7.377464788732394,0.15917340722376222,0.002225046713158041,1.0,85.7,85.59772727272188,3.39393949508667,2.8484849333763123,2.9999999835000004,permute_cols
1000000,12,10,7.758620689655173,27.0,1.2888888888888888,0.12627801962491927,0.0013482016023771415,1.0,87.1,87.14090909098294,3.166666692122817,2.361111130565405,5.799999958240001,permute_cols
1000000,13,10,2.103448275862069,0.5,4.754098360655738,0.05614392889176097,0.0002700192022965231,1.0,83.7,83.70957446810762,2.871794918552041,2.000000026077032,5.666666690369301,permute_cols
1000000,14,11,-3.3806228373702423,3.0,nan,0.2152278964324001,0.0037456492610392633,1.0,87.7,87.56948052031237,2.309523854404688,1.8333333674818277,3.3333333665002356,permute_cols
1000000,15,12,6.472222222222222,9.5,1.854077253218884,0.29599619618294126,0.006893867656792785,1.0,79.8,79.77826087079005,2.000000048428774,1.5555555950850248,4.9999999227952445,permute_cols
1000000,16,13,-4.7456445993031355,-8.0,nan,0.12276443069109194,0.001264569425941553,1.0,89.5,89.49577464788737,1.8125000540167093,1.3750000409781933,5.249999937000003,permute_cols
1000000,17,14,-2.8426573426573425,-6.0,nan,0.021724360363512704,5.225699564703756e-05,1.0,78.7,78.67460063923606,1.7843137867748737,1.2549020014703274,5.3999997587300115,permute_cols
1000000,18,14,-8.472027972027972,-34.0,nan,0.24936603832604853,0.00531225813316849,1.0,89.4,89.44090909091108,1.5370370484888554,1.111111119389534,3.2857142603673473,permute_cols
1000000,19,15,-2.5824561403508772,-8.0,nan,-0.15234491231536,0.0023428701291675624,1.0,82.7,82.72924528382815,1.315789483487606,0.9122807085514069,5.749999918062501,permute_cols
