win_start,k,density
1,1,1.0
1,2,0.5
1,3,0.33181818181818185
1,4,0.25
1,5,0.2
1,6,0.16363636363636364
1,7,0.1409090909090909
1,8,0.12272727272727273
1,9,0.10909090909090909
1,10,0.1
1,11,0.09090909090909091
1,12,0.08181818181818182
1,13,0.07272727272727272
1,14,0.06818181818181818
1,15,0.06363636363636363
1,16,0.05909090909090909
1,17,0.05454545454545454
1,18,0.05454545454545454
1,19,0.05
1,20,0.05
1,21,0.045454545454545456
1,22,0.045454545454545456
1,23,0.04090909090909091
1,24,0.04090909090909091
1,25,0.03636363636363636
1,26,0.03636363636363636
1,27,0.03636363636363636
1,28,0.031818181818181815
1,29,0.031818181818181815
1,30,0.031818181818181815
1,31,0.031818181818181815
1,32,0.02727272727272727
1,33,0.02727272727272727
1,34,0.02727272727272727
1,35,0.02727272727272727
1,36,0.02727272727272727
1,37,0.022727272727272728
1,38,0.022727272727272728
1,39,0.022727272727272728
1,40,0.022727272727272728
1,41,0.022727272727272728
1,42,0.022727272727272728
1,43,0.022727272727272728
1,44,0.022727272727272728
1,45,0.01818181818181818
1,46,0.01818181818181818
1,47,0.01818181818181818
1,48,0.01818181818181818
1,49,0.01818181818181818
1,50,0.01818181818181818
1,51,0.01818181818181818
1,52,0.01818181818181818
1,53,0.01818181818181818
1,54,0.01818181818181818
1,55,0.01818181818181818
1,56,0.013636363636363636
1,57,0.013636363636363636
1,58,0.013636363636363636
1,59,0.013636363636363636
1,60,0.013636363636363636
1,61,0.013636363636363636
1,62,0.013636363636363636
1,63,0.013636363636363636
1,64,0.013636363636363636
1,65,0.013636363636363636
1,66,0.013636363636363636
1,67,0.013636363636363636
1,68,0.013636363636363636
1,69,0.013636363636363636
1,70,0.013636363636363636
1,71,0.013636363636363636
1,72,0.013636363636363636
1,73,0.013636363636363636
1,74,0.00909090909090909
1,75,0.00909090909090909
1,76,0.00909090909090909
1,77,0.00909090909090909
1,78,0.00909090909090909
1,79,0.00909090909090909
1,80,0.00909090909090909
1,81,0.00909090909090909
1,82,0.00909090909090909
1,83,0.00909090909090909
1,84,0.00909090909090909
1,85,0.00909090909090909
1,86,0.00909090909090909
1,87,0.00909090909090909
1,88,0.00909090909090909
1,89,0.00909090909090909
1,90,0.00909090909090909
1,91,0.00909090909090909
1,92,0.00909090909090909
1,93,0.00909090909090909
1,94,0.00909090909090909
1,95,0.00909090909090909
1,96,0.00909090909090909
1,97,0.00909090909090909
1,98,0.00909090909090909
1,99,0.00909090909090909
1,100,0.00909090909090909
1,101,0.00909090909090909
1,102,0.00909090909090909
1,103,0.00909090909090909
1,104,0.00909090909090909
1,105,0.00909090909090909
1,106,0.00909090909090909
1,107,0.00909090909090909
1,108,0.00909090909090909
1,109,0.00909090909090909
1,110,0.00909090909090909
1,111,0.004545454545454545
1,112,0.004545454545454545
1,113,0.004545454545454545
1,114,0.004545454545454545
1,115,0.004545454545454545
1,116,0.004545454545454545
1,117,0.004545454545454545
1,118,0.004545454545454545
1,119,0.004545454545454545
1,120,0.004545454545454545
1,121,0.004545454545454545
1,122,0.004545454545454545
1,123,0.004545454545454545
1,124,0.004545454545454545
1,125,0.004545454545454545
1,126,0.004545454545454545
1,127,0.004545454545454545
1,128,0.004545454545454545
1,129,0.004545454545454545
1,130,0.004545454545454545
1,131,0.004545454545454545
1,132,0.004545454545454545
1,133,0.004545454545454545
1,134,0.004545454545454545
1,135,0.004545454545454545
1,136,0.004545454545454545
1,137,0.004545454545454545
1,138,0.004545454545454545
1,139,0.004545454545454545
1,140,0.004545454545454545
1,141,0.004545454545454545
1,142,0.004545454545454545
1,143,0.004545454545454545
1,144,0.004545454545454545
1,145,0.004545454545454545
1,146,0.004545454545454545
1,147,0.004545454545454545
1,148,0.004545454545454545
1,149,0.004545454545454545
1,150,0.004545454545454545
1,151,0.004545454545454545
1,152,0.004545454545454545
1,153,0.004545454545454545
1,154,0.004545454545454545
1,155,0.004545454545454545
1,156,0.004545454545454545
1,157,0.004545454545454545
1,158,0.004545454545454545
1,159,0.004545454545454545
1,160,0.004545454545454545
