Q,AUC,Brier,LogLoss
1000000,0.928479,0.061187,0.219004
2000000,0.888387,0.096570,0.335810
5000000,0.831241,0.138026,0.482283
10000000,0.795745,0.169325,0.594873
20000000,0.768161,0.196556,0.694254
50000000,0.736863,0.231184,0.824826
