lag,corr
4862,0.029126786184728855
1573,0.027139329960933323
3289,0.02611175058480086
2717,0.026034260625796904
858,0.024457932780360344
4785,0.023252873587414725
2508,0.023187870622359306
3366,0.023031296618298346
4446,0.02206938821999849
2431,0.021554614595215304
1859,0.021291503319874193
2015,0.021272656133872123
4301,0.020975121762544447
4004,0.020849399759916343
4147,0.020713130226611223
4433,0.020509962308031794
1496,0.02024390390786155
4576,0.020094313417838478
3740,0.020091126556640245
3575,0.019630109787639658
