budget,method,n_selected,yield,yield_ci_low,yield_ci_high,bad_tests,bad_tests_ci_low,bad_tests_ci_high,bad_tests_avoided_vs_random,saved_sec_cost1,saved_sec_cost3600,saved_sec_cost86400
0.001,random,26,0.7586538461538461,0.7471064102031223,0.77020128210457,6.275,5.974766665281182,6.575233334718819,0.0,0.0,0.0,0.0
0.001,M22_binary,26,1.0,,,0,,,6.275,6.275,22590.0,542160.0
0.001,M22_count,26,1.0,,,0,,,6.275,6.275,22590.0,542160.0
0.001,M22_harmonic,26,1.0,,,0,,,6.275,6.275,22590.0,542160.0
0.002,random,52,0.7679807692307692,0.759223998100258,0.7767375403612804,12.065,11.609647901213416,12.520352098786583,0.0,0.0,0.0,0.0
0.002,M22_binary,52,1.0,,,0,,,12.065,12.065,43434.0,1042416.0
0.002,M22_count,52,1.0,,,0,,,12.065,12.065,43434.0,1042416.0
0.002,M22_harmonic,52,1.0,,,0,,,12.065,12.065,43434.0,1042416.0
0.005,random,130,0.7668461538461538,0.7615642111234436,0.772128096568864,30.31,29.623347446047678,30.99665255395232,0.0,0.0,0.0,0.0
0.005,M22_binary,130,1.0,,,0,,,30.31,30.31,109116.0,2618784.0
0.005,M22_count,130,1.0,,,0,,,30.31,30.31,109116.0,2618784.0
0.005,M22_harmonic,130,1.0,,,0,,,30.31,30.31,109116.0,2618784.0
0.01,random,260,0.7662692307692308,0.7627529334503504,0.7697855280881112,60.77,59.855762697091095,61.68423730290891,0.0,0.0,0.0,0.0
0.01,M22_binary,260,1.0,,,0,,,60.77,60.77,218772.0,5250528.0
0.01,M22_count,260,1.0,,,0,,,60.77,60.77,218772.0,5250528.0
0.01,M22_harmonic,260,1.0,,,0,,,60.77,60.77,218772.0,5250528.0
0.02,random,520,0.7687307692307692,0.766315326495988,0.7711462119655504,120.26,119.00396977791378,121.51603022208623,0.0,0.0,0.0,0.0
0.02,M22_binary,520,1.0,,,0,,,120.26,120.26,432936.0,10390464.0
0.02,M22_count,520,1.0,,,0,,,120.26,120.26,432936.0,10390464.0
0.02,M22_harmonic,520,1.0,,,0,,,120.26,120.26,432936.0,10390464.0
0.05,random,1300,0.7686538461538461,0.7671101139723459,0.7701975783353464,300.75,298.74314816404967,302.75685183595033,0.0,0.0,0.0,0.0
0.05,M22_binary,1300,1.0,,,0,,,300.75,300.75,1082700.0,25984800.0
0.05,M22_count,1300,1.0,,,0,,,300.75,300.75,1082700.0,25984800.0
0.05,M22_harmonic,1300,1.0,,,0,,,300.75,300.75,1082700.0,25984800.0
0.1,random,2600,0.7680769230769231,0.767054845237893,0.7690990009159532,603.0,600.342597618522,605.657402381478,0.0,0.0,0.0,0.0
0.1,M22_binary,2600,1.0,,,0,,,603.0,603.0,2170800.0,52099200.0
0.1,M22_count,2600,1.0,,,0,,,603.0,603.0,2170800.0,52099200.0
0.1,M22_harmonic,2600,1.0,,,0,,,603.0,603.0,2170800.0,52099200.0
0.2,random,5199,0.7676274283516061,0.766848674187419,0.7684061825157933,1208.105,1204.056257100391,1212.1537428996091,0.0,0.0,0.0,0.0
0.2,M22_binary,5199,0.8842085016349298,,,602,,,606.105,606.105,2181978.0,52367472.0
0.2,M22_count,5199,0.9484516253125601,,,268,,,940.105,940.105,3384378.0,81225072.0
0.2,M22_harmonic,5199,0.9784573956530102,,,112,,,1096.105,1096.105,3945978.0,94703472.0
0.5,random,12998,0.7681293275888598,0.7677708910661853,0.7684877641115342,3013.855,3009.1960420782775,3018.5139579217225,0.0,0.0,0.0,0.0
0.5,M22_binary,12998,0.8089706108632098,,,2483,,,530.855,530.855,1911078.0,45865872.0
0.5,M22_count,12998,0.864286813355901,,,1764,,,1249.855,1249.855,4499478.0,107987472.0
0.5,M22_harmonic,12998,0.924911524849977,,,976,,,2037.855,2037.855,7336278.0,176070672.0
