step,delta_gen_cost,delta_survival,test_cost_threshold_ms
1->6,5.035633318281423e-08,0.31489999999999996,0.00015991214094256663
6->24,2.3361933340008057e-07,0.22785666666666665,0.0010252907532516667
24->60,5.570151666567351e-07,0.09261500000000003,0.006014308337275116
60->100,7.680729999750229e-07,0.03594,0.021370979409433024
100->150,-1.5789983347834379e-07,0.022483333333333327,-0.0070229725787254475
