dt,dx_mean,dx_ci_lo,dx_ci_hi,q_eff,q_eff_ci_lo,q_eff_ci_hi,theta_star,theta_ci_lo,theta_ci_hi,theta_dx,theta_dx_ci_lo,theta_dx_ci_hi,angle_score_peak,sanity
5,0.13559322033898305,0.10161016949152543,0.17296610169491528,36.875,28.907664027149323,49.209051724137936,88.2,88.2,88.2,88.44659687583179,88.01874456184314,88.83579348839051,10.877192884683609,none
10,0.25862068965517243,0.2103448275862069,0.3069827586206897,38.666666666666664,32.57521847690387,47.540983606557376,88.2,88.2,88.2,88.51854282911292,88.2416705617393,88.79499061131321,10.877192884683609,none
20,0.5178571428571429,0.47125,0.5715178571428571,38.62068965517241,34.994565217391305,42.44055944055944,88.2,88.2,88.2,88.51677997697435,88.36316738359247,88.65021795822122,10.877192884683609,none
40,1.0538461538461539,1.0269230769230768,1.0770192307692308,37.956204379562045,37.139552618200305,38.951310861423224,88.2,88.2,88.2,88.49082569620325,88.45765624245051,88.5293640905049,10.877192884683609,none
