f_idx,power
1,149948.69793561622
2,146494.2884990488
3,151614.1167348535
4,143344.26856982728
5,149038.05539545574
6,151533.00691961744
7,143899.53555459902
8,149792.87848911952
9,136431.5281221023
10,133680.2281959034
11,117659.5067665812
12,166841.15613267248
13,146323.39487173918
14,185354.74187236236
15,148412.6846683776
16,104044.03499203756
17,108955.4747155682
18,192081.91832289784
19,59718.145020763644
20,30624.4970336527
21,275489.8473593515
22,217195.0500235602
23,102610.15024250219
24,64290.97835401313
25,90242.34053758696
26,166576.46554427035
27,32490.562035862462
28,25369.868536149967
29,368357.2748581635
30,4218.25921649039
31,288820.40996710776
32,130611.22937531144
33,93086.79960538902
34,102546.44597900152
35,64469.103516785675
36,192480.02768399127
37,179011.6033328531
38,69843.43785630174
39,295405.0237118994
40,273504.6664516123
41,285277.3391846901
42,318642.2162986437
43,95496.11005627966
44,388293.5708914246
45,12228.975736711855
46,267390.95140225126
47,111648.74806880261
48,41324.550707835435
49,24703.191262992976
50,1269828.9263914963
51,516048.62503902795
52,29911.75381158536
53,333458.5859185401
54,71358.53750775238
55,22204.541179071133
56,70679.06674188914
57,743.8791174780736
58,402997.93798770796
59,795041.2597685242
60,146636.613787192
61,231848.96640424457
62,529962.2445752909
63,371828.3514881051
64,51866.97494435484
65,26967.9483790022
66,1353845.4526078755
67,308634.3869995397
68,43248.97141115847
69,8790.285985195744
70,70618.13211138028
71,99438.8714684483
72,143192.35587480615
73,226164.2702729612
74,193103.41305671842
75,61089.67566914374
76,63953.000221731345
77,17342.946319357798
78,166335.6767159394
79,240804.99378959413
80,147253.01779078197
81,195967.10524176367
82,330835.9334649851
83,63566.01452165659
84,54999.243053955004
85,406029.6709859719
86,263095.99705974106
87,262510.2206699123
88,154852.60570173606
89,85883.88081222199
90,133844.37200329988
91,199988.70225856508
92,45006.4218707767
93,128111.10347256112
94,203942.72415930327
95,177507.96697458802
96,31998.546654423008
97,33777.03097105828
98,11132.503862066562
99,80878.59573693041
100,480696.7409845013
101,415787.55485775636
102,98599.8668138671
103,328158.52698984666
104,194226.88256146258
105,179455.3493496315
106,77482.55398176325
107,337314.7054778962
108,206357.18767241447
109,2372.7344454629892
110,48423.08928164397
111,57167.93080203998
112,102712.56543430645
113,26310.30576774735
114,1033760.1712751036
115,477744.31289089896
116,172204.24645259237
117,31005.104358637334
118,48233.079032445035
119,23856.250456343903
120,13773.513276819469
121,292778.8434842525
122,152289.9237459669
123,920422.4332284109
124,261767.9186979119
125,72069.81744963017
126,463671.99063739885
127,319002.8103200586
128,268022.3709069745
129,6927.496628883687
130,247832.6312007118
131,136794.0737564947
132,377517.9895086172
133,298607.86084724654
134,62686.375397136726
135,26829.362422317536
136,157502.16089858164
137,231185.77215745806
138,300569.22820244014
139,88164.72275603395
140,173659.6841422564
141,95340.75535460302
142,15331.687681785772
143,573925.3798663382
144,69611.30444016866
145,33068.04693903313
146,146418.53365186614
147,124091.97698517148
148,239843.9859999695
149,171970.770931021
150,116011.33314292764
151,610730.1815223771
152,2668.6453521099806
153,116544.73278616727
154,404190.91957997537
155,371276.8717279799
156,160557.76317330456
157,84346.57287152622
158,132440.38999452002
159,419269.27324087126
160,551273.0801031067
161,474.7615714944121
162,218365.7219654641
163,70957.52571530445
164,32799.23052899341
165,92102.16271373857
166,87680.9136801967
167,123907.68606077226
168,61429.64433624777
169,280166.77329483564
170,76287.08481613066
171,168936.07702448356
172,425270.16253646644
173,197890.43582686275
174,502150.9182857172
175,461632.5248450358
176,29008.05490834566
177,44556.2740817218
178,130115.14520761045
179,164086.58418542496
180,79858.07787991142
181,18379.951798857168
182,270097.89462104975
183,274247.8494474115
184,54918.55225087896
185,178473.8846986534
186,3769.109118344593
187,272054.84036530677
188,764984.0409323978
189,206431.3346020586
190,46253.26168190978
191,143816.9207450114
192,274613.2323260882
193,15314.026356441153
194,7424.230199079069
195,30394.700323182944
196,15798.3759999535
197,232640.30825648666
198,132634.08644453392
199,466358.3149358498
200,75272.27776864586
201,100154.84131768574
202,321985.611679631
203,51590.4374886578
204,320857.1157925368
205,269086.6579971288
206,197165.9875812303
207,16399.294258643044
208,92253.26222864224
209,180080.57155699466
210,92581.89217182402
211,31119.852000084804
212,53527.15852506957
213,24382.244922714217
214,75496.04536107309
215,62576.07157428778
216,137826.6017370935
217,163865.42487934686
218,24555.838001685453
219,73632.77077808279
220,644039.5659038592
221,288321.95389533
222,626620.92729253
223,116848.26202506758
224,296611.8564216066
225,19544.473782613764
226,24507.172564712462
227,164383.33335010312
228,648967.0814599425
229,107837.45109948353
230,355537.5664571968
231,34732.75615670714
232,53840.43731805985
233,173818.38665003766
234,108514.99012172944
235,31871.914518809157
236,95881.2624158686
237,20455.892320841882
238,377564.8864669196
239,301852.77791131835
240,18122.709740851773
241,70855.32515223732
242,20618.460399522854
243,554990.811487073
244,39526.32323940776
245,82667.62137480613
246,26044.881450959845
247,153642.64700574146
248,41888.069850233514
249,13184.64959354008
250,23548.2805162307
251,9298.000152539815
252,53199.86146948525
253,252749.517501624
254,125564.44368140725
255,2606.797200992017
256,5980.4462986854
257,49042.51402031341
258,566323.5833463552
259,141332.34248752764
260,395387.227453348
261,7435.408582699893
262,77838.21025586117
263,114444.02788958131
264,65060.64341116613
265,398233.0110021668
266,25543.849971170068
267,55329.53481809972
268,67587.9881155306
269,149552.17717716855
270,264470.1988975998
271,134534.168495864
272,59670.04690343432
273,127117.70221200828
274,107812.45847668473
275,317565.7006543256
276,10521.176614614156
277,90227.55043682054
278,51898.10286296261
279,262203.6455586753
280,297965.2607339274
281,103599.22694951358
282,142674.62944428442
283,321936.75476626895
284,19443.94507539625
285,563097.0112895304
286,286268.2156062317
287,368287.1341953924
288,107902.3444413855
289,77581.12019764744
290,322463.67488063534
291,57245.43095484075
292,304071.7066083231
293,587886.658936134
294,320696.72867905564
295,58484.76579384302
296,45066.30140325032
297,177324.6673517542
298,111541.17273423687
299,24677.28883931155
300,866778.3039247409
301,219069.2764909349
302,183033.4137071823
303,664610.6056957021
304,277174.6467415328
305,43738.72582015479
306,254139.04658592882
307,241047.23609281567
308,120688.56204441412
309,28305.71126965797
310,62659.24415385976
311,385818.3497047625
312,117087.14714192749
313,175334.5982374497
314,40793.24602474243
315,55596.04683514058
316,60647.36693852456
317,140986.77736959595
318,283599.4446039245
319,15858.185976871278
320,6074.109600412756
321,115378.04765209496
322,577692.3572687883
323,51161.752127481166
324,54306.33389105124
325,95389.15426257605
326,87909.21380321588
327,50544.83524742908
328,33120.52536327559
329,116098.23339879303
330,113774.58163239597
331,15767.048906699896
332,17054.08633458435
333,39573.150611211335
334,661601.3486645428
335,193586.45848641312
336,201203.88278289855
337,203596.39443965178
338,638718.099297703
339,471659.1630582949
340,368846.08734917844
341,193342.22830339102
342,129936.55714413628
343,46763.277684021574
344,63823.86338119632
345,18213.850278620044
346,102663.02101130872
347,62581.95123907246
348,20342.438889789228
349,60308.19997392508
350,153822.6931262847
351,150615.40391872867
352,414184.532096854
353,201266.90121943117
354,129091.14445664609
355,43653.70373621685
356,41881.76117569924
357,247989.2961276532
358,82893.6548457282
359,78866.9636625857
360,669525.1624530916
361,66051.94948602143
362,84358.20865450264
363,889627.9895648306
364,120112.03407573563
365,125647.28798231432
366,117792.82263636088
367,442995.54918750917
368,44610.66742260932
369,33591.27534743689
370,94951.86994623476
371,302510.96105988143
372,218472.85160049336
373,170845.5612183836
374,108618.78827922554
375,109584.57365649178
376,641197.1979886396
377,63947.191377549134
378,58362.93286842963
379,184549.59104895795
380,333915.56298719236
381,199367.7400560367
382,43352.17745194023
383,112390.31984119109
384,805705.9463971973
385,28246.90452079301
386,15578.19169364373
387,313306.2344131235
388,29231.58195456659
389,49969.22843279117
390,10946.064414327133
391,347213.5376834866
392,446685.3068958135
393,4451.284887240795
394,40620.806440078995
395,220003.60322097348
396,177985.87440279196
397,245922.5756105634
398,67489.26134823357
399,45867.30911641753
400,398211.0213332634
401,506332.32078755286
402,173285.5810355844
403,25909.282392945213
404,471000.8514696064
405,23666.94146122918
406,41218.9985749488
407,409076.26866361377
408,3083.711336333516
409,202708.9675581222
410,263695.6380398166
411,16731.114317480005
412,470173.33535876183
413,49221.593227849924
414,194014.37835177244
415,129793.93209867139
416,73531.45356108257
417,306996.7049764587
418,267350.5253748891
419,274505.53383169265
420,265170.4709585602
421,171021.00502712742
422,400671.6307625706
423,313523.241348569
424,17545.35545474017
425,211368.43699592966
426,292808.5005678183
427,101637.1024852882
428,496227.79669448227
429,6933.033856915991
430,260136.86166996034
431,113543.61461917798
