segment_idx,rank,f_idx,power
0,1,9091,100300.51489025542
0,2,3077,55680.923885242526
0,3,1818,52870.253718090986
0,4,4706,29313.869648180815
0,5,2353,26704.69173130765
1,1,9091,65974.83538247786
1,2,3077,48739.23929457009
1,3,1818,32659.998965143408
1,4,4706,26214.70100049877
1,5,2353,25327.545102839435
2,1,9091,55866.01826580834
2,2,3077,40272.04865461379
2,3,1818,33861.546198125405
2,4,2353,25287.37999381006
2,5,7368,17949.70805193586
3,1,9091,46401.35340847402
3,2,1818,36830.266027203426
3,3,3077,31627.93443750559
3,4,7273,22025.142206480286
3,5,6316,18741.479957148607
4,1,9091,38112.244680731645
4,2,3077,27718.469042890636
4,3,1818,24917.126381215847
4,4,7273,23914.09876004655
4,5,1538,19682.941193721843
5,1,9091,34559.42936867072
5,2,1818,27623.411771493105
5,3,4706,20333.684958297476
5,4,2353,17820.832796732073
5,5,3077,17670.03521556758
6,1,9091,36475.52789252436
6,2,7273,28982.871667053354
6,3,3077,23673.03141323825
6,4,1818,22641.24706971262
6,5,4706,19624.632294040734
7,1,9091,43362.35138831306
7,2,1818,30010.757111641684
7,3,1539,22367.111051311003
7,4,2353,19290.905405385765
7,5,3077,18575.37204757031
8,1,9091,45005.03057154496
8,2,1818,26862.57876828638
8,3,2353,23830.399968865815
8,4,7059,20304.208429758175
8,5,3077,20231.7971869118
9,1,9091,34352.167928678646
9,2,1818,30067.703336738366
9,3,3077,19787.159775681153
9,4,1539,16332.878020481057
9,5,2353,13154.204016864585
