rank,f_idx,period_estimate,power
1,35294,4.794894316314387,941422.9292214668
2,82353,2.0549463893240074,722994.1978142017
3,74494,2.271740005906516,673312.7305647347
4,58824,2.8769039847681217,667995.9461377203
5,10526,16.077427322819684,637642.5795180758
6,43478,3.892336354018124,567972.3823459346
7,78261,2.162392507123599,531701.3382795699
8,23530,7.1921376965575865,517333.36009278754
9,21053,8.03833182919299,492646.96747026726
10,19355,8.743528803926633,476423.4996852842
11,23529,7.192443367758936,475534.2639859633
12,13793,12.269339520046401,473510.9952924336
13,34783,4.8653365149642065,447453.3866213424
14,73684,2.2967129906085444,395840.11174148443
15,8696,19.46078656853726,377334.3301753483
16,27586,6.1346697600232005,367747.6108942256
17,38710,4.371764401963317,365046.9704190701
18,63968,2.6455571535767883,356398.32871196547
19,84211,2.0096068209616322,352031.1829519941
20,51584,3.2806878101736974,336400.96633638587
