m,max_lift,min_lift,chi2,pbar
646,2.082562731939931,0.0,3136.1397838617236,0.05864764729866277
782,2.210312529153839,0.0,3105.3006614249916,0.05864764729866277
323,1.7828973958682517,0.0,2899.2441416802717,0.05864764729866277
391,1.8156138632335106,0.0,2721.2891057533016,0.05864764729866277
437,1.9826723683439753,0.0,2593.5226553706952,0.05864764729866277
493,1.9826723683439753,0.0,2549.9103506037486,0.05864764729866277
629,1.9015965465901323,0.0,2519.105691739382,0.05864764729866277
731,2.1405995180302484,0.0,2513.9833925944013,0.05864764729866277
527,1.9715198362720405,0.0,2500.411274968609,0.05864764729866277
799,2.1715873770258067,0.0,2479.5767588215913,0.05864764729866277
551,1.9994637304211553,0.0,2460.5352580773465,0.05864764729866277
697,2.0348908998559154,0.0,2456.3406525765404,0.05864764729866277
589,2.072167996081724,0.0,2428.032773605586,0.05864764729866277
779,2.1215508015183,0.0,2398.869011187688,0.05864764729866277
817,2.1416692829068253,0.0,2336.118808047389,0.05864764729866277
703,1.918235516372796,0.0,2332.4704465292025,0.05864764729866277
667,2.0218556167302197,0.0,2303.9899202187676,0.05864764729866277
713,2.2302972717320837,0.0,2288.8689856285964,0.05864764729866277
816,2.306413073899658,0.0,2017.5049436203813,0.05864764729866277
833,2.2567476663209365,0.0,2006.3277411675151,0.05864764729866277
