segment_idx,rank,f_idx,power
0,1,6154,50167.71050308112
0,2,3077,43794.193595610384
0,3,2353,37881.09606142702
0,4,8235,28458.229010308252
0,5,7826,25030.022228615155
1,1,3077,29384.377454454996
1,2,9231,28352.502203064843
1,3,6154,22469.09611834839
1,4,8235,21541.013016925306
1,5,7826,18080.962511588667
2,1,9231,28667.95813261215
2,2,3077,26676.66854623316
2,3,6154,20829.789281482834
2,4,2353,18822.92493662885
2,5,9474,17230.92151113382
3,1,3077,34678.80325874525
3,2,6154,23133.853380058743
3,3,3529,16178.65021469472
3,4,5882,15925.34416304786
3,5,8235,15688.19068808493
4,1,3077,32337.668680531584
4,2,6154,27663.646857324304
4,3,9231,15702.642417176523
4,4,7826,15652.81860711326
4,5,2105,14291.287416798177
5,1,3077,38204.023313637925
5,2,6154,17508.544723840285
5,3,5882,16541.829583247494
5,4,9474,15865.772924885649
5,5,9231,13285.275924719674
6,1,6154,29570.622944064373
6,2,3077,19093.775193995305
6,3,5882,15435.403924612558
6,4,2353,14806.671388907544
6,5,9474,14391.327910002838
7,1,3077,27862.465940384278
7,2,9231,22340.605304468194
7,3,2353,18909.945399269338
7,4,7826,17577.790409726505
7,5,4138,14493.079185038147
8,1,3077,30381.325006292922
8,2,9231,19302.763851181855
8,3,8421,10928.545881066773
8,4,6154,10758.045568791467
8,5,9474,10702.597429695197
9,1,3077,19457.63422038372
9,2,6154,19351.671931422283
9,3,5882,14124.072948976544
9,4,4348,13188.037151966733
9,5,9231,12770.860816003029
