m,max_lift,min_lift,chi2,pbar
663,2.201945051462125,0.0,3913.3988913351805,0.049625
741,2.4629163168205985,0.0,3819.918084865444,0.049625
442,2.0017682286019314,0.0,3713.572085775075,0.049625
494,2.139503063096682,0.0,3591.364298058687,0.049625
221,1.8035821144773647,0.0,3547.82940638862,0.049625
598,2.232311196247304,0.0,3386.301919639055,0.049625
247,1.8658456945610595,0.0,3382.178312768857,0.049625
806,2.437637117087836,0.0,3355.135411231329,0.049625
754,2.2726842294653506,0.0,3326.379672983606,0.049625
299,1.7771552714115206,0.0,3147.541523903434,0.049625
646,2.086848776829457,0.0,3135.9570736573896,0.049625
782,2.2126734824912333,0.0,3105.9332864128064,0.049625
377,1.8630293237013447,0.0,2983.3368127745557,0.049625
403,1.8245493109792252,0.0,2978.5871195320146,0.049625
793,2.159050017992083,0.0,2900.198967790146,0.049625
323,1.7876005525310799,0.0,2899.152901411687,0.049625
481,1.9422779278322357,0.0,2883.235188379947,0.049625
767,2.325130788606859,0.0,2879.6217542265513,0.049625
611,1.9719763670957255,0.0,2858.04915718488,0.049625
559,2.1389471314186004,0.0,2841.774705885905,0.049625
