lag,corr
741,0.026600377040284045
4199,0.02366654255363205
2489,0.02201639085029076
4862,0.021884230773945454
3705,0.02179410595744554
4940,0.021285637844798765
2788,0.020754769855860295
4277,0.020306253078212863
663,0.020217647801427978
2548,0.020124252073372866
3536,0.019697644500000163
2873,0.01949194346093664
4030,0.0193489904555109
2067,0.019340155395705858
2132,0.019243473777916773
3588,0.018978778607542896
754,0.018863021414389322
3289,0.018559914866894317
2795,0.018102523571333202
4641,0.018068249989812452
