n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,35,1000035,2,377,377,0.00058638328
1000000,36,1000036,0,307,306.55778,0.00057982307
1000000,36,1000036,1,306,306,0.00057782082
1000000,36,1000036,2,377,377,0.00058638328
1000000,37,1000037,0,307,306.55778,0.00057982307
1000000,37,1000037,1,306,306,0.00057782082
1000000,37,1000037,2,377,377,0.00058638328
1000000,38,1000038,0,307,306.55778,0.00057982307
1000000,38,1000038,1,306,306,0.00057782082
1000000,38,1000038,2,377,377,0.00058638328
1000000,39,1000039,0,307,306.55778,0.00057982307
1000000,39,1000039,1,306,306,0.00057782082
1000000,39,1000039,2,377,377,0.00058638328
1000000,40,1000040,0,307,306.55778,0.00057982307
1000000,40,1000040,1,306,306,0.00057782082
1000000,40,1000040,2,377,377,0.00058638328
1000000,41,1000041,0,307,306.55778,0.00057982307
1000000,41,1000041,1,306,306,0.00057782082
1000000,41,1000041,2,377,377,0.00058638328
1000000,42,1000042,0,307,306.55778,0.00057982307
1000000,42,1000042,1,306,306,0.00057782082
1000000,42,1000042,2,377,377,0.00058638328
1000000,43,1000043,0,307,306.55778,0.00057982307
1000000,43,1000043,1,306,306,0.00057782082
1000000,43,1000043,2,377,377,0.00058638328
1000000,44,1000044,0,307,306.55778,0.00057982307
1000000,44,1000044,1,306,306,0.00057782082
1000000,44,1000044,2,377,377,0.00058638328
1000000,45,1000045,0,307,306.55778,0.00057982307
1000000,45,1000045,1,306,306,0.00057782082
1000000,45,1000045,2,377,377,0.00058638328
1000000,46,1000046,0,307,306.55778,0.00057982307
1000000,46,1000046,1,306,306,0.00057782082
1000000,46,1000046,2,377,377,0.00058638328
1000000,47,1000047,0,307,306.55778,0.00057982307
1000000,47,1000047,1,306,306,0.00057782082
1000000,47,1000047,2,377,377,0.00062824881
1000000,48,1000048,0,307,306.55778,0.00057982307
1000000,48,1000048,1,306,306,0.00057782082
1000000,48,1000048,2,377,377,0.00062824881
1000000,49,1000049,0,318,318.02042,0.00060027035
1000000,49,1000049,1,374,374,0.00058182235
1000000,49,1000049,2,377,377,0.00067033635
1000000,50,1000050,0,318,318.02042,0.00060027035
1000000,50,1000050,1,374,374,0.00058182235
1000000,50,1000050,2,377,377,0.00067033635
1000000,51,1000051,0,318,318.02042,0.00060027035
1000000,51,1000051,1,374,374,0.00058182235
1000000,51,1000051,2,377,377,0.00067033635
1000000,52,1000052,0,318,318.02042,0.00060027035
1000000,52,1000052,1,374,374,0.00058182235
1000000,52,1000052,2,377,377,0.00067033635
1000000,53,1000053,0,318,318.02042,0.00060027035
1000000,53,1000053,1,374,374,0.00058182235
1000000,53,1000053,2,377,377,0.00067033635
1000000,54,1000054,0,318,318.02042,0.00060027035
1000000,54,1000054,1,374,374,0.00058182235
1000000,54,1000054,2,377,377,0.00067033635
1000000,55,1000055,0,318,318.02042,0.00060027035
1000000,55,1000055,1,374,374.54862,0.0006237986
1000000,55,1000055,2,377,377,0.00071231259
1000000,56,1000056,0,318,318.02042,0.00060027035
1000000,56,1000056,1,374,374.54862,0.0006237986
1000000,56,1000056,2,377,377,0.00071231259
1000000,57,1000057,0,318,318.02042,0.00060027035
1000000,57,1000057,1,374,374.54862,0.0006237986
1000000,57,1000057,2,377,377,0.00071231259
1000000,58,1000058,0,318,318.02042,0.00060027035
1000000,58,1000058,1,374,374.54862,0.0006237986
1000000,58,1000058,2,377,377,0.00071231259
1000000,59,1000059,0,318,318.02042,0.00060027035
1000000,59,1000059,1,374,374.54862,0.0006237986
1000000,59,1000059,2,377,377,0.00071231259
1000000,60,1000060,0,318,318.02042,0.00060027035
1000000,60,1000060,1,374,374.54862,0.0006237986
1000000,60,1000060,2,377,377,0.00071231259
1000000,61,1000061,0,363,363.01796,0.00060459825
1000000,61,1000061,1,374,374.54862,0.0006237986
1000000,61,1000061,2,377,377,0.00071231259
1000000,62,1000062,0,363,363.01796,0.00060459825
1000000,62,1000062,1,374,374.54862,0.0006237986
1000000,62,1000062,2,377,377,0.00071231259
1000000,63,1000063,0,363,363.01796,0.00060459825
1000000,63,1000063,1,374,374.54862,0.0006237986
1000000,63,1000063,2,377,377,0.00071231259
1000000,64,1000064,0,363,363.01796,0.00060459825
1000000,64,1000064,1,374,374.54862,0.0006237986
1000000,64,1000064,2,377,377,0.00071231259
1000000,65,1000065,0,363,363.01796,0.00060459825
1000000,65,1000065,1,374,374.54862,0.0006237986
1000000,65,1000065,2,377,377,0.00071231259
1000000,66,1000066,0,373,373,0.00058081553
1000000,66,1000066,1,374,374.54862,0.0006237986
1000000,66,1000066,2,377,377,0.00071231259
1000000,67,1000067,0,373,373,0.00058081553
1000000,67,1000067,1,374,374.54862,0.0006237986
1000000,67,1000067,2,377,377,0.00071231259
1000000,68,1000068,0,373,373,0.00058081553
1000000,68,1000068,1,374,374.54862,0.0006237986
1000000,68,1000068,2,377,377,0.00071231259
1000000,69,1000069,0,374,374.54862,0.0006237986
1000000,69,1000069,1,375,374.45163,0.00062579165
1000000,69,1000069,2,377,377,0.00071231259
1000000,70,1000070,0,374,374.54862,0.0006237986
1000000,70,1000070,1,375,374.45163,0.00062579165
1000000,70,1000070,2,377,377,0.00071231259
1000000,71,1000071,0,374,374.54862,0.0006237986
1000000,71,1000071,1,375,374.45163,0.00062579165
1000000,71,1000071,2,377,377,0.00071231259
