Q,budget_fraction,prp_cost_hours,base_survival_rate,predicted_survival_topk,predicted_dead_topk,random_dead_topk,saved_compute_seconds
50000000,0.001,1.0,0.6733763345195729,1.0,0.0,0.3266236654804271,21165.213523131675
50000000,0.001,24.0,0.6733763345195729,1.0,0.0,0.3266236654804271,507965.1245551601
50000000,0.001,168.0,0.6733763345195729,1.0,0.0,0.3266236654804271,3555755.871886121
50000000,0.005,1.0,0.6733763345195729,1.0,0.0,0.3266236654804271,105826.06761565838
50000000,0.005,24.0,0.6733763345195729,1.0,0.0,0.3266236654804271,2539825.622775801
50000000,0.005,168.0,0.6733763345195729,1.0,0.0,0.3266236654804271,17778779.359430607
50000000,0.01,1.0,0.6733763345195729,1.0,0.0,0.3266236654804271,211652.13523131676
50000000,0.01,24.0,0.6733763345195729,1.0,0.0,0.3266236654804271,5079651.245551602
50000000,0.01,168.0,0.6733763345195729,1.0,0.0,0.3266236654804271,35557558.718861215
50000000,0.05,1.0,0.6733763345195729,0.9994166317946949,0.0005833682053051348,0.3266236654804271,1055196.818101205
50000000,0.05,24.0,0.6733763345195729,0.9994166317946949,0.0005833682053051348,0.3266236654804271,25324723.634428915
50000000,0.05,168.0,0.6733763345195729,0.9994166317946949,0.0005833682053051348,0.3266236654804271,177273065.44100243
50000000,0.1,1.0,0.6733763345195729,0.9936019180160759,0.006398081983924109,0.3266236654804271,2072756.1568561643
50000000,0.1,24.0,0.6733763345195729,0.9936019180160759,0.006398081983924109,0.3266236654804271,49746147.764547944
50000000,0.1,168.0,0.6733763345195729,0.9936019180160759,0.006398081983924109,0.3266236654804271,348223034.3518356
