Q,budget_fraction,prp_cost_hours,base_survival_rate,predicted_survival_topk,predicted_dead_topk,random_dead_topk,saved_compute_seconds
20000000,0.001,1.0,0.7107984875444839,1.0,0.0,0.28920151245551606,18740.25800711744
20000000,0.001,24.0,0.7107984875444839,1.0,0.0,0.28920151245551606,449766.19217081857
20000000,0.001,168.0,0.7107984875444839,1.0,0.0,0.28920151245551606,3148363.34519573
20000000,0.005,1.0,0.7107984875444839,1.0,0.0,0.28920151245551606,93701.29003558721
20000000,0.005,24.0,0.7107984875444839,1.0,0.0,0.28920151245551606,2248830.960854093
20000000,0.005,168.0,0.7107984875444839,1.0,0.0,0.28920151245551606,15741816.725978652
20000000,0.01,1.0,0.7107984875444839,1.0,0.0,0.28920151245551606,187402.58007117442
20000000,0.01,24.0,0.7107984875444839,1.0,0.0,0.28920151245551606,4497661.921708186
20000000,0.01,168.0,0.7107984875444839,1.0,0.0,0.28920151245551606,31483633.451957304
20000000,0.05,1.0,0.7107984875444839,0.9994166317946949,0.0005833682053051348,0.28920151245551606,934083.7620513828
20000000,0.05,24.0,0.7107984875444839,0.9994166317946949,0.0005833682053051348,0.28920151245551606,22418010.28923319
20000000,0.05,168.0,0.7107984875444839,0.9994166317946949,0.0005833682053051348,0.28920151245551606,156926072.0246323
20000000,0.1,1.0,0.7107984875444839,0.9936019180160759,0.006398081983924109,0.28920151245551606,1830530.0447565205
20000000,0.1,24.0,0.7107984875444839,0.9936019180160759,0.006398081983924109,0.28920151245551606,43932721.07415649
20000000,0.1,168.0,0.7107984875444839,0.9936019180160759,0.006398081983924109,0.28920151245551606,307529047.5190954
