Q,AUC,Brier,LogLoss,Spearman
1000000,0.933109,0.059962,0.212799,0.522568
2000000,0.892424,0.094428,0.319908,0.524212
5000000,0.831529,0.134913,0.454374,0.481689
10000000,0.796379,0.165509,0.559574,0.451812
20000000,0.767867,0.192141,0.651974,0.422287
50000000,0.736163,0.226102,0.773686,0.385106
