m,B,p0,p1,p2,E1,E2,E3,top_period_L1,top_period_L2,top_period_L3
8,840,11,13,17,631405.6931622927,5888.661027131264,143.39514940853547,2.5998855998856,17.048780487804876,5.857142857142857
9,2520,11,13,17,854762.8307743467,4529.253152796157,147.2480538322935,6.5001787629603145,5.659919028340081,3.1538461538461537
10,2520,11,13,17,854762.8307743467,4529.253152796157,147.2480538322935,6.5001787629603145,5.659919028340081,3.1538461538461537
11,27720,13,17,19,290744.4346555417,1954.6933849274224,72.13347043255386,5.666298342541436,2.714714714714715,2.0434782608695654
12,27720,13,17,19,290744.4346555417,1954.6933849274224,72.13347043255386,5.666298342541436,2.714714714714715,2.0434782608695654
13,360360,17,19,23,118844.63820683885,1061.323622515626,36.3812735800688,2.7143516382095063,5.731481481481482,6.5
14,360360,17,19,23,118844.63820683885,1061.323622515626,36.3812735800688,2.7143516382095063,5.731481481481482,6.5
