p_range,seed,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds
100000-220000,161718,2000000,0.05,24.0,-135834.29541595906
100000-220000,161718,2000000,0.05,168.0,-950840.0679117136
100000-220000,192021,2000000,0.01,1.0,-5048.556876061121
100000-220000,192021,2000000,0.01,24.0,-121165.36502546692
100000-220000,192021,2000000,0.01,168.0,-848157.5551782683
100000-220000,192021,2000000,0.05,1.0,-27481.83361629881
100000-220000,192021,2000000,0.05,24.0,-659564.0067911715
100000-220000,192021,2000000,0.05,168.0,-4616948.0475382
100000-220000,222324,2000000,0.01,1.0,5274.702886247879
100000-220000,222324,2000000,0.01,24.0,126592.8692699491
100000-220000,222324,2000000,0.01,168.0,886150.0848896437
100000-220000,222324,2000000,0.05,1.0,-4612.563667232594
100000-220000,222324,2000000,0.05,24.0,-110701.52801358227
100000-220000,222324,2000000,0.05,168.0,-774910.6960950758
100000-220000,252627,2000000,0.01,1.0,5421.392190152802
100000-220000,252627,2000000,0.01,24.0,130113.41256366724
100000-220000,252627,2000000,0.01,168.0,910793.8879456706
100000-220000,252627,2000000,0.05,1.0,3304.5840407470328
100000-220000,252627,2000000,0.05,24.0,79310.01697792878
100000-220000,252627,2000000,0.05,168.0,555170.1188455016
100000-220000,282930,2000000,0.01,1.0,-1741.935483870968
100000-220000,282930,2000000,0.01,24.0,-41806.451612903234
100000-220000,282930,2000000,0.01,168.0,-292645.1612903226
100000-220000,282930,2000000,0.05,1.0,17883.87096774194
100000-220000,282930,2000000,0.05,24.0,429212.90322580654
100000-220000,282930,2000000,0.05,168.0,3004490.322580646
100000-220000,123,5000000,0.01,1.0,8539.833531510107
100000-220000,123,5000000,0.01,24.0,204956.00475624256
100000-220000,123,5000000,0.01,168.0,1434692.033293698
100000-220000,123,5000000,0.05,1.0,7255.648038049938
100000-220000,123,5000000,0.05,24.0,174135.5529131985
100000-220000,123,5000000,0.05,168.0,1218948.8703923894
100000-220000,456,5000000,0.01,1.0,-2478.4780023781213
100000-220000,456,5000000,0.01,24.0,-59483.47205707491
100000-220000,456,5000000,0.01,168.0,-416384.30439952435
100000-220000,456,5000000,0.05,1.0,-4623.067776456601
100000-220000,456,5000000,0.05,24.0,-110953.62663495842
100000-220000,456,5000000,0.05,168.0,-776675.3864447089
100000-220000,789,5000000,0.01,1.0,12030.677764565995
100000-220000,789,5000000,0.01,24.0,288736.26634958386
100000-220000,789,5000000,0.01,168.0,2021153.864447087
100000-220000,789,5000000,0.05,1.0,13916.290130796675
100000-220000,789,5000000,0.05,24.0,333990.9631391202
100000-220000,789,5000000,0.05,168.0,2337936.7419738416
100000-220000,101112,5000000,0.01,1.0,-9096.313912009513
100000-220000,101112,5000000,0.01,24.0,-218311.5338882283
100000-220000,101112,5000000,0.01,168.0,-1528180.7372175984
100000-220000,101112,5000000,0.05,1.0,-1746.4922711058298
100000-220000,101112,5000000,0.05,24.0,-41915.81450653991
100000-220000,101112,5000000,0.05,168.0,-293410.7015457794
100000-220000,131415,5000000,0.01,1.0,12103.448275862069
100000-220000,131415,5000000,0.01,24.0,290482.7586206897
100000-220000,131415,5000000,0.01,168.0,2033379.3103448278
100000-220000,131415,5000000,0.05,1.0,-3724.137931034487
100000-220000,131415,5000000,0.05,24.0,-89379.31034482768
100000-220000,131415,5000000,0.05,168.0,-625655.1724137939
100000-220000,161718,5000000,0.01,1.0,2249.464922711059
100000-220000,161718,5000000,0.01,24.0,53987.15814506541
100000-220000,161718,5000000,0.01,168.0,377910.1070154579
100000-220000,161718,5000000,0.05,1.0,11750.297265160523
100000-220000,161718,5000000,0.05,24.0,282007.1343638526
100000-220000,161718,5000000,0.05,168.0,1974049.9405469678
100000-220000,192021,5000000,0.01,1.0,502.9726516052321
100000-220000,192021,5000000,0.01,24.0,12071.34363852557
100000-220000,192021,5000000,0.01,168.0,84499.40546967898
100000-220000,192021,5000000,0.05,1.0,-4079.429250891796
100000-220000,192021,5000000,0.05,24.0,-97906.3020214031
100000-220000,192021,5000000,0.05,168.0,-685344.1141498217
100000-220000,222324,5000000,0.01,1.0,8175.980975029728
100000-220000,222324,5000000,0.01,24.0,196223.54340071348
100000-220000,222324,5000000,0.01,168.0,1373564.8038049943
100000-220000,222324,5000000,0.05,1.0,12657.788347205711
100000-220000,222324,5000000,0.05,24.0,303786.92033293704
100000-220000,222324,5000000,0.05,168.0,2126508.4423305592
100000-220000,252627,5000000,0.01,1.0,-1932.6991676575503
100000-220000,252627,5000000,0.01,24.0,-46384.780023781204
100000-220000,252627,5000000,0.01,168.0,-324693.46016646846
100000-220000,252627,5000000,0.05,1.0,-5526.278240190247
100000-220000,252627,5000000,0.05,24.0,-132630.67776456592
100000-220000,252627,5000000,0.05,168.0,-928414.7443519615
100000-220000,282930,5000000,0.01,1.0,-1459.6908442330566
100000-220000,282930,5000000,0.01,24.0,-35032.580261593364
100000-220000,282930,5000000,0.01,168.0,-245228.06183115352
100000-220000,282930,5000000,0.05,1.0,410.9393579072481
100000-220000,282930,5000000,0.05,24.0,9862.544589773956
100000-220000,282930,5000000,0.05,168.0,69037.81212841769
100000-220000,123,10000000,0.01,1.0,-2982.8571428571427
100000-220000,123,10000000,0.01,24.0,-71588.57142857143
100000-220000,123,10000000,0.01,168.0,-501119.99999999994
100000-220000,123,10000000,0.05,1.0,13885.714285714288
100000-220000,123,10000000,0.05,24.0,333257.1428571429
100000-220000,123,10000000,0.05,168.0,2332800.0000000005
100000-220000,456,10000000,0.01,1.0,-2768.1987577639757
100000-220000,456,10000000,0.01,24.0,-66436.7701863354
100000-220000,456,10000000,0.01,168.0,-465057.3913043479
100000-220000,456,10000000,0.05,1.0,-3040.993788819876
100000-220000,456,10000000,0.05,24.0,-72983.85093167702
100000-220000,456,10000000,0.05,168.0,-510886.95652173914
100000-220000,789,10000000,0.01,1.0,-3340.621118012422
100000-220000,789,10000000,0.01,24.0,-80174.90683229813
100000-220000,789,10000000,0.01,168.0,-561224.3478260869
100000-220000,789,10000000,0.05,1.0,4896.894409937893
100000-220000,789,10000000,0.05,24.0,117525.46583850944
100000-220000,789,10000000,0.05,168.0,822678.260869566
100000-220000,101112,10000000,0.01,1.0,-3018.6335403726707
100000-220000,101112,10000000,0.01,24.0,-72447.20496894409
100000-220000,101112,10000000,0.01,168.0,-507130.43478260865
100000-220000,101112,10000000,0.05,1.0,-693.1677018633518
100000-220000,101112,10000000,0.05,24.0,-16636.024844720443
100000-220000,101112,10000000,0.05,168.0,-116452.1739130431
100000-220000,131415,10000000,0.01,1.0,-2732.4223602484467
100000-220000,131415,10000000,0.01,24.0,-65578.13664596272
100000-220000,131415,10000000,0.01,168.0,-459046.9565217391
100000-220000,131415,10000000,0.05,1.0,-13662.111801242236
100000-220000,131415,10000000,0.05,24.0,-327890.68322981364
100000-220000,131415,10000000,0.05,168.0,-2295234.7826086953
100000-220000,161718,10000000,0.01,1.0,187.82608695652146
100000-220000,161718,10000000,0.01,24.0,4507.826086956515
100000-220000,161718,10000000,0.01,168.0,31554.782608695605
100000-220000,161718,10000000,0.05,1.0,939.1304347826073
100000-220000,161718,10000000,0.05,24.0,22539.130434782575
100000-220000,161718,10000000,0.05,168.0,157773.913043478
