N_passes_tf,N_test,auc,base_rate,enrichment@1pct,enrichment@5pct,hit_rate@1pct,hit_rate@5pct,note,p_range,seed,tf_q_limit
9269,1854,0.5301775015185819,0.21467098166127294,0.9806929383760908,0.9516939536391635,0.21052631578947367,0.20430107526881722,,100000-220000,123,1000000
9269,1854,0.5246596147835599,0.23300970873786409,1.3552631578947367,1.2921146953405018,0.3157894736842105,0.3010752688172043,,100000-220000,456,1000000
9269,1854,0.4992541096263234,0.21898597626752966,1.2017111744879438,0.9329413634196727,0.2631578947368421,0.20430107526881722,,100000-220000,789,1000000
9269,1854,0.504808248682011,0.2373247033441208,1.330622009569378,1.1780058651026393,0.3157894736842105,0.27956989247311825,,100000-220000,101112,1000000
9269,1854,0.5262765637285257,0.24433656957928804,0.6462181944928546,0.9241615039521469,0.15789473684210525,0.22580645161290322,,100000-220000,131415,1000000
9269,1854,0.5334968167237868,0.25674217907227614,1.229986731534719,1.4239631336405532,0.3157894736842105,0.3655913978494624,,100000-220000,161718,1000000
9269,1854,0.5024479613953298,0.2313915857605178,0.9098270150901729,0.9758628468305888,0.21052631578947367,0.22580645161290322,,100000-220000,192021,1000000
9269,1854,0.5332676772912497,0.24002157497303128,1.754228267297457,0.9855744835085176,0.42105263157894735,0.23655913978494625,,100000-220000,222324,1000000
9269,1854,0.5039703469292077,0.23300970873786409,0.6776315789473684,1.0152329749103943,0.15789473684210525,0.23655913978494625,,100000-220000,252627,1000000
9269,1854,0.5215757566360705,0.25026968716289105,1.2617967332123412,1.0311457174638488,0.3157894736842105,0.25806451612903225,,100000-220000,282930,1000000
8837,1767,0.48746106112061344,0.19185059422750425,1.158308751229105,1.0069388576025744,0.2222222222222222,0.19318181818181818,,100000-220000,123,2000000
8837,1767,0.49266019605002653,0.19864176570458403,1.1187084520417854,1.0297202797202798,0.2222222222222222,0.20454545454545456,,100000-220000,456,2000000
8837,1767,0.49440663874254775,0.20430107526881722,0.5438596491228069,0.5005980861244019,0.1111111111111111,0.10227272727272728,,100000-220000,789,2000000
8837,1767,0.4961913206547219,0.19524617996604415,1.1381642512077292,0.9312252964426877,0.2222222222222222,0.18181818181818182,,100000-220000,101112,2000000
8837,1767,0.5059164138375226,0.18562535370684777,0.8978658536585366,1.1631444013303769,0.16666666666666666,0.2159090909090909,,100000-220000,131415,2000000
8837,1767,0.49476186243245146,0.22241086587436332,0.7493638676844784,0.919673837612769,0.16666666666666666,0.20454545454545456,,100000-220000,161718,2000000
8837,1767,0.48491189289251224,0.18902093944538767,0.5878243512974052,0.5410655960805661,0.1111111111111111,0.10227272727272728,,100000-220000,192021,2000000
8837,1767,0.5114096683849495,0.19637804187889077,1.4145052833813643,0.925858003667802,0.2777777777777778,0.18181818181818182,,100000-220000,222324,2000000
8837,1767,0.4932795148557015,0.1941143180531975,1.4310009718172985,1.0537370792472833,0.2777777777777778,0.20454545454545456,,100000-220000,252627,2000000
8837,1767,0.5013634964604494,0.1935483870967742,0.861111111111111,1.2916666666666667,0.16666666666666666,0.25,,100000-220000,282930,2000000
8409,1682,0.5047224926971763,0.1545778834720571,1.9027149321266967,1.1552197802197801,0.29411764705882354,0.17857142857142858,,100000-220000,123,5000000
8409,1682,0.5241028949492375,0.1581450653983353,0.7439186200796108,0.9033297529538131,0.11764705882352941,0.14285714285714285,,100000-220000,456,5000000
8409,1682,0.5327521389507418,0.15636147443519618,2.257213151420264,1.2943146840485245,0.35294117647058826,0.20238095238095238,,100000-220000,789,5000000
8409,1682,0.5160837988826815,0.14863258026159334,0.0,0.9611428571428571,0.0,0.14285714285714285,,100000-220000,101112,5000000
8409,1682,0.49562932584845276,0.15517241379310345,2.2745098039215685,0.9206349206349206,0.35294117647058826,0.14285714285714285,,100000-220000,131415,5000000
8409,1682,0.5245702774632769,0.13971462544589774,1.263078848560701,1.2781155015197567,0.17647058823529413,0.17857142857142858,,100000-220000,161718,5000000
8409,1682,0.48577353334158424,0.16825208085612367,1.0488463936811474,0.919821638902911,0.17647058823529413,0.15476190476190477,,100000-220000,192021,5000000
8409,1682,0.4923132410030427,0.1605231866825208,1.832244008714597,1.2607583774250442,0.29411764705882354,0.20238095238095238,,100000-220000,222324,5000000
8409,1682,0.5052675392072521,0.1492271105826397,0.7883759081321772,0.8775374691709353,0.11764705882352941,0.13095238095238096,,100000-220000,252627,5000000
8409,1682,0.454965781326381,0.14149821640903687,0.8314384577360355,1.0096038415366144,0.11764705882352941,0.14285714285714285,,100000-220000,282930,5000000
8051,1610,0.4668844136837612,0.11428571428571428,0.546875,1.421875,0.0625,0.1625,,100000-220000,123,10000000
8051,1610,0.4671356160944071,0.11055900621118013,0.5653089887640449,0.9044943820224719,0.0625,0.1,,100000-220000,456,10000000
8051,1610,0.49587920088531656,0.12049689440993788,0.5186855670103093,1.1411082474226806,0.0625,0.1375,,100000-220000,789,10000000
8051,1610,0.5120720720720721,0.11490683229813664,0.543918918918919,0.9790540540540541,0.0625,0.1125,,100000-220000,101112,10000000
8051,1610,0.46503128437437163,0.10993788819875776,0.5685028248587571,0.5685028248587571,0.0625,0.0625,,100000-220000,131415,10000000
8051,1610,0.5075213607366568,0.12173913043478261,1.0267857142857142,1.0267857142857142,0.125,0.125,,100000-220000,161718,10000000
8051,1610,0.4823472150152252,0.10745341614906832,1.1632947976878614,0.930635838150289,0.125,0.1,,100000-220000,192021,10000000
8051,1610,0.492062981085644,0.12298136645962733,1.0164141414141414,0.9147727272727273,0.125,0.1125,,100000-220000,222324,10000000
