p,score_mean_oos,n_oos_scores,dies_by_horizon
100493,0.883964253962251,1,1
102539,0.883964253962251,1,0
102841,0.883964253962251,1,0
103307,0.883964253962251,1,0
103561,0.883964253962251,1,0
103913,0.883964253962251,1,0
104651,0.883964253962251,1,0
104779,0.883964253962251,1,0
105253,0.883964253962251,1,0
105449,0.883964253962251,1,1
106243,0.883964253962251,1,0
106531,0.883964253962251,1,0
106961,0.883964253962251,1,1
107873,0.883964253962251,1,0
109367,0.883964253962251,1,0
109519,0.883964253962251,1,0
110017,0.883964253962251,1,1
110879,0.883964253962251,1,0
111149,0.883964253962251,1,0
111347,0.883964253962251,1,1
111373,0.883964253962251,1,0
112337,0.883964253962251,1,0
112573,0.883964253962251,1,1
115067,0.883964253962251,1,1
115183,0.883964253962251,1,0
116239,0.883964253962251,1,1
117167,0.883964253962251,1,0
117281,0.883964253962251,1,0
117751,0.883964253962251,1,0
117757,0.883964253962251,1,0
118493,0.883964253962251,1,0
119747,0.883964253962251,1,1
119921,0.883964253962251,1,0
120047,0.883964253962251,1,1
123091,0.883964253962251,1,0
123143,0.883964253962251,1,0
123373,0.883964253962251,1,0
123997,0.883964253962251,1,0
124247,0.883964253962251,1,1
126739,0.883964253962251,1,0
127051,0.883964253962251,1,0
127261,0.883964253962251,1,0
128693,0.883964253962251,1,0
129187,0.883964253962251,1,0
129197,0.883964253962251,1,0
131251,0.883964253962251,1,1
131381,0.883964253962251,1,0
133391,0.883964253962251,1,0
134089,0.883964253962251,1,0
134507,0.883964253962251,1,0
134587,0.883964253962251,1,0
135391,0.883964253962251,1,0
135671,0.883964253962251,1,0
135727,0.883964253962251,1,0
136889,0.883964253962251,1,0
136979,0.883964253962251,1,0
137909,0.883964253962251,1,0
138139,0.883964253962251,1,0
138821,0.883964253962251,1,0
139303,0.883964253962251,1,0
139663,0.883964253962251,1,0
140227,0.883964253962251,1,0
140611,0.883964253962251,1,0
140983,0.883964253962251,1,1
141719,0.883964253962251,1,0
142099,0.883964253962251,1,0
143401,0.883964253962251,1,0
144139,0.883964253962251,1,0
144757,0.883964253962251,1,1
146369,0.883964253962251,1,0
146683,0.883964253962251,1,0
147769,0.883964253962251,1,0
148157,0.883964253962251,1,0
148303,0.883964253962251,1,1
148483,0.883964253962251,1,0
148727,0.883964253962251,1,0
148781,0.883964253962251,1,0
149827,0.883964253962251,1,0
150301,0.883964253962251,1,0
150881,0.883964253962251,1,0
151241,0.883964253962251,1,0
151381,0.883964253962251,1,0
151717,0.883964253962251,1,0
151799,0.883964253962251,1,0
152377,0.883964253962251,1,0
152753,0.883964253962251,1,1
153089,0.883964253962251,1,0
155171,0.883964253962251,1,0
156007,0.883964253962251,1,0
156659,0.883964253962251,1,0
157321,0.883964253962251,1,1
157769,0.883964253962251,1,0
158747,0.883964253962251,1,0
159059,0.883964253962251,1,0
159119,0.883964253962251,1,1
159191,0.883964253962251,1,0
159337,0.883964253962251,1,0
160163,0.883964253962251,1,0
161141,0.883964253962251,1,0
161641,0.883964253962251,1,0
161923,0.883964253962251,1,0
162053,0.883964253962251,1,0
163151,0.883964253962251,1,1
163409,0.883964253962251,1,0
163811,0.883964253962251,1,0
163859,0.883964253962251,1,0
164321,0.883964253962251,1,1
164387,0.883964253962251,1,0
164599,0.883964253962251,1,0
165233,0.883964253962251,1,0
165397,0.883964253962251,1,0
165541,0.883964253962251,1,0
166013,0.883964253962251,1,0
167777,0.883964253962251,1,1
168353,0.883964253962251,1,1
168913,0.883964253962251,1,0
169007,0.883964253962251,1,0
169093,0.883964253962251,1,1
169523,0.883964253962251,1,0
169753,0.883964253962251,1,0
169769,0.883964253962251,1,0
170327,0.883964253962251,1,0
170627,0.883964253962251,1,1
171481,0.883964253962251,1,0
172439,0.883964253962251,1,0
