layers,primes,L,allowed_residues,survival_rate,throughput,count,mean_gap,median_gap,min_gap,max_gap
1,13,13,11,0.8461538461538461,4489505.108174289,1000000,1.1818181818181819,1.0,1,2
2,"13,17",221,165,0.746606334841629,4882011.545657613,1000000,1.3393933393933395,1.0,1,3
3,"13,17,19",4199,2805,0.6680161943319838,4131719.208962299,1000000,1.4969694969694969,1.0,1,5
4,"13,17,19,23",96577,58905,0.6099278296074635,4336729.716950068,1000000,1.6395346395346395,1.0,1,7
5,"13,17,19,23,29",2800733,1590435,0.5678638413586728,3547460.408599089,1000000,1.760981760981761,1.0,1,10
6,"13,17,19,23,29,31",86822723,46122615,0.531227464496823,3178557.7041467144,1000000,1.8824368824368825,2.0,1,11
